# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 91987450879
#
# Children      Self  Command          Shared Object        Symbol                                                                                                   
# ........  ........  ...............  ...................  .........................................................................................................
#
    31.74%     0.17%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    31.73%     0.12%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    31.73%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    31.61%     0.16%  swapper          [kernel.kallsyms]    [k] do_idle
    31.56%     0.17%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    26.24%     0.22%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    22.77%     0.38%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    22.77%     0.00%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    11.96%     0.18%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    11.78%     0.20%  mariadbd         [kernel.kallsyms]    [k] do_futex
    10.04%     9.72%  swapper          [kernel.kallsyms]    [k] poll_idle
     7.89%     0.23%  mariadbd         [kernel.kallsyms]    [k] schedule
     7.73%     0.74%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.34%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     7.33%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     7.32%     0.09%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     7.30%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.67%     0.16%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.35%     0.33%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.23%     0.05%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.18%     0.08%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.16%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     6.15%     0.03%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     6.06%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     6.03%     0.06%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.23%     0.24%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     5.23%     0.36%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.14%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     5.08%     0.02%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     5.06%     0.00%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     5.04%     0.05%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     4.99%     0.09%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     3.81%     0.11%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     3.79%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.76%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.64%     0.06%  mariadbd         [kernel.kallsyms]    [k] wp_page_copy
     3.64%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     3.62%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     3.55%     3.55%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.50%     0.10%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     3.42%     0.00%  mariadbd         [kernel.kallsyms]    [k] aio_write
     3.36%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     3.11%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.11%     0.00%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.93%     2.93%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     2.90%     0.05%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.90%     0.03%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.90%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.86%     0.03%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.84%     0.04%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.84%     0.19%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.74%     0.00%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.72%     0.03%  swapper          [kernel.kallsyms]    [k] schedule_idle
     2.70%     0.05%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.69%     0.41%  swapper          [kernel.kallsyms]    [k] __schedule
     2.40%     0.43%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.39%     0.09%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.39%     0.00%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.39%     0.05%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     2.31%     0.22%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.31%     0.05%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     2.29%     0.03%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     2.26%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     2.25%     0.02%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     2.25%     0.00%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     2.22%     0.13%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     2.16%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_common_interrupt
     2.15%     0.04%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     2.15%     0.15%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     2.13%     0.03%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     2.12%     0.29%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.06%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     2.06%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.04%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     2.04%     0.02%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     2.03%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.03%     0.28%  swapper          [kernel.kallsyms]    [k] menu_select
     1.97%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.91%     0.03%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.91%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.89%     0.68%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.89%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.88%     0.20%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.87%     0.05%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.86%     0.64%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.84%     0.07%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.81%     0.12%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.77%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.76%     0.08%  mariadbd         [kernel.kallsyms]    [k] swap_vma_readahead
     1.76%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.75%     0.05%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.74%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.73%     0.00%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.71%     0.01%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
