# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 108795812652
#
# Children      Self  Command          Shared Object        Symbol                                                                                                            
# ........  ........  ...............  ...................  ..................................................................................................................
#
    32.76%     0.22%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    32.54%     0.16%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    32.36%     0.05%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    32.36%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    32.31%     0.16%  swapper          [kernel.kallsyms]    [k] do_idle
    26.56%     0.36%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    22.70%     0.00%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    22.69%     0.34%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    12.45%     0.17%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    12.27%     0.05%  mariadbd         [kernel.kallsyms]    [k] do_futex
     9.30%     8.95%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.07%     0.21%  mariadbd         [kernel.kallsyms]    [k] schedule
     7.96%     0.89%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.25%     0.24%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     7.25%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     7.24%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     7.23%     0.20%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     7.22%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     7.20%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     7.20%     0.02%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.50%     0.00%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     6.47%     0.19%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.44%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     6.44%     0.00%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     6.23%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     6.22%     0.06%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     6.08%     0.08%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     6.06%     0.05%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     5.85%     0.38%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     5.74%     0.50%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.41%     0.09%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     4.98%     0.06%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     4.38%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     4.35%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     4.26%     0.08%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.17%     0.04%  mariadbd         [kernel.kallsyms]    [k] aio_write
     4.17%     0.03%  mariadbd         [kernel.kallsyms]    [k] wp_page_copy
     4.09%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     3.96%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     3.54%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.52%     3.52%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.50%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.45%     3.45%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     2.97%     0.06%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     2.95%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     2.93%     0.03%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.83%     0.30%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.78%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.74%     0.04%  swapper          [kernel.kallsyms]    [k] schedule_idle
     2.70%     0.30%  swapper          [kernel.kallsyms]    [k] __schedule
     2.64%     0.29%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.63%     0.43%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.62%     0.10%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.58%     0.03%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.58%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.54%     0.03%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.52%     0.23%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.51%     0.00%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
