# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11131294483677
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                          
# ........  ........  ...............  .......................  ................................................................................................................................................................................
#
    32.74%     0.04%  swapper          [kernel.kallsyms]        [k] cpu_startup_entry
    32.74%     0.00%  swapper          [kernel.kallsyms]        [k] secondary_startup_64_no_verify
    32.69%     0.21%  swapper          [kernel.kallsyms]        [k] do_idle
    31.27%     0.19%  mariadbd         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
    31.08%     0.18%  mariadbd         [kernel.kallsyms]        [k] do_syscall_64
    27.56%     0.30%  swapper          [kernel.kallsyms]        [k] cpuidle_idle_call
    23.56%     0.02%  swapper          [kernel.kallsyms]        [k] cpuidle_enter
    23.54%     0.38%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
    14.32%     0.03%  mariadbd         [kernel.kallsyms]        [k] handle_mm_fault
    14.25%     0.06%  mariadbd         [kernel.kallsyms]        [k] __handle_mm_fault
    12.50%     0.19%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_futex
    12.31%     0.03%  mariadbd         [kernel.kallsyms]        [k] asm_exc_page_fault
    12.29%     0.17%  mariadbd         [kernel.kallsyms]        [k] do_futex
    12.23%     0.01%  mariadbd         [kernel.kallsyms]        [k] exc_page_fault
    12.22%     0.01%  mariadbd         [kernel.kallsyms]        [k] do_user_addr_fault
    10.57%    10.22%  swapper          [kernel.kallsyms]        [k] poll_idle
     7.69%     0.01%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_rw
     7.68%     0.17%  mariadbd         [kernel.kallsyms]        [k] __iomap_dio_rw
     7.54%     0.02%  mariadbd         [kernel.kallsyms]        [k] wp_page_copy
     7.49%     0.18%  mariadbd         [kernel.kallsyms]        [k] schedule
     7.40%     0.98%  mariadbd         [kernel.kallsyms]        [k] __schedule
     6.88%     0.18%  swapper          [kernel.kallsyms]        [k] acpi_idle_enter
     6.74%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pread64
     6.73%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_read_iter
     6.72%     0.02%  mariadbd         [kernel.kallsyms]        [k] vfs_read
     6.65%     0.04%  mariadbd         [kernel.kallsyms]        [k] new_sync_read
     6.56%     0.06%  mariadbd         [kernel.kallsyms]        [k] do_swap_page
     6.52%     0.34%  mariadbd         [kernel.kallsyms]        [k] futex_wait
     6.36%     0.03%  mariadbd         [kernel.kallsyms]        [k] __alloc_pages
     6.16%     0.05%  mariadbd         [kernel.kallsyms]        [k] alloc_pages_vma
     6.04%     0.00%  mariadbd         [kernel.kallsyms]        [k] __alloc_pages_slowpath.constprop.0
     6.01%     0.00%  mariadbd         [kernel.kallsyms]        [k] try_to_free_pages
     6.01%     0.00%  mariadbd         [kernel.kallsyms]        [k] do_try_to_free_pages
     6.01%     0.00%  mariadbd         [kernel.kallsyms]        [k] shrink_zones
     6.01%     0.00%  mariadbd         [kernel.kallsyms]        [k] shrink_node
     6.01%     0.00%  mariadbd         [kernel.kallsyms]        [k] shrink_node_memcgs
     5.98%     0.00%  mariadbd         [kernel.kallsyms]        [k] shrink_lruvec
     5.91%     0.04%  mariadbd         [kernel.kallsyms]        [k] iomap_apply
     5.84%     0.36%  mariadbd         [kernel.kallsyms]        [k] try_to_wake_up
     5.75%     0.00%  mariadbd         [kernel.kallsyms]        [k] shrink_inactive_list
     5.60%     0.38%  mariadbd         [kernel.kallsyms]        [k] futex_wake
     5.50%     0.02%  mariadbd         [kernel.kallsyms]        [k] swap_vma_readahead
     5.40%     0.15%  mariadbd         [kernel.kallsyms]        [k] futex_wait_queue_me
     4.67%     0.03%  mariadbd         [kernel.kallsyms]        [k] shrink_page_list
     4.52%     0.00%  mariadbd         [kernel.kallsyms]        [k] on_each_cpu_cond_mask
     4.51%     1.94%  mariadbd         [kernel.kallsyms]        [k] smp_call_function_many_cond
     4.44%     0.04%  mariadbd         [kernel.kallsyms]        [k] wake_up_q
     4.03%     0.07%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_actor
     3.90%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     3.86%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] do_syscall_64
     3.79%     0.02%  mariadbd         [kernel.kallsyms]        [k] __read_swap_cache_async
     3.74%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_submit
     3.73%     3.73%  swapper          [kernel.kallsyms]        [k] acpi_idle_do_entry
     3.72%     0.01%  mariadbd         [kernel.kallsyms]        [k] io_submit_one
     3.54%     0.01%  mariadbd         [kernel.kallsyms]        [k] aio_write
     3.48%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_write_iter
     3.42%     0.03%  mariadbd         [kernel.kallsyms]        [k] ext4_map_blocks
     3.30%     0.02%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     3.28%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     3.01%     0.01%  mariadbd         [kernel.kallsyms]        [k] bio_iov_iter_get_pages
     3.00%     0.03%  mariadbd         [kernel.kallsyms]        [k] __bio_iov_iter_get_pages
     2.91%     2.91%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints
     2.91%     0.01%  mariadbd         [kernel.kallsyms]        [k] iov_iter_get_pages
     2.89%     0.01%  mariadbd         [kernel.kallsyms]        [k] internal_get_user_pages_fast
     2.86%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     2.86%     0.02%  mariadbd         [kernel.kallsyms]        [k] hrtimer_interrupt
     2.70%     0.02%  mariadbd         [kernel.kallsyms]        [k] ptep_clear_flush
     2.68%     0.06%  mariadbd         [kernel.kallsyms]        [k] flush_tlb_mm_range
     2.64%     0.03%  mariadbd         [kernel.kallsyms]        [k] __hrtimer_run_queues
     2.62%     0.02%  mariadbd         [kernel.kallsyms]        [k] __run_hrtimer
     2.57%     0.06%  swapper          [kernel.kallsyms]        [k] schedule_idle
     2.54%     0.01%  mariadbd         [kernel.kallsyms]        [k] tick_sched_timer
     2.52%     0.13%  mariadbd         [kernel.kallsyms]        [k] pick_next_task_fair
     2.50%     0.36%  swapper          [kernel.kallsyms]        [k] __schedule
     2.37%     0.30%  mariadbd         [kernel.kallsyms]        [k] dequeue_task_fair
     2.36%     0.00%  mariadbd         [kernel.kallsyms]        [k] arch_tlbbatch_flush
     2.32%     0.00%  mariadbd         [kernel.kallsyms]        [k] try_to_unmap_flush_dirty
     2.31%     0.27%  mariadbd         [kernel.kallsyms]        [k] select_task_rq_fair
     2.29%     0.00%  mariadbd         [kernel.kallsyms]        [k] get_user_pages_unlocked
     2.28%     0.01%  mariadbd         [kernel.kallsyms]        [k] __get_user_pages
     2.26%     0.22%  swapper          [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     2.21%     0.01%  mariadbd         [kernel.kallsyms]        [k] tick_sched_handle
     2.20%     0.08%  mariadbd         [kernel.kallsyms]        [k] update_process_times
     2.13%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_sendto
     2.13%     0.03%  mariadbd         [kernel.kallsyms]        [k] __sys_sendto
     2.08%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_sendmsg
     2.05%     0.19%  mariadbd         [kernel.kallsyms]        [k] newidle_balance
     2.02%     1.93%  mariadbd         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     2.02%     0.06%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     2.02%     0.01%  swapper          [kernel.kallsyms]        [k] sysvec_call_function_single
     2.00%     0.03%  mariadbd         [kernel.kallsyms]        [k] unix_stream_sendmsg
     1.98%     0.27%  swapper          [kernel.kallsyms]        [k] menu_select
     1.95%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_write_checks
     1.87%     0.02%  mariadbd         [kernel.kallsyms]        [k] scheduler_tick
     1.86%     0.19%  mariadbd         [kernel.kallsyms]        [k] dequeue_entity
     1.80%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_iomap_begin
     1.77%     0.32%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function
     1.76%     0.68%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock
     1.74%     0.01%  mariadbd         [kernel.kallsyms]        [k] asm_common_interrupt
     1.73%     0.14%  swapper          [kernel.kallsyms]        [k] sched_ttwu_pending
     1.68%     0.02%  swapper          [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     1.66%     0.01%  swapper          [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     1.65%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_ext_map_blocks
     1.60%     0.01%  swapper          [kernel.kallsyms]        [k] asm_common_interrupt
     1.60%     0.01%  mariadbd         [kernel.kallsyms]        [k] common_interrupt
     1.59%     0.08%  mariadbd         [kernel.kallsyms]        [k] load_balance
     1.57%     0.01%  swapper          [kernel.kallsyms]        [k] common_interrupt
     1.57%     0.78%  mariadbd         [kernel.kallsyms]        [k] update_load_avg
     1.52%     0.31%  mariadbd         [kernel.kallsyms]        [k] ext4_find_extent
     1.48%     0.01%  mariadbd         [kernel.kallsyms]        [k] __common_interrupt
     1.47%     0.01%  mariadbd         [kernel.kallsyms]        [k] handle_edge_irq
     1.47%     0.07%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_activate
     1.45%     0.36%  mariadbd         [kernel.kallsyms]        [k] enqueue_task_fair
     1.44%     0.01%  mariadbd         [kernel.kallsyms]        [k] handle_irq_event
     1.43%     0.02%  mariadbd         [kernel.kallsyms]        [k] sysvec_call_function
     1.41%     0.04%  swapper          [kernel.kallsyms]        [k] ttwu_do_activate
     1.40%     1.40%  mariadbd         [kernel.kallsyms]        [k] __default_send_IPI_dest_field
     1.40%     0.05%  mariadbd         [kernel.kallsyms]        [k] swap_readpage
     1.40%     0.03%  mariadbd         [kernel.kallsyms]        [k] default_send_IPI_mask_sequence_phys
     1.39%     0.00%  swapper          [kernel.kallsyms]        [k] start_kernel
     1.39%     0.01%  swapper          [kernel.kallsyms]        [k] __common_interrupt
     1.38%     0.01%  mariadbd         [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.37%     0.41%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     1.37%     0.03%  swapper          [kernel.kallsyms]        [k] handle_edge_irq
     1.37%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_sendto
     1.37%     0.03%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_stop_tick
     1.37%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __sys_sendto
     1.36%     0.00%  mariadbd         [kernel.kallsyms]        [k] nvme_irq
     1.36%     0.09%  mariadbd         [kernel.kallsyms]        [k] nvme_process_cq
     1.36%     0.02%  mariadbd         [kernel.kallsyms]        [k] pagecache_get_page
     1.35%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_sendmsg
