# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10490410651502
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                           
# ........  ........  ...............  ..........................  .................................................................................................................................................................................
#
    33.88%     0.05%  swapper          [kernel.kallsyms]           [k] cpu_startup_entry
    33.88%     0.00%  swapper          [kernel.kallsyms]           [k] secondary_startup_64_no_verify
    33.83%     0.23%  swapper          [kernel.kallsyms]           [k] do_idle
    33.10%     0.21%  mariadbd         [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe
    32.88%     0.20%  mariadbd         [kernel.kallsyms]           [k] do_syscall_64
    28.31%     0.32%  swapper          [kernel.kallsyms]           [k] cpuidle_idle_call
    24.07%     0.02%  swapper          [kernel.kallsyms]           [k] cpuidle_enter
    24.04%     0.40%  swapper          [kernel.kallsyms]           [k] cpuidle_enter_state
    13.69%     0.20%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_futex
    13.48%     0.19%  mariadbd         [kernel.kallsyms]           [k] do_futex
    10.18%     9.85%  swapper          [kernel.kallsyms]           [k] poll_idle
     9.47%     0.03%  mariadbd         [kernel.kallsyms]           [k] handle_mm_fault
     9.40%     0.06%  mariadbd         [kernel.kallsyms]           [k] __handle_mm_fault
     8.01%     0.19%  mariadbd         [kernel.kallsyms]           [k] schedule
     7.90%     0.92%  mariadbd         [kernel.kallsyms]           [k] __schedule
     7.69%     0.01%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_rw
     7.68%     0.17%  mariadbd         [kernel.kallsyms]           [k] __iomap_dio_rw
     7.60%     0.03%  mariadbd         [kernel.kallsyms]           [k] asm_exc_page_fault
     7.54%     0.01%  mariadbd         [kernel.kallsyms]           [k] exc_page_fault
     7.53%     0.01%  mariadbd         [kernel.kallsyms]           [k] do_user_addr_fault
     7.37%     0.20%  swapper          [kernel.kallsyms]           [k] acpi_idle_enter
     7.16%     0.36%  mariadbd         [kernel.kallsyms]           [k] futex_wait
     6.76%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_pread64
     6.74%     0.02%  mariadbd         [kernel.kallsyms]           [k] vfs_read
     6.71%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_read_iter
     6.66%     0.05%  mariadbd         [kernel.kallsyms]           [k] new_sync_read
     6.37%     0.38%  mariadbd         [kernel.kallsyms]           [k] try_to_wake_up
     6.12%     0.40%  mariadbd         [kernel.kallsyms]           [k] futex_wake
     5.91%     0.17%  mariadbd         [kernel.kallsyms]           [k] futex_wait_queue_me
     5.80%     0.05%  mariadbd         [kernel.kallsyms]           [k] iomap_apply
     4.85%     0.05%  mariadbd         [kernel.kallsyms]           [k] wake_up_q
     4.63%     0.02%  mariadbd         [kernel.kallsyms]           [k] wp_page_copy
     4.60%     0.05%  mariadbd         [kernel.kallsyms]           [k] do_swap_page
     4.22%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe
     4.17%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] do_syscall_64
     4.11%     4.11%  swapper          [kernel.kallsyms]           [k] acpi_idle_do_entry
     3.96%     0.08%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_bio_actor
     3.72%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_io_submit
     3.71%     0.01%  mariadbd         [kernel.kallsyms]           [k] io_submit_one
     3.66%     0.02%  mariadbd         [kernel.kallsyms]           [k] swap_vma_readahead
     3.53%     0.01%  mariadbd         [kernel.kallsyms]           [k] aio_write
     3.52%     0.02%  mariadbd         [kernel.kallsyms]           [k] asm_sysvec_apic_timer_interrupt
     3.48%     0.00%  mariadbd         [kernel.kallsyms]           [k] sysvec_apic_timer_interrupt
     3.47%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_write_iter
     3.25%     0.04%  mariadbd         [kernel.kallsyms]           [k] ext4_map_blocks
     3.05%     0.01%  mariadbd         [kernel.kallsyms]           [k] __sysvec_apic_timer_interrupt
     3.04%     0.02%  mariadbd         [kernel.kallsyms]           [k] hrtimer_interrupt
     3.00%     3.00%  swapper          [kernel.kallsyms]           [k] mwait_idle_with_hints
     2.83%     0.01%  mariadbd         [kernel.kallsyms]           [k] bio_iov_iter_get_pages
     2.82%     0.03%  mariadbd         [kernel.kallsyms]           [k] __bio_iov_iter_get_pages
     2.80%     0.03%  mariadbd         [kernel.kallsyms]           [k] __hrtimer_run_queues
     2.77%     0.02%  mariadbd         [kernel.kallsyms]           [k] __run_hrtimer
     2.75%     0.06%  swapper          [kernel.kallsyms]           [k] schedule_idle
     2.73%     0.01%  mariadbd         [kernel.kallsyms]           [k] iov_iter_get_pages
     2.71%     0.01%  mariadbd         [kernel.kallsyms]           [k] internal_get_user_pages_fast
     2.71%     0.14%  mariadbd         [kernel.kallsyms]           [k] pick_next_task_fair
     2.69%     0.02%  mariadbd         [kernel.kallsyms]           [k] tick_sched_timer
     2.69%     0.40%  swapper          [kernel.kallsyms]           [k] __schedule
     2.65%     0.03%  mariadbd         [kernel.kallsyms]           [k] __alloc_pages
     2.57%     0.00%  mariadbd         [kernel.kallsyms]           [k] on_each_cpu_cond_mask
     2.56%     0.04%  mariadbd         [kernel.kallsyms]           [k] alloc_pages_vma
     2.56%     1.10%  mariadbd         [kernel.kallsyms]           [k] smp_call_function_many_cond
     2.56%     0.32%  mariadbd         [kernel.kallsyms]           [k] dequeue_task_fair
     2.53%     0.26%  swapper          [kernel.kallsyms]           [k] asm_sysvec_call_function_single
     2.52%     0.29%  mariadbd         [kernel.kallsyms]           [k] select_task_rq_fair
     2.38%     0.00%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_sendto
     2.38%     0.03%  mariadbd         [kernel.kallsyms]           [k] __sys_sendto
     2.34%     0.00%  mariadbd         [kernel.kallsyms]           [k] __alloc_pages_slowpath.constprop.0
     2.34%     0.01%  mariadbd         [kernel.kallsyms]           [k] tick_sched_handle
     2.33%     0.09%  mariadbd         [kernel.kallsyms]           [k] update_process_times
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] do_try_to_free_pages
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] try_to_free_pages
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_node
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_zones
     2.32%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_node_memcgs
     2.31%     0.01%  mariadbd         [kernel.kallsyms]           [k] sock_sendmsg
     2.31%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_lruvec
     2.26%     0.01%  swapper          [kernel.kallsyms]           [k] sysvec_call_function_single
     2.25%     0.07%  mariadbd         [kernel.kallsyms]           [k] syscall_exit_to_user_mode
     2.24%     0.00%  mariadbd         [kernel.kallsyms]           [k] shrink_inactive_list
     2.23%     0.21%  mariadbd         [kernel.kallsyms]           [k] newidle_balance
     2.22%     0.03%  mariadbd         [kernel.kallsyms]           [k] unix_stream_sendmsg
     2.14%     0.02%  mariadbd         [kernel.kallsyms]           [k] ptep_clear_flush
     2.13%     0.29%  swapper          [kernel.kallsyms]           [k] menu_select
     2.12%     0.05%  mariadbd         [kernel.kallsyms]           [k] flush_tlb_mm_range
     2.12%     0.00%  mariadbd         [kernel.kallsyms]           [k] get_user_pages_unlocked
     2.11%     0.01%  mariadbd         [kernel.kallsyms]           [k] __get_user_pages
     2.07%     0.02%  mariadbd         [kernel.kallsyms]           [k] __read_swap_cache_async
     2.02%     0.20%  mariadbd         [kernel.kallsyms]           [k] dequeue_entity
     1.96%     0.02%  mariadbd         [kernel.kallsyms]           [k] scheduler_tick
     1.89%     0.15%  swapper          [kernel.kallsyms]           [k] sched_ttwu_pending
     1.86%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_write_checks
     1.83%     0.03%  mariadbd         [kernel.kallsyms]           [k] shrink_page_list
