# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6625486293113
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                                                                    
# ........  ........  ...............  ..........................  ..........................................................................................................................................................................................................................
#
    46.84%     0.16%  mariadbd         [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe
    46.68%     0.17%  mariadbd         [kernel.kallsyms]           [k] do_syscall_64
    32.67%     0.06%  swapper          [kernel.kallsyms]           [k] cpu_startup_entry
    32.67%     0.00%  swapper          [kernel.kallsyms]           [k] secondary_startup_64_no_verify
    32.61%     0.21%  swapper          [kernel.kallsyms]           [k] do_idle
    27.23%     0.34%  swapper          [kernel.kallsyms]           [k] cpuidle_idle_call
    27.11%     0.01%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_rw
    27.10%     0.31%  mariadbd         [kernel.kallsyms]           [k] __iomap_dio_rw
    26.70%     0.01%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_pread64
    26.66%     0.02%  mariadbd         [kernel.kallsyms]           [k] ext4_dio_read_iter
    26.66%     0.04%  mariadbd         [kernel.kallsyms]           [k] vfs_read
    26.54%     0.08%  mariadbd         [kernel.kallsyms]           [k] new_sync_read
    24.35%     0.06%  mariadbd         [kernel.kallsyms]           [k] iomap_apply
    23.60%     0.02%  swapper          [kernel.kallsyms]           [k] cpuidle_enter
    23.57%     0.43%  swapper          [kernel.kallsyms]           [k] cpuidle_enter_state
    23.54%     0.01%  mariadbd         [kernel.kallsyms]           [k] handle_mm_fault
    23.53%     0.01%  mariadbd         [kernel.kallsyms]           [k] __handle_mm_fault
    23.50%     0.11%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_bio_actor
    23.28%     0.01%  mariadbd         [kernel.kallsyms]           [k] __do_huge_pmd_anonymous_page
    22.92%     0.01%  mariadbd         [kernel.kallsyms]           [k] clear_huge_page
    22.57%     0.27%  mariadbd         [kernel.kallsyms]           [k] clear_subpage
    22.33%    21.74%  mariadbd         [kernel.kallsyms]           [k] clear_page_rep
    21.92%     0.01%  mariadbd         [kernel.kallsyms]           [k] bio_iov_iter_get_pages
    21.92%     0.03%  mariadbd         [kernel.kallsyms]           [k] __bio_iov_iter_get_pages
    21.71%     0.02%  mariadbd         [kernel.kallsyms]           [k] iov_iter_get_pages
    21.68%     0.01%  mariadbd         [kernel.kallsyms]           [k] internal_get_user_pages_fast
    21.20%     0.00%  mariadbd         [kernel.kallsyms]           [k] get_user_pages_unlocked
    21.19%     0.01%  mariadbd         [kernel.kallsyms]           [k] __get_user_pages
    10.63%     0.16%  mariadbd         [kernel.kallsyms]           [k] __x64_sys_futex
    10.46%     0.15%  mariadbd         [kernel.kallsyms]           [k] do_futex
     9.95%     9.65%  swapper          [kernel.kallsyms]           [k] poll_idle
     7.15%     0.19%  swapper          [kernel.kallsyms]           [k] acpi_idle_enter
     6.06%     0.17%  mariadbd         [kernel.kallsyms]           [k] schedule
     5.93%     0.74%  mariadbd         [kernel.kallsyms]           [k] __schedule
     5.38%     0.29%  mariadbd         [kernel.kallsyms]           [k] futex_wait
     5.08%     0.30%  mariadbd         [kernel.kallsyms]           [k] try_to_wake_up
     4.93%     0.43%  mariadbd         [kernel.kallsyms]           [k] futex_wake
     4.28%     0.10%  mariadbd         [kernel.kallsyms]           [k] futex_wait_queue_me
     4.22%     4.22%  swapper          [kernel.kallsyms]           [k] acpi_idle_do_entry
     4.18%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] entry_SYSCALL_64_after_hwframe
     4.15%     0.03%  tclsh8.6         [kernel.kallsyms]           [k] do_syscall_64
     3.74%     0.05%  mariadbd         [kernel.kallsyms]           [k] wake_up_q
     3.08%     0.06%  mariadbd         [kernel.kallsyms]           [k] asm_sysvec_apic_timer_interrupt
     3.01%     0.01%  mariadbd         [kernel.kallsyms]           [k] sysvec_apic_timer_interrupt
     2.93%     0.33%  swapper          [kernel.kallsyms]           [k] asm_sysvec_call_function_single
     2.69%     2.69%  swapper          [kernel.kallsyms]           [k] mwait_idle_with_hints
     2.65%     0.06%  swapper          [kernel.kallsyms]           [k] schedule_idle
     2.63%     0.01%  mariadbd         [kernel.kallsyms]           [k] __sysvec_apic_timer_interrupt
     2.62%     0.03%  mariadbd         [kernel.kallsyms]           [k] hrtimer_interrupt
     2.58%     0.33%  swapper          [kernel.kallsyms]           [k] __schedule
     2.57%     0.02%  swapper          [kernel.kallsyms]           [k] sysvec_call_function_single
     2.40%     0.03%  mariadbd         [kernel.kallsyms]           [k] __hrtimer_run_queues
     2.39%     0.00%  mariadbd         [kernel.kallsyms]           [k] asm_exc_page_fault
     2.39%     0.00%  mariadbd         [kernel.kallsyms]           [k] exc_page_fault
     2.39%     0.00%  mariadbd         [kernel.kallsyms]           [k] do_user_addr_fault
     2.36%     0.02%  mariadbd         [kernel.kallsyms]           [k] __run_hrtimer
     2.29%     0.01%  mariadbd         [kernel.kallsyms]           [k] tick_sched_timer
     2.18%     0.25%  mariadbd         [kernel.kallsyms]           [k] dequeue_task_fair
