# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'cycles'
# Event count (approx.): 1205267086608
#
# Children      Self  Command          Shared Object         Symbol                                                                                                      
# ........  ........  ...............  ....................  ............................................................................................................
#
    36.27%     0.21%  mariadbd         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    36.06%     0.22%  mariadbd         [kernel.kallsyms]     [k] do_syscall_64
    35.81%     0.06%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    35.81%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    35.75%     0.25%  swapper          [kernel.kallsyms]     [k] do_idle
    28.98%     0.29%  swapper          [kernel.kallsyms]     [k] cpuidle_idle_call
    24.95%     0.02%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    24.91%     0.35%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    16.13%     0.22%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_futex
    15.89%     0.20%  mariadbd         [kernel.kallsyms]     [k] do_futex
    11.62%    11.28%  swapper          [kernel.kallsyms]     [k] poll_idle
     9.46%     0.23%  mariadbd         [kernel.kallsyms]     [k] schedule
     9.27%     1.05%  mariadbd         [kernel.kallsyms]     [k] __schedule
     8.59%     0.38%  mariadbd         [kernel.kallsyms]     [k] futex_wait
     7.35%     0.23%  swapper          [kernel.kallsyms]     [k] acpi_idle_enter
     7.09%     0.63%  mariadbd         [kernel.kallsyms]     [k] futex_wake
     7.04%     0.45%  mariadbd         [kernel.kallsyms]     [k] try_to_wake_up
     6.96%     0.06%  tclsh8.6         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     6.90%     0.07%  tclsh8.6         [kernel.kallsyms]     [k] do_syscall_64
     6.73%     0.15%  mariadbd         [kernel.kallsyms]     [k] futex_wait_queue_me
     5.94%     0.01%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_rw
     5.93%     0.24%  mariadbd         [kernel.kallsyms]     [k] __iomap_dio_rw
     5.16%     0.08%  mariadbd         [kernel.kallsyms]     [k] wake_up_q
     5.11%     0.01%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_pread64
     5.09%     0.05%  mariadbd         [kernel.kallsyms]     [k] vfs_read
     4.97%     0.02%  mariadbd         [kernel.kallsyms]     [k] ext4_dio_read_iter
     4.97%     0.07%  mariadbd         [kernel.kallsyms]     [k] new_sync_read
     4.00%     0.02%  mariadbd         [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     3.95%     0.01%  mariadbd         [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     3.75%     3.75%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints
     3.51%     0.00%  mariadbd         [kernel.kallsyms]     [k] __x64_sys_sendto
     3.51%     0.04%  mariadbd         [kernel.kallsyms]     [k] __sys_sendto
     3.45%     0.01%  mariadbd         [kernel.kallsyms]     [k] sock_sendmsg
     3.43%     0.01%  mariadbd         [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     3.42%     0.03%  mariadbd         [kernel.kallsyms]     [k] hrtimer_interrupt
     3.36%     0.06%  mariadbd         [kernel.kallsyms]     [k] unix_stream_sendmsg
     3.31%     3.31%  swapper          [kernel.kallsyms]     [k] acpi_idle_do_entry
     3.31%     0.07%  mariadbd         [kernel.kallsyms]     [k] iomap_apply
     3.29%     0.08%  swapper          [kernel.kallsyms]     [k] schedule_idle
     3.21%     0.43%  swapper          [kernel.kallsyms]     [k] __schedule
     3.18%     0.03%  mariadbd         [kernel.kallsyms]     [k] __hrtimer_run_queues
     3.15%     0.03%  mariadbd         [kernel.kallsyms]     [k] __run_hrtimer
     3.11%     0.39%  mariadbd         [kernel.kallsyms]     [k] dequeue_task_fair
     3.04%     0.02%  mariadbd         [kernel.kallsyms]     [k] tick_sched_timer
     2.87%     0.37%  mariadbd         [kernel.kallsyms]     [k] select_task_rq_fair
     2.80%     0.36%  swapper          [kernel.kallsyms]     [k] asm_sysvec_call_function_single
     2.78%     0.16%  mariadbd         [kernel.kallsyms]     [k] pick_next_task_fair
     2.72%     0.01%  mariadbd         [kernel.kallsyms]     [k] tick_sched_handle
     2.71%     0.13%  mariadbd         [kernel.kallsyms]     [k] update_process_times
     2.62%     0.20%  swapper          [kernel.kallsyms]     [k] sched_ttwu_pending
     2.52%     0.09%  mariadbd         [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     2.42%     0.13%  mariadbd         [kernel.kallsyms]     [k] iomap_dio_bio_actor
     2.40%     0.02%  swapper          [kernel.kallsyms]     [k] sysvec_call_function_single
     2.39%     0.23%  mariadbd         [kernel.kallsyms]     [k] dequeue_entity
     2.37%     0.36%  swapper          [kernel.kallsyms]     [k] menu_select
     2.37%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] __x64_sys_sendto
     2.37%     0.74%  mariadbd         [kernel.kallsyms]     [k] _raw_spin_lock
     2.37%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] __sys_sendto
     2.35%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] sock_sendmsg
     2.33%     0.03%  tclsh8.6         [kernel.kallsyms]     [k] unix_stream_sendmsg
