# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10607535979821
#
# Children      Self  Command          Shared Object                          Symbol                                                                                                                                                                        
# ........  ........  ...............  .....................................  ..............................................................................................................................................................................
#
    36.84%     0.06%  swapper          [kernel.kallsyms]                      [k] cpu_startup_entry
    36.84%     0.00%  swapper          [kernel.kallsyms]                      [k] secondary_startup_64_no_verify
    36.78%     0.25%  swapper          [kernel.kallsyms]                      [k] do_idle
    35.47%     0.24%  mariadbd         [kernel.kallsyms]                      [k] entry_SYSCALL_64_after_hwframe
    35.24%     0.24%  mariadbd         [kernel.kallsyms]                      [k] do_syscall_64
    29.91%     0.32%  swapper          [kernel.kallsyms]                      [k] cpuidle_idle_call
    25.96%     0.02%  swapper          [kernel.kallsyms]                      [k] cpuidle_enter
    25.93%     0.36%  swapper          [kernel.kallsyms]                      [k] cpuidle_enter_state
    15.44%     0.22%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_futex
    15.20%     0.19%  mariadbd         [kernel.kallsyms]                      [k] do_futex
    12.19%    11.85%  swapper          [kernel.kallsyms]                      [k] poll_idle
     8.86%     0.23%  mariadbd         [kernel.kallsyms]                      [k] schedule
     8.69%     1.01%  mariadbd         [kernel.kallsyms]                      [k] __schedule
     8.09%     0.39%  mariadbd         [kernel.kallsyms]                      [k] futex_wait
     7.71%     0.21%  swapper          [kernel.kallsyms]                      [k] acpi_idle_enter
     6.94%     0.42%  mariadbd         [kernel.kallsyms]                      [k] try_to_wake_up
     6.91%     0.58%  mariadbd         [kernel.kallsyms]                      [k] futex_wake
     6.88%     0.06%  tclsh8.6         [kernel.kallsyms]                      [k] entry_SYSCALL_64_after_hwframe
     6.83%     0.06%  tclsh8.6         [kernel.kallsyms]                      [k] do_syscall_64
     6.30%     0.15%  mariadbd         [kernel.kallsyms]                      [k] futex_wait_queue_me
     5.96%     0.01%  mariadbd         [kernel.kallsyms]                      [k] iomap_dio_rw
     5.95%     0.26%  mariadbd         [kernel.kallsyms]                      [k] __iomap_dio_rw
     5.11%     0.07%  mariadbd         [kernel.kallsyms]                      [k] wake_up_q
     5.06%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_pread64
     5.03%     0.04%  mariadbd         [kernel.kallsyms]                      [k] vfs_read
     4.94%     0.02%  mariadbd         [kernel.kallsyms]                      [k] ext4_dio_read_iter
     4.91%     0.06%  mariadbd         [kernel.kallsyms]                      [k] new_sync_read
     4.06%     4.06%  swapper          [kernel.kallsyms]                      [k] mwait_idle_with_hints
     3.86%     0.02%  mariadbd         [kernel.kallsyms]                      [k] asm_sysvec_apic_timer_interrupt
     3.82%     0.01%  mariadbd         [kernel.kallsyms]                      [k] sysvec_apic_timer_interrupt
     3.41%     0.06%  mariadbd         [kernel.kallsyms]                      [k] iomap_apply
     3.37%     3.37%  swapper          [kernel.kallsyms]                      [k] acpi_idle_do_entry
     3.35%     0.00%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_sendto
     3.35%     0.03%  mariadbd         [kernel.kallsyms]                      [k] __sys_sendto
     3.33%     0.09%  swapper          [kernel.kallsyms]                      [k] schedule_idle
     3.32%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __sysvec_apic_timer_interrupt
     3.31%     0.02%  mariadbd         [kernel.kallsyms]                      [k] hrtimer_interrupt
     3.29%     0.02%  mariadbd         [kernel.kallsyms]                      [k] sock_sendmsg
     3.24%     0.46%  swapper          [kernel.kallsyms]                      [k] __schedule
     3.19%     0.05%  mariadbd         [kernel.kallsyms]                      [k] unix_stream_sendmsg
     3.07%     0.03%  mariadbd         [kernel.kallsyms]                      [k] __hrtimer_run_queues
     3.05%     0.02%  mariadbd         [kernel.kallsyms]                      [k] __run_hrtimer
     2.96%     0.02%  mariadbd         [kernel.kallsyms]                      [k] tick_sched_timer
     2.95%     0.35%  mariadbd         [kernel.kallsyms]                      [k] dequeue_task_fair
     2.82%     0.33%  swapper          [kernel.kallsyms]                      [k] asm_sysvec_call_function_single
     2.80%     0.35%  mariadbd         [kernel.kallsyms]                      [k] select_task_rq_fair
     2.65%     0.19%  swapper          [kernel.kallsyms]                      [k] sched_ttwu_pending
     2.63%     0.01%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_io_submit
     2.63%     0.01%  mariadbd         [kernel.kallsyms]                      [k] tick_sched_handle
     2.62%     0.11%  mariadbd         [kernel.kallsyms]                      [k] update_process_times
     2.61%     0.01%  mariadbd         [kernel.kallsyms]                      [k] io_submit_one
     2.50%     0.16%  mariadbd         [kernel.kallsyms]                      [k] pick_next_task_fair
     2.45%     0.02%  swapper          [kernel.kallsyms]                      [k] sysvec_call_function_single
     2.44%     0.09%  mariadbd         [kernel.kallsyms]                      [k] syscall_exit_to_user_mode
     2.43%     0.01%  mariadbd         [kernel.kallsyms]                      [k] aio_write
     2.42%     0.00%  tclsh8.6         [kernel.kallsyms]                      [k] __x64_sys_sendto
     2.41%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] __sys_sendto
     2.39%     0.01%  tclsh8.6         [kernel.kallsyms]                      [k] sock_sendmsg
     2.38%     0.01%  mariadbd         [kernel.kallsyms]                      [k] ext4_dio_write_iter
     2.37%     0.04%  tclsh8.6         [kernel.kallsyms]                      [k] unix_stream_sendmsg
     2.34%     0.33%  swapper          [kernel.kallsyms]                      [k] menu_select
     2.33%     0.25%  mariadbd         [kernel.kallsyms]                      [k] dequeue_entity
     2.32%     0.10%  mariadbd         [kernel.kallsyms]                      [k] iomap_dio_bio_actor
     2.17%     0.03%  mariadbd         [kernel.kallsyms]                      [k] scheduler_tick
     2.15%     0.66%  mariadbd         [kernel.kallsyms]                      [k] _raw_spin_lock
     2.09%     0.03%  mariadbd         [kernel.kallsyms]                      [k] __x64_sys_poll
     2.02%     0.01%  mariadbd         [kernel.kallsyms]                      [k] asm_common_interrupt
     1.98%     0.10%  mariadbd         [kernel.kallsyms]                      [k] do_sys_poll
     1.97%     0.02%  swapper          [kernel.kallsyms]                      [k] asm_sysvec_apic_timer_interrupt
