# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10497091417354
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                                                          
# ........  ........  ...............  .......................  ................................................................................................................................................................................
#
    36.82%     0.07%  swapper          [kernel.kallsyms]        [k] cpu_startup_entry
    36.82%     0.00%  swapper          [kernel.kallsyms]        [k] secondary_startup_64_no_verify
    36.74%     0.26%  swapper          [kernel.kallsyms]        [k] do_idle
    35.27%     0.23%  mariadbd         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
    35.03%     0.24%  mariadbd         [kernel.kallsyms]        [k] do_syscall_64
    29.90%     0.33%  swapper          [kernel.kallsyms]        [k] cpuidle_idle_call
    25.89%     0.03%  swapper          [kernel.kallsyms]        [k] cpuidle_enter
    25.86%     0.37%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
    15.64%     0.23%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_futex
    15.40%     0.20%  mariadbd         [kernel.kallsyms]        [k] do_futex
    12.13%    11.78%  swapper          [kernel.kallsyms]        [k] poll_idle
     8.87%     0.25%  mariadbd         [kernel.kallsyms]        [k] schedule
     8.67%     1.01%  mariadbd         [kernel.kallsyms]        [k] __schedule
     8.13%     0.40%  mariadbd         [kernel.kallsyms]        [k] futex_wait
     7.67%     0.21%  swapper          [kernel.kallsyms]        [k] acpi_idle_enter
     7.07%     0.44%  mariadbd         [kernel.kallsyms]        [k] try_to_wake_up
     7.07%     0.60%  mariadbd         [kernel.kallsyms]        [k] futex_wake
     7.01%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     6.95%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] do_syscall_64
     6.32%     0.15%  mariadbd         [kernel.kallsyms]        [k] futex_wait_queue_me
     5.70%     0.01%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_rw
     5.70%     0.24%  mariadbd         [kernel.kallsyms]        [k] __iomap_dio_rw
     5.22%     0.07%  mariadbd         [kernel.kallsyms]        [k] wake_up_q
     4.81%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pread64
     4.78%     0.04%  mariadbd         [kernel.kallsyms]        [k] vfs_read
     4.67%     0.08%  mariadbd         [kernel.kallsyms]        [k] new_sync_read
     4.64%     0.02%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_read_iter
     3.96%     3.96%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints
     3.80%     0.02%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     3.77%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     3.41%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_sendto
     3.41%     0.04%  mariadbd         [kernel.kallsyms]        [k] __sys_sendto
     3.41%     3.41%  swapper          [kernel.kallsyms]        [k] acpi_idle_do_entry
     3.34%     0.02%  mariadbd         [kernel.kallsyms]        [k] sock_sendmsg
     3.29%     0.08%  swapper          [kernel.kallsyms]        [k] schedule_idle
     3.27%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     3.26%     0.02%  mariadbd         [kernel.kallsyms]        [k] hrtimer_interrupt
     3.24%     0.05%  mariadbd         [kernel.kallsyms]        [k] unix_stream_sendmsg
     3.21%     0.46%  swapper          [kernel.kallsyms]        [k] __schedule
     3.18%     0.06%  mariadbd         [kernel.kallsyms]        [k] iomap_apply
     3.02%     0.03%  mariadbd         [kernel.kallsyms]        [k] __hrtimer_run_queues
     2.99%     0.02%  mariadbd         [kernel.kallsyms]        [k] __run_hrtimer
     2.92%     0.36%  mariadbd         [kernel.kallsyms]        [k] select_task_rq_fair
     2.92%     0.34%  mariadbd         [kernel.kallsyms]        [k] dequeue_task_fair
     2.91%     0.02%  mariadbd         [kernel.kallsyms]        [k] tick_sched_timer
     2.88%     0.34%  swapper          [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     2.65%     0.19%  swapper          [kernel.kallsyms]        [k] sched_ttwu_pending
     2.59%     0.01%  mariadbd         [kernel.kallsyms]        [k] tick_sched_handle
     2.58%     0.12%  mariadbd         [kernel.kallsyms]        [k] update_process_times
     2.51%     0.03%  swapper          [kernel.kallsyms]        [k] sysvec_call_function_single
     2.50%     0.17%  mariadbd         [kernel.kallsyms]        [k] pick_next_task_fair
     2.48%     0.09%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_to_user_mode
     2.46%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_sendto
     2.46%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __sys_sendto
     2.43%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_sendmsg
     2.42%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_sendmsg
     2.40%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_submit
     2.39%     0.33%  swapper          [kernel.kallsyms]        [k] menu_select
     2.37%     0.01%  mariadbd         [kernel.kallsyms]        [k] io_submit_one
     2.32%     0.10%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_actor
     2.30%     0.25%  mariadbd         [kernel.kallsyms]        [k] dequeue_entity
     2.23%     0.01%  mariadbd         [kernel.kallsyms]        [k] aio_write
     2.17%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_write_iter
     2.17%     0.68%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock
     2.12%     0.03%  mariadbd         [kernel.kallsyms]        [k] scheduler_tick
     2.10%     0.03%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_poll
     2.07%     0.01%  mariadbd         [kernel.kallsyms]        [k] asm_common_interrupt
     2.02%     0.03%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     2.00%     0.12%  mariadbd         [kernel.kallsyms]        [k] do_sys_poll
     1.99%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] __sys_recvfrom
     1.94%     0.02%  swapper          [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     1.93%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_poll
     1.92%     0.05%  swapper          [kernel.kallsyms]        [k] ttwu_do_activate
     1.91%     0.18%  tclsh8.6         [kernel.kallsyms]        [k] do_sys_poll
     1.91%     0.01%  swapper          [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     1.90%     0.21%  mariadbd         [kernel.kallsyms]        [k] newidle_balance
     1.87%     0.53%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     1.86%     0.89%  mariadbd         [kernel.kallsyms]        [k] update_load_avg
     1.82%     0.01%  mariadbd         [kernel.kallsyms]        [k] common_interrupt
     1.78%     0.12%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     1.76%     0.11%  mariadbd         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.72%     0.26%  mariadbd         [kernel.kallsyms]        [k] select_idle_sibling
     1.72%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_recvmsg
     1.70%     0.02%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     1.70%     0.17%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_generic
     1.69%     0.01%  mariadbd         [kernel.kallsyms]        [k] __common_interrupt
     1.68%     0.02%  mariadbd         [kernel.kallsyms]        [k] __sys_recvfrom
     1.68%     0.02%  mariadbd         [kernel.kallsyms]        [k] handle_edge_irq
     1.67%     0.06%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_activate
     1.66%     0.38%  mariadbd         [kernel.kallsyms]        [k] enqueue_task_fair
     1.64%     0.02%  mariadbd         [kernel.kallsyms]        [k] handle_irq_event
     1.64%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_call_function_single
     1.61%     0.13%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     1.60%     0.14%  tclsh8.6         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.58%     0.02%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common_lock
     1.57%     0.02%  mariadbd         [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.55%     0.01%  mariadbd         [kernel.kallsyms]        [k] nvme_irq
     1.54%     0.07%  mariadbd         [kernel.kallsyms]        [k] sock_def_readable
     1.54%     0.10%  mariadbd         [kernel.kallsyms]        [k] nvme_process_cq
     1.53%     0.13%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common
     1.50%     0.02%  mariadbd         [kernel.kallsyms]        [k] unix_stream_recvmsg
     1.50%     1.46%  mariadbd         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     1.48%     0.13%  mariadbd         [kernel.kallsyms]        [k] unix_stream_read_generic
     1.45%     0.07%  mariadbd         [kernel.kallsyms]        [k] load_balance
     1.45%     0.56%  mariadbd         [kernel.kallsyms]        [k] update_curr
     1.41%     0.00%  swapper          [kernel.kallsyms]        [k] start_kernel
     1.41%     0.03%  mariadbd         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     1.39%     0.07%  mariadbd         [kernel.kallsyms]        [k] pollwake
     1.37%     0.37%  mariadbd         [kernel.kallsyms]        [k] futex_wait_setup
     1.33%     0.42%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     1.30%     0.27%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_work
     1.29%     0.03%  mariadbd         [kernel.kallsyms]        [k] perf_event_task_tick
     1.26%     0.16%  mariadbd         [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     1.24%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     1.23%     0.01%  swapper          [kernel.kallsyms]        [k] hrtimer_interrupt
     1.23%     0.36%  mariadbd         [kernel.kallsyms]        [k] ttwu_queue_wakelist
     1.17%     0.06%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_call_function_single
     1.16%     0.01%  mariadbd         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     1.15%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pwrite64
     1.15%     0.00%  mariadbd         [kernel.kallsyms]        [k] vfs_write
     1.15%     0.00%  mariadbd         [kernel.kallsyms]        [k] new_sync_write
     1.15%     0.00%  mariadbd         [kernel.kallsyms]        [k] ext4_buffered_write_iter
     1.13%     0.06%  mariadbd         [kernel.kallsyms]        [k] alloc_skb_with_frags
     1.13%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_mq_end_request
     1.12%     0.25%  mariadbd         [kernel.kallsyms]        [k] select_idle_cpu
     1.12%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_finish_plug
     1.12%     0.01%  swapper          [kernel.kallsyms]        [k] asm_common_interrupt
     1.10%     0.01%  mariadbd         [kernel.kallsyms]        [k] generic_perform_write
     1.10%     0.01%  swapper          [kernel.kallsyms]        [k] common_interrupt
     1.09%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common_lock
     1.09%     1.09%  mariadbd         [kernel.kallsyms]        [k] available_idle_cpu
     1.09%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_flush_plug_list
     1.08%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     1.07%     0.29%  mariadbd         [kernel.kallsyms]        [k] enqueue_entity
     1.07%     0.01%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_submit_bio
     1.07%     0.07%  mariadbd         [kernel.kallsyms]        [k] __alloc_skb
     1.07%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_sched_insert_requests
     1.06%     0.05%  swapper          [kernel.kallsyms]        [k] __irq_exit_rcu
     1.06%     0.10%  tclsh8.6         [kernel.kallsyms]        [k] __wake_up_common
     1.06%     0.53%  swapper          [kernel.kallsyms]        [k] update_load_avg
     1.05%     0.02%  mariadbd         [kernel.kallsyms]        [k] amd_pmu_disable_all
     1.05%     0.07%  swapper          [kernel.kallsyms]        [k] tick_nohz_get_sleep_length
     1.04%     0.05%  mariadbd         [kernel.kallsyms]        [k] blk_mq_try_issue_list_directly
     1.04%     0.01%  swapper          [kernel.kallsyms]        [k] __hrtimer_run_queues
     1.04%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] schedule
     1.04%     0.01%  mariadbd         [kernel.kallsyms]        [k] io_schedule_timeout
     1.03%     0.01%  swapper          [kernel.kallsyms]        [k] __run_hrtimer
     1.02%     0.01%  mariadbd         [kernel.kallsyms]        [k] schedule_timeout
     1.02%     0.04%  mariadbd         [kernel.kallsyms]        [k] blk_update_request
     1.02%     0.54%  mariadbd         [kernel.kallsyms]        [k] __audit_syscall_exit
     1.01%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] sock_def_readable
     1.01%     0.01%  swapper          [kernel.kallsyms]        [k] tick_sched_timer
     0.99%     0.14%  tclsh8.6         [kernel.kallsyms]        [k] __schedule
     0.99%     0.01%  swapper          [kernel.kallsyms]        [k] __common_interrupt
     0.99%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] sock_alloc_send_pskb
     0.98%     0.02%  swapper          [kernel.kallsyms]        [k] handle_edge_irq
     0.97%     0.03%  mariadbd         [kernel.kallsyms]        [k] __blk_mq_try_issue_directly
     0.97%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] alloc_skb_with_frags
     0.96%     0.07%  tclsh8.6         [kernel.kallsyms]        [k] pollwake
     0.93%     0.21%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.93%     0.01%  swapper          [kernel.kallsyms]        [k] __softirqentry_text_start
     0.93%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] try_to_wake_up
     0.92%     0.01%  swapper          [kernel.kallsyms]        [k] handle_irq_event
     0.92%     0.09%  mariadbd         [kernel.kallsyms]        [k] nvme_queue_rq
     0.91%     0.06%  tclsh8.6         [kernel.kallsyms]        [k] __alloc_skb
     0.89%     0.03%  mariadbd         [kernel.kallsyms]        [k] find_busiest_group
     0.88%     0.02%  swapper          [kernel.kallsyms]        [k] __handle_irq_event_percpu
