# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 500598807923
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................................................................
#
    35.22%     0.05%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    35.22%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    35.16%     0.24%  swapper          [kernel.kallsyms]    [k] do_idle
    32.79%     0.17%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    32.62%     0.22%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    29.26%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    25.13%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    25.10%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    14.33%     0.17%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    14.14%     0.17%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.50%    11.10%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.66%     0.23%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.50%     0.97%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.56%     0.37%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.52%     0.27%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.58%     0.34%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.40%     0.45%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.39%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     6.38%     0.21%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     5.98%     0.13%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     5.48%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     5.42%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     5.42%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     5.41%     0.02%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     5.36%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     5.34%     0.06%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.34%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     5.29%     0.06%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     4.82%     0.07%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     4.55%     0.01%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     4.55%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     4.07%     0.06%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     3.63%     3.63%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.61%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.59%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.52%     3.52%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.09%     0.06%  swapper          [kernel.kallsyms]    [k] schedule_idle
     3.03%     0.33%  swapper          [kernel.kallsyms]    [k] __schedule
     3.02%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.01%     0.02%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.99%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     2.97%     0.09%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.96%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     2.95%     0.03%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     2.93%     0.15%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.84%     0.00%  mariadbd         [kernel.kallsyms]    [k] aio_write
     2.81%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.81%     0.04%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.81%     0.03%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.78%     0.01%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.74%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.73%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.73%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.69%     0.32%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.67%     0.31%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.66%     0.06%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
