# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 497685574728
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                     
# ........  ........  ...............  ...................  ...........................................................................................................................................................................
#
    34.05%     0.21%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    34.04%     0.09%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    34.04%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    33.94%     0.21%  swapper          [kernel.kallsyms]    [k] do_idle
    33.85%     0.22%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    27.98%     0.33%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    23.88%     0.04%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    23.84%     0.36%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    13.76%     0.24%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    13.50%     0.15%  mariadbd         [kernel.kallsyms]    [k] do_futex
    10.82%    10.51%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.62%     0.19%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.55%     0.93%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.38%     0.32%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.04%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     7.03%     0.21%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     6.91%     0.16%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.39%     0.42%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.08%     0.13%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     6.03%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     6.00%     0.04%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     5.96%     0.39%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.94%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     5.90%     0.05%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.46%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     5.40%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     4.93%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     4.88%     0.08%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     4.79%     0.06%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     4.61%     0.06%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.27%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     4.25%     0.02%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     4.20%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     4.14%     0.02%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     4.12%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     4.09%     0.01%  mariadbd         [kernel.kallsyms]    [k] aio_write
     4.01%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     3.69%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.66%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.63%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     3.62%     3.62%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.08%     3.08%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.06%     0.08%  swapper          [kernel.kallsyms]    [k] schedule_idle
     3.05%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.98%     0.07%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.97%     0.41%  swapper          [kernel.kallsyms]    [k] __schedule
     2.92%     0.15%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.92%     0.06%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     2.82%     0.01%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.80%     0.02%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.79%     0.33%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.74%     0.01%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.69%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.69%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.65%     0.02%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.61%     0.25%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.55%     0.04%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.52%     0.34%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.44%     0.00%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.43%     0.07%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.35%     0.22%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     2.34%     0.02%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.30%     0.07%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     2.27%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     2.21%     0.29%  swapper          [kernel.kallsyms]    [k] menu_select
     2.19%     0.21%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     2.15%     0.16%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     2.08%     0.00%  mariadbd         [kernel.kallsyms]    [k] asm_common_interrupt
     1.98%     0.03%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     1.87%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.87%     0.09%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.87%     0.04%  mariadbd         [kernel.kallsyms]    [k] swap_vma_readahead
     1.85%     0.86%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.84%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.84%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.84%     0.00%  mariadbd         [kernel.kallsyms]    [k] wp_page_copy
     1.82%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.81%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.77%     0.71%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.72%     0.02%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     1.71%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     1.70%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.70%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     1.70%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     1.70%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     1.70%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     1.70%     0.00%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.69%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.69%     0.03%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.68%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.62%     0.01%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.60%     0.40%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.60%     0.04%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.60%     1.38%  mariadbd         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     1.59%     0.05%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.56%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.56%     0.47%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.55%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     1.55%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     1.54%     0.02%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.53%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.53%     0.01%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.52%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     1.52%     0.08%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.52%     0.00%  kswapd0          [kernel.kallsyms]    [k] evict_pages
     1.50%     0.01%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.48%     0.01%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.47%     0.20%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.47%     0.08%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.47%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     1.44%     0.01%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.43%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.42%     0.58%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.41%     0.01%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.41%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.41%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.40%     0.09%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.39%     0.01%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.39%     0.08%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.36%     0.05%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.35%     0.07%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.33%     0.32%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     1.33%     0.25%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     1.32%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.30%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.29%     0.11%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.25%     0.06%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.24%     0.05%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.21%     0.09%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.20%     0.02%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     1.20%     0.01%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.20%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.20%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.19%     0.15%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.19%     0.09%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     1.19%     0.03%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     1.17%     0.06%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.16%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.13%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.13%     0.03%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     1.12%     0.13%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.12%     0.01%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     1.11%     0.02%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.11%     1.09%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.10%     0.01%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.09%     0.04%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.09%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.08%     0.81%  mariadbd         [kernel.kallsyms]    [k] update_sg_lb_stats
     1.08%     0.01%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.08%     0.42%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.07%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.07%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.06%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.06%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.06%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.06%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.06%     0.03%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.05%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.05%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.05%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_irq
     1.05%     0.05%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     1.05%     0.06%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     1.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.03%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.01%     0.24%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     1.01%     0.03%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     1.01%     0.01%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.01%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     1.01%     0.02%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     1.01%     0.25%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
     1.00%     0.53%  mariadbd         [kernel.kallsyms]    [k] __audit_syscall_exit
     0.99%     0.27%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.99%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     0.98%     0.04%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.98%     0.02%  mariadbd         [kernel.kallsyms]    [k] __read_extent_tree_block
     0.97%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     0.97%     0.07%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.97%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     0.94%     0.37%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
