# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 497107380826
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................
#
    35.61%     0.07%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    35.61%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    35.54%     0.20%  swapper          [kernel.kallsyms]    [k] do_idle
    32.50%     0.17%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    32.32%     0.20%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    29.48%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    25.40%     0.04%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    25.36%     0.37%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    14.21%     0.16%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    14.04%     0.20%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.88%    11.55%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.65%     0.21%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.49%     0.88%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.55%     0.36%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.54%     0.20%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.51%     0.38%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.29%     0.48%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.13%     0.13%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     6.08%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     6.07%     0.25%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     5.39%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     5.35%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     5.22%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     5.18%     0.02%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     5.06%     0.07%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     5.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     4.94%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     4.88%     0.04%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     4.83%     0.08%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.25%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     4.21%     0.01%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     4.20%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     3.77%     0.08%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     3.75%     3.75%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.54%     0.01%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.51%     3.51%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.11%     0.06%  swapper          [kernel.kallsyms]    [k] schedule_idle
     3.04%     0.37%  swapper          [kernel.kallsyms]    [k] __schedule
     3.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.03%     0.01%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.92%     0.09%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.89%     0.20%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.83%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     2.82%     0.01%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     2.82%     0.05%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.80%     0.37%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.76%     0.04%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.74%     0.03%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     2.67%     0.01%  mariadbd         [kernel.kallsyms]    [k] aio_write
     2.66%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.66%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.65%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.62%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.58%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.54%     0.04%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.53%     0.27%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
