# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 478879349612
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                           
# ........  ........  ...............  .......................  .................................................................................................................................
#
    35.02%     0.07%  swapper          [kernel.kallsyms]        [k] cpu_startup_entry
    35.02%     0.00%  swapper          [kernel.kallsyms]        [k] secondary_startup_64_no_verify
    34.95%     0.27%  swapper          [kernel.kallsyms]        [k] do_idle
    32.74%     0.21%  mariadbd         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
    32.53%     0.16%  mariadbd         [kernel.kallsyms]        [k] do_syscall_64
    28.74%     0.31%  swapper          [kernel.kallsyms]        [k] cpuidle_idle_call
    24.55%     0.01%  swapper          [kernel.kallsyms]        [k] cpuidle_enter
    24.54%     0.33%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
    14.53%     0.20%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_futex
    14.31%     0.21%  mariadbd         [kernel.kallsyms]        [k] do_futex
    11.21%    10.86%  swapper          [kernel.kallsyms]        [k] poll_idle
     9.26%     0.23%  mariadbd         [kernel.kallsyms]        [k] schedule
     9.11%     1.14%  mariadbd         [kernel.kallsyms]        [k] __schedule
     7.86%     0.35%  mariadbd         [kernel.kallsyms]        [k] futex_wait
     7.26%     0.21%  swapper          [kernel.kallsyms]        [k] acpi_idle_enter
     6.42%     0.16%  mariadbd         [kernel.kallsyms]        [k] futex_wait_queue_me
     6.42%     0.42%  mariadbd         [kernel.kallsyms]        [k] try_to_wake_up
     6.24%     0.45%  mariadbd         [kernel.kallsyms]        [k] futex_wake
     6.08%     0.00%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_rw
     6.08%     0.20%  mariadbd         [kernel.kallsyms]        [k] __iomap_dio_rw
     5.48%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     5.44%     0.02%  tclsh8.6         [kernel.kallsyms]        [k] do_syscall_64
     5.16%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pread64
     5.14%     0.02%  mariadbd         [kernel.kallsyms]        [k] vfs_read
     5.06%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_read_iter
     5.04%     0.08%  mariadbd         [kernel.kallsyms]        [k] new_sync_read
     5.02%     0.01%  mariadbd         [kernel.kallsyms]        [k] handle_mm_fault
     4.98%     0.04%  mariadbd         [kernel.kallsyms]        [k] __handle_mm_fault
     4.74%     0.04%  mariadbd         [kernel.kallsyms]        [k] wake_up_q
     4.32%     0.04%  mariadbd         [kernel.kallsyms]        [k] asm_exc_page_fault
     4.26%     0.01%  mariadbd         [kernel.kallsyms]        [k] exc_page_fault
     4.25%     0.01%  mariadbd         [kernel.kallsyms]        [k] do_user_addr_fault
     3.79%     0.05%  mariadbd         [kernel.kallsyms]        [k] iomap_apply
     3.61%     3.61%  swapper          [kernel.kallsyms]        [k] acpi_idle_do_entry
     3.48%     0.02%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     3.44%     0.01%  mariadbd         [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     3.37%     3.37%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints
     3.24%     0.07%  swapper          [kernel.kallsyms]        [k] schedule_idle
     3.16%     0.41%  swapper          [kernel.kallsyms]        [k] __schedule
     3.03%     0.20%  mariadbd         [kernel.kallsyms]        [k] pick_next_task_fair
     2.98%     0.02%  mariadbd         [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     2.96%     0.03%  mariadbd         [kernel.kallsyms]        [k] hrtimer_interrupt
     2.91%     0.10%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_actor
     2.87%     0.04%  mariadbd         [kernel.kallsyms]        [k] do_swap_page
     2.78%     0.03%  mariadbd         [kernel.kallsyms]        [k] __sys_sendto
     2.78%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_sendto
     2.77%     0.02%  mariadbd         [kernel.kallsyms]        [k] __hrtimer_run_queues
     2.76%     0.33%  mariadbd         [kernel.kallsyms]        [k] dequeue_task_fair
     2.74%     0.01%  mariadbd         [kernel.kallsyms]        [k] __run_hrtimer
     2.72%     0.02%  mariadbd         [kernel.kallsyms]        [k] sock_sendmsg
     2.69%     0.02%  mariadbd         [kernel.kallsyms]        [k] tick_sched_timer
     2.61%     0.05%  mariadbd         [kernel.kallsyms]        [k] unix_stream_sendmsg
     2.60%     0.00%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_io_submit
     2.58%     0.02%  mariadbd         [kernel.kallsyms]        [k] io_submit_one
