# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 218567175006
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                      
# ........  ........  ...............  ...................  ............................................................................................................................................
#
    32.42%     0.07%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    32.42%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    32.35%     0.19%  swapper          [kernel.kallsyms]    [k] do_idle
    26.92%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    22.97%     0.01%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    22.96%     0.35%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
     9.99%     9.68%  swapper          [kernel.kallsyms]    [k] poll_idle
     6.82%     0.23%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.80%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.78%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     3.91%     0.02%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     3.89%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
     3.47%     3.47%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.06%     3.06%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     2.86%     0.06%  swapper          [kernel.kallsyms]    [k] schedule_idle
     2.81%     0.40%  swapper          [kernel.kallsyms]    [k] __schedule
     2.49%     0.27%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.20%     0.03%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.16%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     2.16%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     2.16%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     2.16%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     2.13%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     2.13%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     2.06%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
