# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11612035658184
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
    34.44%     0.06%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
    34.44%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
    34.38%     0.22%  swapper          [kernel.kallsyms]                                 [k] do_idle
    31.68%     0.21%  mariadbd         [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    31.47%     0.22%  mariadbd         [kernel.kallsyms]                                 [k] do_syscall_64
    28.74%     0.30%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
    24.78%     0.02%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
    24.76%     0.36%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter_state
    14.42%     0.22%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_futex
    14.19%     0.19%  mariadbd         [kernel.kallsyms]                                 [k] do_futex
    11.78%    11.40%  swapper          [kernel.kallsyms]                                 [k] poll_idle
     8.45%     0.18%  mariadbd         [kernel.kallsyms]                                 [k] schedule
     8.34%     0.98%  mariadbd         [kernel.kallsyms]                                 [k] __schedule
     7.46%     0.38%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait
     7.04%     0.18%  swapper          [kernel.kallsyms]                                 [k] acpi_idle_enter
     6.84%     0.43%  mariadbd         [kernel.kallsyms]                                 [k] try_to_wake_up
     6.54%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] handle_mm_fault
     6.53%     0.45%  mariadbd         [kernel.kallsyms]                                 [k] futex_wake
     6.47%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] __handle_mm_fault
     6.13%     0.17%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait_queue_me
     5.86%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] asm_exc_page_fault
     5.79%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] exc_page_fault
     5.78%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] do_user_addr_fault
     5.75%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_rw
     5.74%     0.19%  mariadbd         [kernel.kallsyms]                                 [k] __iomap_dio_rw
     5.14%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] wake_up_q
     4.90%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_pread64
     4.88%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] vfs_read
     4.79%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dio_read_iter
     4.79%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] new_sync_read
     4.58%     0.05%  tclsh8.6         [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
     4.54%     0.04%  tclsh8.6         [kernel.kallsyms]                                 [k] do_syscall_64
     3.93%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] do_swap_page
     3.70%     3.70%  swapper          [kernel.kallsyms]                                 [k] acpi_idle_do_entry
     3.69%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     3.69%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] iomap_apply
     3.65%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     3.14%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     3.13%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] hrtimer_interrupt
     3.09%     3.09%  swapper          [kernel.kallsyms]                                 [k] mwait_idle_with_hints
     2.92%     0.07%  swapper          [kernel.kallsyms]                                 [k] schedule_idle
     2.92%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     2.89%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __run_hrtimer
     2.85%     0.37%  swapper          [kernel.kallsyms]                                 [k] __schedule
     2.82%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] tick_sched_timer
     2.78%     0.08%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_bio_actor
     2.76%     0.16%  mariadbd         [kernel.kallsyms]                                 [k] pick_next_task_fair
     2.75%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_io_submit
     2.74%     0.30%  mariadbd         [kernel.kallsyms]                                 [k] select_task_rq_fair
     2.73%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] io_submit_one
     2.65%     0.32%  mariadbd         [kernel.kallsyms]                                 [k] dequeue_task_fair
     2.65%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] swap_vma_readahead
     2.58%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_sendto
     2.57%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] __sys_sendto
     2.57%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] aio_write
     2.51%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] tick_sched_handle
     2.51%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sock_sendmsg
     2.50%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dio_write_iter
     2.50%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] update_process_times
     2.44%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kswapd
     2.44%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kthread
     2.44%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] ret_from_fork
     2.43%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] balance_pgdat
     2.42%     0.08%  mariadbd         [kernel.kallsyms]                                 [k] syscall_exit_to_user_mode
     2.42%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] unix_stream_sendmsg
     2.41%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] wp_page_copy
     2.31%     0.25%  swapper          [kernel.kallsyms]                                 [k] asm_sysvec_call_function_single
     2.27%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node
     2.27%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node_memcgs
     2.24%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] lru_gen_shrink_lruvec
     2.24%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] evict_pages
     2.17%     0.21%  mariadbd         [kernel.kallsyms]                                 [k] newidle_balance
     2.10%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] asm_common_interrupt
