# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles'
# Event count (approx.): 198811436039
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................
#
    31.41%     0.06%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    31.41%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    31.35%     0.16%  swapper          [kernel.kallsyms]    [k] do_idle
    30.67%     0.21%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    30.46%     0.19%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    25.60%     0.25%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    21.74%     0.01%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    21.71%     0.30%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    12.69%     0.16%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    12.51%     0.11%  mariadbd         [kernel.kallsyms]    [k] do_futex
     9.73%     9.34%  swapper          [kernel.kallsyms]    [k] poll_idle
     7.79%     0.25%  mariadbd         [kernel.kallsyms]    [k] schedule
     7.71%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     7.67%     0.11%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     7.58%     0.75%  mariadbd         [kernel.kallsyms]    [k] __schedule
     6.62%     0.43%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.59%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.53%     0.06%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.49%     0.38%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.31%     0.18%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     5.93%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     5.90%     0.01%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     5.89%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     5.78%     0.35%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.54%     0.18%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
