# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 185956807552
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
    32.12%     0.06%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    32.12%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    32.06%     0.15%  swapper          [kernel.kallsyms]    [k] do_idle
    30.99%     0.20%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    30.79%     0.14%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    26.43%     0.29%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    22.59%     0.04%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    22.54%     0.33%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    13.52%     0.17%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    13.34%     0.16%  mariadbd         [kernel.kallsyms]    [k] do_futex
     9.98%     9.71%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.49%     0.21%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.35%     0.88%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.60%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     7.59%     0.13%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.98%     0.34%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.92%     0.19%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.20%     0.54%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.11%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.07%     0.06%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     5.98%     0.45%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     5.73%     0.09%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     5.49%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     5.46%     0.00%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     5.44%     0.00%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     5.36%     0.01%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     5.35%     0.13%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     4.57%     0.09%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     4.40%     0.00%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     4.35%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     4.34%     0.09%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     3.77%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.74%     0.02%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.54%     3.54%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     3.53%     0.10%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     3.50%     0.06%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     3.14%     3.14%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.04%     0.04%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.00%     0.04%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.98%     0.16%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.98%     0.07%  swapper          [kernel.kallsyms]    [k] schedule_idle
     2.90%     0.41%  swapper          [kernel.kallsyms]    [k] __schedule
     2.81%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     2.78%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     2.78%     0.00%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.78%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.77%     0.03%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.74%     0.01%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.73%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.69%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.68%     0.02%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.65%     0.31%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.61%     0.00%  mariadbd         [kernel.kallsyms]    [k] aio_write
     2.54%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.51%     0.08%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] wp_page_copy
     2.44%     0.23%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     2.41%     0.12%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.41%     0.00%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.40%     0.01%  mariadbd         [kernel.kallsyms]    [k] swap_vma_readahead
     2.30%     0.31%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.24%     0.22%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.21%     0.11%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     2.19%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_common_interrupt
     2.11%     0.21%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     2.01%     0.15%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     2.00%     0.01%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     1.96%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     1.96%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     1.96%     0.28%  swapper          [kernel.kallsyms]    [k] menu_select
     1.95%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
