# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 596434766724
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                      
# ........  ........  ...............  .......................  ............................................................................................................................................
#
    34.31%     0.07%  swapper          [kernel.kallsyms]        [k] cpu_startup_entry
    34.31%     0.00%  swapper          [kernel.kallsyms]        [k] secondary_startup_64_no_verify
    34.23%     0.22%  swapper          [kernel.kallsyms]        [k] do_idle
    30.77%     0.23%  mariadbd         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
    30.54%     0.18%  mariadbd         [kernel.kallsyms]        [k] do_syscall_64
    28.64%     0.29%  swapper          [kernel.kallsyms]        [k] cpuidle_idle_call
    24.65%     0.00%  swapper          [kernel.kallsyms]        [k] cpuidle_enter
    24.64%     0.35%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
    13.26%     0.21%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_futex
    13.03%     0.18%  mariadbd         [kernel.kallsyms]        [k] do_futex
    11.56%    11.20%  swapper          [kernel.kallsyms]        [k] poll_idle
     8.31%     0.24%  mariadbd         [kernel.kallsyms]        [k] schedule
     8.12%     0.89%  mariadbd         [kernel.kallsyms]        [k] __schedule
     7.05%     0.32%  mariadbd         [kernel.kallsyms]        [k] futex_wait
     6.90%     0.20%  swapper          [kernel.kallsyms]        [k] acpi_idle_enter
     6.90%     0.03%  mariadbd         [kernel.kallsyms]        [k] handle_mm_fault
     6.82%     0.08%  mariadbd         [kernel.kallsyms]        [k] __handle_mm_fault
     6.21%     0.04%  mariadbd         [kernel.kallsyms]        [k] asm_exc_page_fault
     6.21%     0.35%  mariadbd         [kernel.kallsyms]        [k] try_to_wake_up
     6.13%     0.01%  mariadbd         [kernel.kallsyms]        [k] exc_page_fault
     6.12%     0.03%  mariadbd         [kernel.kallsyms]        [k] do_user_addr_fault
     5.88%     0.18%  mariadbd         [kernel.kallsyms]        [k] __iomap_dio_rw
     5.88%     0.00%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_rw
     5.80%     0.34%  mariadbd         [kernel.kallsyms]        [k] futex_wake
     5.72%     0.14%  mariadbd         [kernel.kallsyms]        [k] futex_wait_queue_me
     5.56%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     5.52%     0.08%  tclsh8.6         [kernel.kallsyms]        [k] do_syscall_64
     5.20%     0.01%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_pread64
     5.18%     0.03%  mariadbd         [kernel.kallsyms]        [k] vfs_read
     5.06%     0.07%  mariadbd         [kernel.kallsyms]        [k] new_sync_read
     5.01%     0.01%  mariadbd         [kernel.kallsyms]        [k] ext4_dio_read_iter
     4.57%     0.05%  mariadbd         [kernel.kallsyms]        [k] wake_up_q
     4.19%     0.05%  mariadbd         [kernel.kallsyms]        [k] do_swap_page
     3.73%     0.06%  mariadbd         [kernel.kallsyms]        [k] iomap_apply
     3.53%     0.02%  mariadbd         [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     3.51%     0.00%  mariadbd         [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     3.47%     3.47%  swapper          [kernel.kallsyms]        [k] acpi_idle_do_entry
     3.17%     3.17%  swapper          [kernel.kallsyms]        [k] mwait_idle_with_hints
     2.96%     0.02%  mariadbd         [kernel.kallsyms]        [k] swap_vma_readahead
     2.95%     0.06%  swapper          [kernel.kallsyms]        [k] schedule_idle
     2.90%     0.01%  mariadbd         [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     2.90%     0.02%  mariadbd         [kernel.kallsyms]        [k] hrtimer_interrupt
     2.89%     0.39%  swapper          [kernel.kallsyms]        [k] __schedule
     2.79%     0.07%  mariadbd         [kernel.kallsyms]        [k] iomap_dio_bio_actor
     2.73%     0.19%  mariadbd         [kernel.kallsyms]        [k] pick_next_task_fair
