# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 211064953437
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                      
# ........  ........  ...............  ...................  ............................................................................................................................................
#
    31.84%     0.03%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    31.84%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    31.80%     0.16%  swapper          [kernel.kallsyms]    [k] do_idle
    31.56%     0.19%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    31.37%     0.25%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    26.46%     0.28%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    22.82%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    22.80%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    13.54%     0.16%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    13.35%     0.18%  mariadbd         [kernel.kallsyms]    [k] do_futex
    10.26%     9.87%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.40%     0.14%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.33%     0.84%  mariadbd         [kernel.kallsyms]    [k] __schedule
     6.91%     0.38%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.75%     0.03%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.68%     0.42%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.66%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.65%     0.08%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.61%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.46%     0.19%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.26%     0.34%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     6.19%     0.06%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     6.09%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     6.09%     0.00%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     5.93%     0.20%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     5.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     5.64%     0.09%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     5.00%     0.05%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.71%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     4.66%     0.01%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     4.65%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     4.58%     0.05%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     3.87%     0.02%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     3.84%     0.08%  mariadbd         [kernel.kallsyms]    [k] iomap_apply
     3.83%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     3.81%     0.04%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     3.20%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     3.18%     3.18%  swapper          [kernel.kallsyms]    [k] acpi_idle_do_entry
     3.17%     0.02%  mariadbd         [kernel.kallsyms]    [k] hrtimer_interrupt
     3.08%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_io_submit
     3.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_submit_one
     3.05%     3.05%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints
     2.99%     0.02%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.97%     0.01%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.93%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     2.90%     0.00%  mariadbd         [kernel.kallsyms]    [k] aio_write
     2.86%     0.21%  mariadbd         [kernel.kallsyms]    [k] pick_next_task_fair
     2.81%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_iter
     2.79%     0.13%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_bio_actor
     2.74%     0.30%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     2.69%     0.02%  mariadbd         [kernel.kallsyms]    [k] wp_page_copy
     2.64%     0.02%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     2.61%     0.04%  swapper          [kernel.kallsyms]    [k] schedule_idle
     2.61%     0.17%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     2.61%     0.01%  mariadbd         [kernel.kallsyms]    [k] swap_vma_readahead
     2.60%     0.01%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     2.60%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     2.58%     0.26%  swapper          [kernel.kallsyms]    [k] __schedule
     2.55%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     2.52%     0.29%  mariadbd         [kernel.kallsyms]    [k] dequeue_task_fair
     2.46%     0.04%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     2.39%     0.24%  swapper          [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     2.27%     0.00%  mariadbd         [kernel.kallsyms]    [k] asm_common_interrupt
     2.20%     0.08%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     2.19%     0.21%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     2.14%     0.02%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.11%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     2.11%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     2.11%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     2.11%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     2.11%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     2.11%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     2.05%     0.00%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     2.04%     0.00%  kswapd0          [kernel.kallsyms]    [k] evict_pages
     2.04%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     2.03%     0.26%  swapper          [kernel.kallsyms]    [k] menu_select
     2.03%     0.01%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.93%     0.14%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.93%     0.22%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     1.87%     0.02%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.86%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __sys_sendto
     1.86%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.85%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
