# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 212867787405
#
# Children      Self  Command          Shared Object        Symbol                                                                                                          
# ........  ........  ...............  ...................  ................................................................................................................
#
    31.56%     0.22%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    31.44%     0.04%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    31.44%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    31.41%     0.25%  swapper          [kernel.kallsyms]    [k] do_idle
    31.35%     0.21%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    25.68%     0.21%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    22.16%     0.05%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    22.11%     0.31%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    13.86%     0.23%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    13.64%     0.23%  mariadbd         [kernel.kallsyms]    [k] do_futex
     9.98%     9.64%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.81%     0.19%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.72%     0.99%  mariadbd         [kernel.kallsyms]    [k] __schedule
     7.44%     0.34%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     7.20%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     7.15%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.74%     0.16%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.70%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.67%     0.07%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.24%     0.36%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     6.19%     0.14%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     6.15%     0.06%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     6.07%     0.01%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     6.06%     0.01%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     5.96%     0.34%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.64%     0.02%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     5.62%     0.22%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     4.72%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     4.69%     0.03%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     4.62%     0.04%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.57%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     4.57%     0.06%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
     4.06%     0.06%  mariadbd         [kernel.kallsyms]    [k] do_swap_page
     3.67%     0.01%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
