# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 27742558279198
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    27.42%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.22%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    27.10%     0.17%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    26.93%     0.18%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    19.28%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    16.11%     0.08%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    16.11%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    16.02%     0.33%  swapper          [kernel.kallsyms]      [k] do_idle
    15.19%     0.05%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    15.13%     0.09%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
    15.08%     0.07%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    15.04%     0.00%  memcached        [kernel.kallsyms]      [k] exc_page_fault
    15.03%     0.01%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
    14.93%     0.07%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    14.86%     0.02%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
    14.86%     0.07%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    14.83%     0.05%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
    14.79%     0.13%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    13.60%     0.05%  memcached        [kernel.kallsyms]      [k] do_swap_page
    13.30%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    13.19%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    13.06%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    12.82%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    12.74%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    12.67%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
    11.84%     0.19%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
     9.79%     0.02%  memcached        [kernel.kallsyms]      [k] alloc_pages_vma
     9.76%     0.02%  memcached        [kernel.kallsyms]      [k] __alloc_pages
     9.64%     0.00%  memcached        [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     9.61%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_pages
     9.61%     0.00%  memcached        [kernel.kallsyms]      [k] do_try_to_free_pages
     9.60%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_zones
     9.60%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node
     9.60%     0.02%  memcached        [kernel.kallsyms]      [k] shrink_node_memcgs
     9.23%     0.01%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     9.20%     0.11%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     8.76%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_lruvec
     8.29%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.20%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.16%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     8.06%     0.17%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     7.95%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_inactive_list
     7.77%     7.77%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     7.29%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     7.06%     0.03%  memcached        [kernel.kallsyms]      [k] shrink_page_list
     6.80%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
     6.69%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
     6.56%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     6.56%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
     6.33%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
     6.23%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
