# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 517K of event 'cycles'
# Event count (approx.): 19304054356589
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    27.84%     0.14%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.70%     0.15%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    24.45%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    24.27%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    20.40%     0.07%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
    20.32%     0.00%  memcached        [kernel.kallsyms]      [k] exc_page_fault
    20.32%     0.02%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
    20.14%     0.02%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
    20.10%     0.05%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
    18.18%     0.06%  memcached        [kernel.kallsyms]      [k] do_swap_page
    17.26%     0.05%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    17.14%     0.07%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    16.98%     0.07%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    16.92%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    16.91%     0.06%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    16.85%     0.13%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    15.31%     0.06%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    15.31%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    15.25%     0.31%  swapper          [kernel.kallsyms]      [k] do_idle
    13.81%     0.03%  memcached        [kernel.kallsyms]      [k] alloc_pages_vma
    13.77%     0.03%  memcached        [kernel.kallsyms]      [k] __alloc_pages
    13.61%     0.01%  memcached        [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
    13.54%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_pages
    13.53%     0.00%  memcached        [kernel.kallsyms]      [k] do_try_to_free_pages
    13.52%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_zones
    13.52%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node
    13.51%     0.04%  memcached        [kernel.kallsyms]      [k] shrink_node_memcgs
    11.61%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    11.50%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    11.38%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    11.27%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_lruvec
    11.15%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    11.10%     0.19%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
    11.08%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    11.01%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     9.29%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_inactive_list
     8.58%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     8.54%     0.11%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     7.80%     0.03%  memcached        [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     7.63%     0.10%  memcached        [kernel.kallsyms]      [k] _copy_from_iter
     7.60%     1.92%  memcached        [kernel.kallsyms]      [k] copy_user_generic_string
     7.36%     0.04%  memcached        [kernel.kallsyms]      [k] shrink_page_list
     7.35%     0.16%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     7.09%     7.09%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     7.01%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     6.94%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     6.90%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     6.10%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
     6.10%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     5.98%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
     5.86%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
     5.64%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
     5.55%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.51%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
     5.41%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     4.89%     0.03%  memcached        [kernel.kallsyms]      [k] sock_alloc_send_pskb
     4.80%     0.04%  memcached        [kernel.kallsyms]      [k] alloc_skb_with_frags
     4.76%     0.09%  memcached        [kernel.kallsyms]      [k] __alloc_skb
     4.70%     0.09%  memcached        [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     4.62%     0.06%  memcached        [kernel.kallsyms]      [k] do_epoll_wait
     4.39%     0.19%  memcached        [kernel.kallsyms]      [k] ep_poll
     4.21%     0.04%  memcached        [kernel.kallsyms]      [k] ksys_read
     4.11%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
