# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 25876153241610
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    26.88%     0.14%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    26.83%     0.08%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
    26.75%     0.00%  memcached        [kernel.kallsyms]      [k] exc_page_fault
    26.74%     0.01%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
    26.74%     0.15%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    26.56%     0.02%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
    26.52%     0.06%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
    24.79%     0.07%  memcached        [kernel.kallsyms]      [k] do_swap_page
    22.50%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    22.34%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    20.30%     0.03%  memcached        [kernel.kallsyms]      [k] alloc_pages_vma
    20.26%     0.03%  memcached        [kernel.kallsyms]      [k] __alloc_pages
    20.10%     0.00%  memcached        [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
    20.09%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_pages
    20.09%     0.00%  memcached        [kernel.kallsyms]      [k] do_try_to_free_pages
    20.09%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_zones
    20.08%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node
    20.08%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_node_memcgs
    19.69%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_lruvec
    16.95%     0.04%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    16.86%     0.06%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    16.71%     0.06%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    16.65%     0.06%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    16.58%     0.12%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    16.29%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_inactive_list
    15.67%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
