# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 26930884938209
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    27.35%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.27%     0.17%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.16%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    27.11%     0.17%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    18.93%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    16.06%     0.07%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    16.06%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    15.98%     0.33%  swapper          [kernel.kallsyms]      [k] do_idle
    15.60%     0.09%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
    15.51%     0.05%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    15.51%     0.00%  memcached        [kernel.kallsyms]      [k] exc_page_fault
    15.50%     0.01%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
    15.39%     0.07%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    15.31%     0.02%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
    15.28%     0.04%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
    15.24%     0.07%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    15.16%     0.07%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    15.09%     0.14%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    14.04%     0.06%  memcached        [kernel.kallsyms]      [k] do_swap_page
    13.03%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    12.90%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    12.77%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    12.53%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    12.45%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    12.38%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
    11.76%     0.16%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
     9.70%     0.02%  memcached        [kernel.kallsyms]      [k] alloc_pages_vma
     9.67%     0.02%  memcached        [kernel.kallsyms]      [k] __alloc_pages
     9.53%     0.00%  memcached        [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     9.51%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_pages
     9.50%     0.00%  memcached        [kernel.kallsyms]      [k] do_try_to_free_pages
     9.50%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_zones
     9.50%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node
     9.50%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_node_memcgs
     9.23%     0.01%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     9.21%     0.10%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     8.93%     0.01%  memcached        [kernel.kallsyms]      [k] shrink_lruvec
     8.08%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.04%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_inactive_list
     8.00%     0.18%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     8.00%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     7.96%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     7.70%     7.70%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     7.13%     0.03%  memcached        [kernel.kallsyms]      [k] shrink_page_list
     7.09%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
