# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 365K of event 'cycles'
# Event count (approx.): 12999716646882
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    28.10%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.90%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    27.56%     0.18%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.38%     0.18%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    19.49%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    19.02%     0.10%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    19.02%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    18.91%     0.38%  swapper          [kernel.kallsyms]      [k] do_idle
    15.06%     0.04%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    14.92%     0.06%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    14.76%     0.08%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    14.67%     0.09%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    14.58%     0.17%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    13.50%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    13.37%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    13.20%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    13.02%     0.21%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
    12.96%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    12.89%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    12.80%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     9.91%     0.03%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     9.87%     0.11%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     8.46%     0.18%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     8.15%     8.15%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     7.86%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     7.78%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     7.75%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     6.97%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
     6.83%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
     6.79%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     6.66%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
     6.39%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
     6.26%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
     6.21%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
     6.06%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     5.69%     0.02%  memcached        [kernel.kallsyms]      [k] sock_alloc_send_pskb
     5.61%     0.03%  memcached        [kernel.kallsyms]      [k] alloc_skb_with_frags
     5.58%     0.10%  memcached        [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     5.57%     0.09%  memcached        [kernel.kallsyms]      [k] __alloc_skb
     5.48%     0.10%  memcached        [kernel.kallsyms]      [k] do_epoll_wait
     5.20%     0.18%  memcached        [kernel.kallsyms]      [k] ep_poll
     4.97%     0.05%  memcached        [kernel.kallsyms]      [k] ksys_read
     4.81%     0.15%  memcached        [kernel.kallsyms]      [k] __wake_up_common_lock
     4.72%     0.15%  memcached        [kernel.kallsyms]      [k] vfs_read
