# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 649K of event 'cycles'
# Event count (approx.): 23925621748801
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    26.73%     0.13%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    26.60%     0.13%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    22.95%     0.14%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
    22.80%     0.01%  memcached        [kernel.kallsyms]      [k] exc_page_fault
    22.79%     0.03%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
    22.39%     0.04%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
    22.31%     0.11%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
    21.10%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    20.94%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    17.47%     0.08%  memcached        [kernel.kallsyms]      [k] do_swap_page
    17.32%     0.04%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    17.17%     0.05%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    16.98%     0.07%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    16.89%     0.05%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    16.82%     0.14%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    16.06%     0.08%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    16.06%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    15.97%     0.28%  swapper          [kernel.kallsyms]      [k] do_idle
    14.34%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    11.04%     0.05%  memcached        [kernel.kallsyms]      [k] alloc_pages_vma
    10.97%     0.03%  memcached        [kernel.kallsyms]      [k] __alloc_pages
    10.74%     0.02%  memcached        [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
    10.62%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_free_pages
    10.62%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node
    10.62%     0.00%  memcached        [kernel.kallsyms]      [k] do_try_to_free_pages
    10.62%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_zones
    10.61%     0.00%  memcached        [kernel.kallsyms]      [k] shrink_node_memcgs
    10.61%     0.16%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
    10.57%     0.00%  memcached        [kernel.kallsyms]      [k] lru_gen_shrink_lruvec
    10.54%     0.00%  memcached        [kernel.kallsyms]      [k] evict_pages
    10.04%     0.02%  memcached        [kernel.kallsyms]      [k] shrink_page_list
     9.97%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
     9.87%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
