# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 484K of event 'cycles'
# Event count (approx.): 18141146334815
#
# Children      Self  Command          Shared Object             Symbol                                                                
# ........  ........  ...............  ........................  ......................................................................
#
    24.16%     0.14%  memcached        [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    24.02%     0.16%  memcached        [kernel.kallsyms]         [k] do_syscall_64
    23.88%     0.18%  memtier_benchma  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    23.70%     0.15%  memtier_benchma  [kernel.kallsyms]         [k] do_syscall_64
    17.38%     0.09%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    17.38%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    17.29%     0.31%  swapper          [kernel.kallsyms]         [k] do_idle
    16.32%     0.14%  memtier_benchma  [kernel.kallsyms]         [k] do_iter_readv_writev
    14.59%     0.08%  memcached        [kernel.kallsyms]         [k] asm_exc_page_fault
    14.51%     0.00%  memcached        [kernel.kallsyms]         [k] exc_page_fault
    14.50%     0.02%  memcached        [kernel.kallsyms]         [k] do_user_addr_fault
    14.30%     0.02%  memcached        [kernel.kallsyms]         [k] handle_mm_fault
    14.26%     0.06%  memcached        [kernel.kallsyms]         [k] __handle_mm_fault
    13.44%     0.04%  memcached        [kernel.kallsyms]         [k] __sys_sendmsg
    13.31%     0.06%  memcached        [kernel.kallsyms]         [k] ___sys_sendmsg
    13.14%     0.06%  memcached        [kernel.kallsyms]         [k] ____sys_sendmsg
    13.07%     0.07%  memcached        [kernel.kallsyms]         [k] sock_sendmsg
    12.99%     0.14%  memcached        [kernel.kallsyms]         [k] unix_stream_sendmsg
    11.79%     0.07%  memcached        [kernel.kallsyms]         [k] do_swap_page
    11.61%     0.20%  swapper          [kernel.kallsyms]         [k] cpuidle_idle_call
    11.28%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] do_writev
    11.16%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] vfs_writev
    11.04%     0.12%  memtier_benchma  [kernel.kallsyms]         [k] do_iter_write
    10.80%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] sock_write_iter
    10.74%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] sock_sendmsg
    10.67%     0.14%  memtier_benchma  [kernel.kallsyms]         [k] unix_stream_sendmsg
     8.96%     0.03%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     8.93%     0.13%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     7.32%     0.16%  swapper          [kernel.kallsyms]         [k] acpi_idle_enter
     7.05%     7.05%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints
     6.35%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] sock_alloc_send_pskb
     6.28%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] alloc_skb_with_frags
     6.25%     0.09%  memtier_benchma  [kernel.kallsyms]         [k] __alloc_skb
     5.87%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] do_readv
     5.74%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] vfs_readv
     5.62%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] do_iter_read
     5.46%     0.27%  memtier_benchma  [kernel.kallsyms]         [k] kmem_cache_alloc_node
     5.39%     0.00%  kswapd0          [kernel.kallsyms]         [k] balance_pgdat
     5.39%     0.00%  kswapd0          [kernel.kallsyms]         [k] kswapd
     5.39%     0.00%  kswapd0          [kernel.kallsyms]         [k] kthread
     5.39%     0.00%  kswapd0          [kernel.kallsyms]         [k] ret_from_fork
     5.38%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] sock_read_iter
     5.26%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] unix_stream_recvmsg
     5.22%     0.10%  memtier_benchma  [kernel.kallsyms]         [k] unix_stream_read_generic
     5.11%     0.04%  memcached        [kernel.kallsyms]         [k] alloc_pages_vma
     5.06%     0.03%  memcached        [kernel.kallsyms]         [k] sock_alloc_send_pskb
     5.05%     0.04%  memcached        [kernel.kallsyms]         [k] __alloc_pages
     4.99%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node_memcgs
     4.99%     0.00%  kswapd0          [kernel.kallsyms]         [k] shrink_node
     4.98%     0.03%  memcached        [kernel.kallsyms]         [k] zram_rw_page
     4.97%     0.03%  memcached        [kernel.kallsyms]         [k] alloc_skb_with_frags
     4.94%     0.09%  memcached        [kernel.kallsyms]         [k] __alloc_skb
     4.90%     0.00%  kswapd0          [kernel.kallsyms]         [k] lru_gen_shrink_lruvec
     4.89%     0.00%  kswapd0          [kernel.kallsyms]         [k] evict_pages
     4.88%     0.02%  memcached        [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     4.88%     0.08%  memcached        [kernel.kallsyms]         [k] __x64_sys_epoll_wait
     4.86%     0.13%  memcached        [kernel.kallsyms]         [k] zram_bvec_rw.constprop.0
     4.84%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] obj_cgroup_charge
     4.79%     0.08%  memcached        [kernel.kallsyms]         [k] do_epoll_wait
     4.71%     0.00%  memcached        [kernel.kallsyms]         [k] try_to_free_pages
     4.71%     0.00%  memcached        [kernel.kallsyms]         [k] do_try_to_free_pages
     4.71%     0.00%  memcached        [kernel.kallsyms]         [k] shrink_node
     4.71%     0.00%  memcached        [kernel.kallsyms]         [k] shrink_zones
     4.71%     0.00%  memcached        [kernel.kallsyms]         [k] shrink_node_memcgs
     4.69%     0.03%  kswapd0          [kernel.kallsyms]         [k] shrink_page_list
     4.62%     0.00%  memcached        [kernel.kallsyms]         [k] lru_gen_shrink_lruvec
     4.59%     0.00%  memcached        [kernel.kallsyms]         [k] evict_pages
     4.56%     0.13%  memcached        [kernel.kallsyms]         [k] ep_poll
     4.40%     0.15%  memcached        [kernel.kallsyms]         [k] __wake_up_common_lock
     4.37%     0.01%  memcached        [kernel.kallsyms]         [k] shrink_page_list
     4.28%     0.08%  swapper          [kernel.kallsyms]         [k] schedule_idle
     4.22%     0.05%  memcached        [kernel.kallsyms]         [k] sock_def_readable
     4.20%     0.04%  memcached        [kernel.kallsyms]         [k] ksys_read
     4.20%     0.42%  swapper          [kernel.kallsyms]         [k] __schedule
     4.06%     0.09%  memtier_benchma  [kernel.kallsyms]         [k] __x64_sys_epoll_wait
     4.02%     0.13%  memcached        [kernel.kallsyms]         [k] vfs_read
     3.98%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] do_epoll_wait
     3.94%     0.03%  memcached        [kernel.kallsyms]         [k] swap_readpage
     3.92%     0.19%  memcached        [kernel.kallsyms]         [k] __wake_up_common
     3.84%     0.39%  memcached        [kernel.kallsyms]         [k] ep_poll_callback
     3.82%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] consume_skb
     3.82%     0.12%  memtier_benchma  [kernel.kallsyms]         [k] ep_poll
     3.81%     0.06%  memcached        [kernel.kallsyms]         [k] new_sync_read
     3.80%     0.04%  memcached        [kernel.kallsyms]         [k] bdev_read_page
     3.74%     0.05%  memcached        [kernel.kallsyms]         [k] sock_read_iter
     3.70%     0.12%  memtier_benchma  [kernel.kallsyms]         [k] __wake_up_common_lock
     3.66%     0.02%  memcached        [kernel.kallsyms]         [k] unix_stream_recvmsg
     3.64%     0.10%  memcached        [kernel.kallsyms]         [k] unix_stream_read_generic
     3.59%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] sock_def_readable
     3.56%     0.08%  memcached        [kernel.kallsyms]         [k] __zram_bvec_read.constprop.0
     3.53%     0.17%  memtier_benchma  [kernel.kallsyms]         [k] __wake_up_common
     3.48%     0.09%  memtier_benchma  [kernel.kallsyms]         [k] skb_release_data
     3.46%     0.21%  memtier_benchma  [kernel.kallsyms]         [k] ep_poll_callback
     3.41%     0.46%  memtier_benchma  [kernel.kallsyms]         [k] kfree
     3.33%     0.09%  memcached        [kernel.kallsyms]         [k] schedule
     3.31%     0.04%  memcached        [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     3.30%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] obj_cgroup_charge_pages
     3.28%     0.04%  memcached        [kernel.kallsyms]         [k] skb_copy_datagram_from_iter
     3.28%     0.61%  memtier_benchma  [kernel.kallsyms]         [k] try_charge_memcg
     3.26%     0.00%  memcached        [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     3.26%     1.95%  memcached        [kernel.kallsyms]         [k] smp_call_function_many_cond
     3.24%     0.66%  memcached        [kernel.kallsyms]         [k] __schedule
     3.13%     0.06%  memcached        [kernel.kallsyms]         [k] autoremove_wake_function
     3.11%     0.36%  memcached        [kernel.kallsyms]         [k] kmem_cache_alloc_node
     3.09%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] refill_stock
     3.09%     0.12%  memcached        [kernel.kallsyms]         [k] _copy_from_iter
     3.08%     0.12%  memcached        [kernel.kallsyms]         [k] try_to_wake_up
     3.05%     0.03%  memcached        [kernel.kallsyms]         [k] obj_cgroup_charge
     3.04%     1.84%  memcached        [kernel.kallsyms]         [k] copy_user_generic_string
     3.03%     0.01%  memcached        [kernel.kallsyms]         [k] zcomp_decompress
     3.02%     0.02%  memcached        [kernel.kallsyms]         [k] lzorle_decompress
     3.00%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] drain_stock
     3.00%     2.79%  memcached        [kernel.kallsyms]         [k] lzo1x_decompress_safe
     2.98%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] page_counter_uncharge
     2.96%     0.05%  memtier_benchma  [kernel.kallsyms]         [k] autoremove_wake_function
     2.89%     0.13%  memtier_benchma  [kernel.kallsyms]         [k] try_to_wake_up
     2.79%     0.95%  memcached        [kernel.kallsyms]         [k] refill_obj_stock
     2.69%     0.68%  memcached        [kernel.kallsyms]         [k] asm_sysvec_call_function
     2.67%     0.03%  memcached        [kernel.kallsyms]         [k] consume_skb
     2.60%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     2.57%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] schedule
     2.50%     0.42%  memtier_benchma  [kernel.kallsyms]         [k] __schedule
     2.48%     0.85%  memtier_benchma  [kernel.kallsyms]         [k] refill_obj_stock
     2.39%     2.38%  memtier_benchma  [kernel.kallsyms]         [k] propagate_protected_usage
     2.36%     0.02%  memcached        [kernel.kallsyms]         [k] wp_page_copy
     2.24%     0.08%  memcached        [kernel.kallsyms]         [k] skb_release_data
     2.21%     0.38%  swapper          [kernel.kallsyms]         [k] menu_select
     2.15%     0.12%  memtier_benchma  [kernel.kallsyms]         [k] obj_cgroup_uncharge_pages
     2.11%     0.38%  memcached        [kernel.kallsyms]         [k] kfree
     1.99%     0.03%  memcached        [kernel.kallsyms]         [k] sysvec_call_function
     1.90%     0.01%  kswapd0          [kernel.kallsyms]         [k] arch_tlbbatch_flush
     1.87%     0.00%  kswapd0          [kernel.kallsyms]         [k] try_to_unmap_flush_dirty
     1.86%     0.03%  memcached        [kernel.kallsyms]         [k] flush_tlb_mm_range
     1.86%     0.00%  memcached        [kernel.kallsyms]         [k] ptep_clear_flush
     1.79%     1.03%  memcached        [kernel.kallsyms]         [k] drain_obj_stock
     1.72%     0.02%  memcached        [kernel.kallsyms]         [k] __sysvec_call_function
     1.71%     0.00%  memcached        [kernel.kallsyms]         [k] arch_tlbbatch_flush
     1.70%     0.45%  memcached        [kernel.kallsyms]         [k] flush_smp_call_function_queue
     1.66%     0.00%  memcached        [kernel.kallsyms]         [k] try_to_unmap_flush_dirty
     1.63%     0.73%  kswapd0          [kernel.kallsyms]         [k] smp_call_function_many_cond
     1.63%     0.00%  kswapd0          [kernel.kallsyms]         [k] on_each_cpu_cond_mask
     1.62%     1.34%  memtier_benchma  [kernel.kallsyms]         [k] drain_obj_stock
     1.62%     0.03%  memcached        [kernel.kallsyms]         [k] kmalloc_reserve
     1.60%     0.62%  memtier_benchma  [kernel.kallsyms]         [k] page_counter_try_charge
     1.59%     0.43%  memcached        [kernel.kallsyms]         [k] __kmalloc_node_track_caller
     1.59%     1.26%  swapper          [kernel.kallsyms]         [k] switch_mm_irqs_off
     1.54%     1.54%  memtier_benchma  [kernel.kallsyms]         [k] page_counter_cancel
     1.51%     0.41%  memcached        [kernel.kallsyms]         [k] try_charge_memcg
     1.49%     0.09%  memcached        [kernel.kallsyms]         [k] obj_cgroup_charge_pages
     1.42%     0.01%  kswapd0          [kernel.kallsyms]         [k] pageout
     1.37%     0.01%  memcached        [kernel.kallsyms]         [k] pageout
     1.34%     0.00%  kswapd0          [kernel.kallsyms]         [k] __swap_writepage
     1.33%     0.01%  kswapd0          [kernel.kallsyms]         [k] bdev_write_page
     1.30%     0.00%  memcached        [kernel.kallsyms]         [k] __swap_entry_free
     1.28%     0.00%  memcached        [kernel.kallsyms]         [k] __swap_writepage
     1.28%     0.00%  memcached        [kernel.kallsyms]         [k] bdev_write_page
     1.27%     0.01%  kswapd0          [kernel.kallsyms]         [k] zram_rw_page
     1.25%     0.04%  memcached        [kernel.kallsyms]         [k] ttwu_do_activate
     1.23%     0.02%  memcached        [kernel.kallsyms]         [k] free_swap_slot
     1.21%     0.04%  kswapd0          [kernel.kallsyms]         [k] zram_bvec_rw.constprop.0
     1.21%     0.35%  memcached        [kernel.kallsyms]         [k] enqueue_task_fair
     1.20%     0.01%  memcached        [kernel.kallsyms]         [k] swapcache_free_entries
     1.18%     0.14%  kswapd0          [kernel.kallsyms]         [k] __zram_bvec_write.constprop.0.isra.0
     1.17%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] ttwu_do_activate
     1.15%     0.10%  memcached        [kernel.kallsyms]         [k] __zram_bvec_write.constprop.0.isra.0
     1.13%     0.06%  memcached        [kernel.kallsyms]         [k] refill_stock
     1.13%     0.33%  memtier_benchma  [kernel.kallsyms]         [k] enqueue_task_fair
     1.11%     0.02%  memcached        [kernel.kallsyms]         [k] page_counter_uncharge
     1.10%     0.09%  memtier_benchma  [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     1.10%     0.16%  memcached        [kernel.kallsyms]         [k] ep_send_events
     1.08%     0.22%  memtier_benchma  [kernel.kallsyms]         [k] ep_send_events
     1.07%     0.49%  memcached        [kernel.kallsyms]         [k] obj_cgroup_uncharge_pages
     0.98%     0.11%  swapper          [kernel.kallsyms]         [k] tick_nohz_get_sleep_length
     0.98%     0.02%  memcached        [kernel.kallsyms]         [k] drain_stock
     0.94%     0.65%  memcached        [kernel.kallsyms]         [k] finish_task_switch.isra.0
     0.94%     0.14%  swapper          [kernel.kallsyms]         [k] asm_sysvec_call_function
     0.90%     0.87%  memcached        [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath.part.0
     0.90%     0.07%  memcached        [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     0.89%     0.10%  swapper          [kernel.kallsyms]         [k] pick_next_task_fair
     0.88%     0.58%  memtier_benchma  [kernel.kallsyms]         [k] finish_task_switch.isra.0
     0.86%     0.86%  memcached        libpthread-2.28.so        [.] __pthread_mutex_lock
     0.85%     0.37%  memcached        [kernel.kallsyms]         [k] _raw_spin_lock
     0.85%     0.30%  memcached        [kernel.kallsyms]         [k] enqueue_entity
     0.79%     0.60%  memcached        [kernel.kallsyms]         [k] flush_tlb_func
     0.79%     0.28%  memtier_benchma  [kernel.kallsyms]         [k] enqueue_entity
     0.79%     0.01%  swapper          [kernel.kallsyms]         [k] sysvec_call_function
     0.77%     0.77%  memtier_benchma  libevent-2.1.so.6.0.2     [.] event_mm_free_
     0.75%     0.01%  kswapd0          [kernel.kallsyms]         [k] lzorle_compress
     0.75%     0.12%  memtier_benchma  [kernel.kallsyms]         [k] syscall_exit_work
     0.74%     0.02%  kswapd0          [kernel.kallsyms]         [k] lzogeneric1x_1_compress
     0.74%     0.05%  memcached        [kernel.kallsyms]         [k] rmap_walk_anon
     0.71%     0.22%  memcached        [kernel.kallsyms]         [k] select_task_rq_fair
     0.68%     0.07%  memcached        [kernel.kallsyms]         [k] dequeue_task_fair
     0.67%     0.67%  swapper          [kernel.kallsyms]         [k] __switch_to_asm
     0.67%     0.66%  memcached        [kernel.kallsyms]         [k] page_counter_cancel
     0.67%     0.03%  kswapd0          [kernel.kallsyms]         [k] default_send_IPI_mask_sequence_phys
     0.66%     0.24%  memtier_benchma  [kernel.kallsyms]         [k] kmem_cache_free
     0.65%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] dequeue_task_fair
     0.65%     0.02%  kswapd0          [kernel.kallsyms]         [k] rmap_walk_anon
     0.64%     0.00%  memcached        [kernel.kallsyms]         [k] lzorle_compress
     0.63%     0.01%  memcached        [kernel.kallsyms]         [k] lzogeneric1x_1_compress
     0.63%     0.63%  kswapd0          [kernel.kallsyms]         [k] lzo1x_1_do_compress
     0.63%     0.63%  kswapd0          [kernel.kallsyms]         [k] __default_send_IPI_dest_field
     0.62%     0.37%  memtier_benchma  [kernel.kallsyms]         [k] __audit_syscall_exit
     0.61%     0.09%  swapper          [kernel.kallsyms]         [k] tick_nohz_idle_enter
     0.60%     0.21%  memtier_benchma  [kernel.kallsyms]         [k] select_task_rq_fair
     0.60%     0.03%  memcached        [kernel.kallsyms]         [k] default_send_IPI_mask_sequence_phys
