# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 383K of event 'cycles'
# Event count (approx.): 14121811632793
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    27.49%     0.16%  memcached        [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    27.33%     0.17%  memcached        [kernel.kallsyms]      [k] do_syscall_64
    27.12%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    26.93%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    18.64%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    18.52%     0.09%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    18.52%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    18.43%     0.36%  swapper          [kernel.kallsyms]      [k] do_idle
    15.61%     0.04%  memcached        [kernel.kallsyms]      [k] __sys_sendmsg
    15.48%     0.05%  memcached        [kernel.kallsyms]      [k] ___sys_sendmsg
    15.31%     0.08%  memcached        [kernel.kallsyms]      [k] ____sys_sendmsg
    15.22%     0.08%  memcached        [kernel.kallsyms]      [k] sock_sendmsg
    15.13%     0.17%  memcached        [kernel.kallsyms]      [k] unix_stream_sendmsg
    13.03%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    12.88%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    12.74%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    12.46%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    12.40%     0.22%  swapper          [kernel.kallsyms]      [k] cpuidle_idle_call
    12.39%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    12.31%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     9.71%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     9.67%     0.13%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     8.05%     0.18%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     7.73%     7.73%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     7.46%     0.07%  memcached        [kernel.kallsyms]      [k] asm_exc_page_fault
     7.39%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     7.38%     0.01%  memcached        [kernel.kallsyms]      [k] exc_page_fault
     7.38%     0.01%  memcached        [kernel.kallsyms]      [k] do_user_addr_fault
     7.31%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     7.28%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     7.24%     0.02%  memcached        [kernel.kallsyms]      [k] handle_mm_fault
     7.21%     0.04%  memcached        [kernel.kallsyms]      [k] __handle_mm_fault
     6.59%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
     6.54%     0.04%  memcached        [kernel.kallsyms]      [k] do_swap_page
     6.45%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
     6.39%     0.32%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     6.29%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
     6.03%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
     5.91%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.86%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
     5.71%     0.03%  memcached        [kernel.kallsyms]      [k] sock_alloc_send_pskb
     5.70%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     5.62%     0.03%  memcached        [kernel.kallsyms]      [k] alloc_skb_with_frags
     5.59%     0.10%  memcached        [kernel.kallsyms]      [k] __alloc_skb
     5.44%     0.09%  memcached        [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     5.35%     0.09%  memcached        [kernel.kallsyms]      [k] do_epoll_wait
     5.07%     0.15%  memcached        [kernel.kallsyms]      [k] ep_poll
     4.82%     0.17%  memcached        [kernel.kallsyms]      [k] __wake_up_common_lock
     4.67%     0.07%  memcached        [kernel.kallsyms]      [k] sock_def_readable
     4.55%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     4.55%     0.07%  swapper          [kernel.kallsyms]      [k] schedule_idle
     4.53%     0.04%  memcached        [kernel.kallsyms]      [k] ksys_read
     4.47%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_wait
     4.46%     0.44%  swapper          [kernel.kallsyms]      [k] __schedule
     4.38%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     4.38%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     4.38%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     4.38%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     4.32%     0.13%  memcached        [kernel.kallsyms]      [k] vfs_read
     4.32%     0.21%  memcached        [kernel.kallsyms]      [k] __wake_up_common
     4.32%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     4.29%     0.04%  memcached        [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
