# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
    55.05%     0.00%  postgres    [kernel.kallsyms]  [k] do_syscall_64
    55.05%     0.00%  postgres    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    45.88%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_exit_group
    45.88%     0.00%  postgres    [kernel.kallsyms]  [k] do_exit
    45.88%     0.00%  postgres    [kernel.kallsyms]  [k] do_group_exit
    45.88%     0.00%  postgres    [kernel.kallsyms]  [k] exit_mmap
    45.88%     0.00%  postgres    [kernel.kallsyms]  [k] mmput
    44.93%     0.00%  postgres    [kernel.kallsyms]  [k] unmap_single_vma
    44.93%     0.00%  postgres    [kernel.kallsyms]  [k] unmap_vmas
    41.95%    32.74%  postgres    [kernel.kallsyms]  [k] unmap_page_range
    41.21%     0.00%  swapper     [kernel.kallsyms]  [k] do_idle
    41.21%     0.00%  swapper     [kernel.kallsyms]  [k] cpu_startup_entry
    41.21%     0.00%  swapper     [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    41.16%     0.00%  swapper     [kernel.kallsyms]  [k] cpuidle_enter
    41.16%     0.00%  swapper     [kernel.kallsyms]  [k] cpuidle_enter_state
    40.93%     0.00%  swapper     [kernel.kallsyms]  [k] start_secondary
    40.29%    40.20%  swapper     [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     4.54%     4.43%  postgres    [kernel.kallsyms]  [k] _raw_spin_lock
     4.35%     4.05%  postgres    [kernel.kallsyms]  [k] page_remove_rmap
     3.25%     0.01%  postgres    [kernel.kallsyms]  [k] filemap_read
     3.25%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_file_read_iter
     3.25%     0.00%  postgres    [kernel.kallsyms]  [k] generic_file_read_iter
     3.25%     0.00%  postgres    [kernel.kallsyms]  [k] new_sync_read
     3.25%     0.00%  postgres    [kernel.kallsyms]  [k] vfs_read
     2.57%     0.02%  postgres    [kernel.kallsyms]  [k] tlb_flush_mmu
