# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 871  of event 'cycles'
# Event count (approx.): 903470094559
#
# Children      Self  Command   Shared Object      Symbol                                        
# ........  ........  ........  .................  ..............................................
#
    53.57%     0.00%  postgres  [kernel.kallsyms]  [k] do_syscall_64
    53.57%     0.00%  postgres  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    48.42%     0.00%  postgres  [kernel.kallsyms]  [k] __x64_sys_exit_group
    48.42%     0.00%  postgres  [kernel.kallsyms]  [k] do_exit
    48.42%     0.00%  postgres  [kernel.kallsyms]  [k] do_group_exit
    48.42%     0.00%  postgres  [kernel.kallsyms]  [k] exit_mmap
    48.42%     0.00%  postgres  [kernel.kallsyms]  [k] mmput
    46.19%     0.00%  swapper   [kernel.kallsyms]  [k] cpu_startup_entry
    46.19%     0.00%  swapper   [kernel.kallsyms]  [k] do_idle
    46.19%     0.00%  swapper   [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    46.17%     0.00%  swapper   [kernel.kallsyms]  [k] cpuidle_enter
    46.17%     0.00%  swapper   [kernel.kallsyms]  [k] cpuidle_enter_state
    46.13%    45.93%  swapper   [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    45.89%     0.00%  swapper   [kernel.kallsyms]  [k] start_secondary
    45.75%     0.00%  postgres  [kernel.kallsyms]  [k] unmap_single_vma
    45.75%     0.00%  postgres  [kernel.kallsyms]  [k] unmap_vmas
    42.40%    33.63%  postgres  [kernel.kallsyms]  [k] unmap_page_range
     3.43%     3.36%  postgres  [kernel.kallsyms]  [k] _raw_spin_lock
     2.53%     2.28%  postgres  [kernel.kallsyms]  [k] page_remove_rmap
     2.49%     0.00%  postgres  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.38%     1.68%  postgres  [kernel.kallsyms]  [k] release_pages
     2.37%     0.00%  postgres  [kernel.kallsyms]  [k] tlb_flush_mmu
     2.33%     0.00%  postgres  [kernel.kallsyms]  [k] tlb_finish_mmu
