# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 922  of event 'cycles'
# Event count (approx.): 861085004612
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
    73.97%     0.00%  postgres    [kernel.kallsyms]  [k] do_syscall_64
    73.97%     0.00%  postgres    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    72.80%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_exit_group
    72.80%     0.00%  postgres    [kernel.kallsyms]  [k] do_exit
    72.80%     0.00%  postgres    [kernel.kallsyms]  [k] do_group_exit
    72.80%     0.00%  postgres    [kernel.kallsyms]  [k] exit_mmap
    72.80%     0.00%  postgres    [kernel.kallsyms]  [k] mmput
    71.40%     0.00%  postgres    [kernel.kallsyms]  [k] unmap_single_vma
    71.40%     0.00%  postgres    [kernel.kallsyms]  [k] unmap_vmas
    71.26%    60.65%  postgres    [kernel.kallsyms]  [k] unmap_page_range
    22.52%     0.00%  swapper     [kernel.kallsyms]  [k] cpu_startup_entry
    22.52%     0.00%  swapper     [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    22.27%     0.00%  swapper     [kernel.kallsyms]  [k] start_secondary
    21.23%     0.08%  swapper     [kernel.kallsyms]  [k] do_idle
    21.15%     0.00%  swapper     [kernel.kallsyms]  [k] cpuidle_enter
    21.15%     0.00%  swapper     [kernel.kallsyms]  [k] cpuidle_enter_state
    20.02%    19.90%  swapper     [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     5.93%     5.76%  postgres    [kernel.kallsyms]  [k] page_remove_rmap
     4.76%     0.06%  postgres    [kernel.kallsyms]  [k] free_pages_and_swap_cache
     4.58%     3.45%  postgres    [kernel.kallsyms]  [k] release_pages
     4.17%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_flush_mmu
     3.36%     0.00%  kcompactd0  [kernel.kallsyms]  [k] compact_zone
     3.36%     0.00%  kcompactd0  [kernel.kallsyms]  [k] kcompactd
     3.36%     0.00%  kcompactd0  [kernel.kallsyms]  [k] kthread
     3.36%     0.00%  kcompactd0  [kernel.kallsyms]  [k] proactive_compact_node
     3.36%     0.00%  kcompactd0  [kernel.kallsyms]  [k] ret_from_fork
     3.27%     0.03%  kcompactd0  [kernel.kallsyms]  [k] migrate_pages
     2.88%     0.00%  kcompactd0  [kernel.kallsyms]  [k] rmap_walk
     2.88%     0.00%  kcompactd0  [kernel.kallsyms]  [k] rmap_walk_file
     2.85%     0.00%  kcompactd0  [kernel.kallsyms]  [k] try_to_migrate
     2.82%     0.00%  kcompactd0  [kernel.kallsyms]  [k] try_to_migrate_one
     2.67%     2.67%  kcompactd0  [kernel.kallsyms]  [k] smp_call_function_many_cond
     2.67%     0.00%  kcompactd0  [kernel.kallsyms]  [k] flush_tlb_mm_range
     2.67%     0.00%  kcompactd0  [kernel.kallsyms]  [k] native_flush_tlb_multi
     2.67%     0.00%  kcompactd0  [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     2.67%     0.00%  kcompactd0  [kernel.kallsyms]  [k] ptep_clear_flush
     1.29%     1.29%  swapper     [kernel.kallsyms]  [k] nohz_run_idle_balance
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_pread64
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_file_read_iter
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] filemap_get_pages
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] filemap_read
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] generic_file_read_iter
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] new_sync_read
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] ondemand_readahead
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] page_cache_sync_ra
     1.17%     0.00%  postgres    [kernel.kallsyms]  [k] vfs_read
     1.13%     0.06%  postgres    [kernel.kallsyms]  [k] free_unref_page_list
     1.13%     1.13%  swapper     [kernel.kallsyms]  [k] __common_interrupt
     1.13%     0.00%  swapper     [kernel.kallsyms]  [k] asm_common_interrupt
     1.13%     0.00%  swapper     [kernel.kallsyms]  [k] common_interrupt
     1.07%     0.03%  postgres    [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     1.02%     0.06%  postgres    [kernel.kallsyms]  [k] free_pcppages_bulk
     0.78%     0.75%  postgres    [kernel.kallsyms]  [k] __free_one_page
     0.73%     0.17%  postgres    [kernel.kallsyms]  [k] ___pte_free_tlb
     0.73%     0.00%  postgres    [kernel.kallsyms]  [k] free_pgd_range
     0.73%     0.00%  postgres    [kernel.kallsyms]  [k] free_pgtables
     0.66%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_finish_mmu
     0.63%     0.63%  postgres    [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.54%     0.54%  postgres    [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.54%     0.00%  postgres    [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.54%     0.00%  postgres    [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.54%     0.00%  postgres    [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.54%     0.00%  postgres    [kernel.kallsyms]  [k] workingset_refault
     0.47%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_remove_page
     0.40%     0.37%  postgres    [kernel.kallsyms]  [k] lock_page_memcg
     0.29%     0.09%  postgres    [kernel.kallsyms]  [k] _raw_spin_lock
     0.26%     0.17%  postgres    [kernel.kallsyms]  [k] mark_page_accessed
     0.25%     0.00%  swapper     [kernel.kallsyms]  [k] arch_call_rest_init
     0.25%     0.00%  swapper     [kernel.kallsyms]  [k] rest_init
     0.25%     0.00%  swapper     [kernel.kallsyms]  [k] start_kernel
     0.25%     0.00%  swapper     [kernel.kallsyms]  [k] x86_64_start_kernel
     0.25%     0.00%  swapper     [kernel.kallsyms]  [k] x86_64_start_reservations
     0.21%     0.21%  postgres    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.16%     0.04%  postgres    [kernel.kallsyms]  [k] set_page_dirty
     0.16%     0.00%  kcompactd0  [kernel.kallsyms]  [k] migrate_page
     0.16%     0.00%  kcompactd0  [kernel.kallsyms]  [k] move_to_new_page
     0.15%     0.15%  kcompactd0  [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.14%     0.11%  postgres    [kernel.kallsyms]  [k] free_swap_cache
     0.13%     0.13%  kcompactd0  [kernel.kallsyms]  [k] copy_page
     0.13%     0.00%  kcompactd0  [kernel.kallsyms]  [k] compaction_alloc
     0.12%     0.12%  swapper     [unknown]          [.] 0000000000000000
     0.12%     0.09%  postgres    [kernel.kallsyms]  [k] vm_normal_page
     0.11%     0.11%  postgres    [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.11%     0.09%  postgres    [kernel.kallsyms]  [k] page_mapping
     0.09%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_exc_page_fault
     0.09%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_user_addr_fault
     0.09%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exc_page_fault
     0.09%     0.09%  postgres    [unknown]          [.] 0000000000000000
     0.09%     0.09%  kcompactd0  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.09%     0.00%  kcompactd0  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.09%     0.00%  kcompactd0  [kernel.kallsyms]  [k] compact_lock_irqsave
     0.09%     0.03%  postgres    [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.09%     0.00%  postgres    [kernel.kallsyms]  [k] lru_add_drain
     0.09%     0.00%  postgres    [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.09%     0.03%  postgres    [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.09%     0.00%  postgres    [kernel.kallsyms]  [k] mod_lruvec_page_state.constprop.0
     0.09%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] handle_mm_fault
     0.08%     0.04%  tclsh8.6    [kernel.kallsyms]  [k] __handle_mm_fault
     0.08%     0.08%  postgres    [kernel.kallsyms]  [k] unlock_page_memcg
     0.07%     0.07%  kcompactd0  [kernel.kallsyms]  [k] clear_page_erms
     0.07%     0.00%  kcompactd0  [kernel.kallsyms]  [k] post_alloc_hook
     0.07%     0.00%  kcompactd0  [kernel.kallsyms]  [k] split_map_pages
     0.06%     0.00%  kcompactd0  [kernel.kallsyms]  [k] isolate_freepages_block
     0.06%     0.06%  postgres    [kernel.kallsyms]  [k] __activate_page
     0.06%     0.06%  postgres    [kernel.kallsyms]  [k] __mod_node_page_state
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_lruvec_state
     0.06%     0.00%  postgres    [kernel.kallsyms]  [k] workingset_activation
     0.05%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] migrate_misplaced_page
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] migrate_pages
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_syscall_64
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] page_mapping
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] free_unref_page
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] __put_page
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] remove_migration_pte
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] PageHuge
     0.03%     0.03%  tclsh8.6    [kernel.kallsyms]  [k] free_pcppages_bulk
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] unlock_page
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] __mod_zone_page_state
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __put_page
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] free_unref_page
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] __pagevec_lru_add
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] lru_cache_add
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] putback_lru_page
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] isolate_migratepages_block
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] migrate_page_states
     0.03%     0.00%  kcompactd0  [kernel.kallsyms]  [k] migrate_page_copy
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] workingset_age_nonresident
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.03%     0.03%  kcompactd0  [kernel.kallsyms]  [k] __cond_resched
     0.03%     0.03%  tclsh8.6    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_futex
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_futex
     0.02%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] _raw_spin_lock
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] native_write_msr
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] __perf_event_enable
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] _perf_event_enable
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] _perf_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] ctx_resched
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] do_syscall_64
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] event_function
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] event_function_call
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] generic_exec_single
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] perf_event_for_each_child
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] perf_ioctl
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] remote_function
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] smp_call_function_single
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] x86_pmu_enable
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wait
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wait_setup
     0.01%     0.01%  perf        [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_exit
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] do_group_exit
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exit_mmap
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] mmput
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_page_range
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_single_vma
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unmap_vmas
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] ptep_clear_flush
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] rmap_walk
