# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    49.06%     0.01%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    49.06%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    43.30%     0.01%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    43.30%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    43.25%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    43.02%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    39.67%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    39.67%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    39.67%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    39.63%     0.02%  postgres         [kernel.kallsyms]  [k] exit_mmap
    39.63%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    38.73%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    38.73%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    38.28%    37.99%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    38.07%     0.02%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    38.06%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    36.19%    26.58%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     5.11%     4.25%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     3.81%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     3.79%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     3.79%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     3.79%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     3.79%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     3.67%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     3.60%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     3.57%     0.05%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.45%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     3.45%     0.01%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.44%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     3.16%     0.03%  swapper          [kernel.kallsyms]  [k] __schedule
     3.16%     0.00%  swapper          [kernel.kallsyms]  [k] schedule_idle
     3.14%     0.09%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.63%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     2.62%     0.02%  postgres         [kernel.kallsyms]  [k] do_futex
     2.52%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     2.52%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     2.21%     1.17%  postgres         [kernel.kallsyms]  [k] release_pages
     2.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     2.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     2.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     2.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     2.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     2.09%     0.03%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     2.03%     2.03%  postgres         [kernel.kallsyms]  [k] psi_group_change
     1.95%     0.01%  postgres         [kernel.kallsyms]  [k] do_epoll_wait
     1.95%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     1.85%     0.01%  postgres         [kernel.kallsyms]  [k] schedule
     1.84%     0.03%  postgres         [kernel.kallsyms]  [k] __schedule
     1.77%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     1.76%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     1.69%     0.01%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     1.69%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     1.67%     0.00%  postgres         [kernel.kallsyms]  [k] alloc_pages
     1.67%     0.02%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     1.64%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     1.64%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     1.64%     0.00%  postgres         [kernel.kallsyms]  [k] workingset_refault
     1.63%     1.58%  postgres         [kernel.kallsyms]  [k] rmqueue_bulk
     1.61%     1.59%  swapper          [kernel.kallsyms]  [k] switch_mm_irqs_off
     1.60%     0.00%  postgres         [kernel.kallsyms]  [k] __page_cache_alloc
     1.59%     1.09%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     1.48%     0.01%  swapper          [kernel.kallsyms]  [k] psi_task_switch
     1.48%     0.08%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     1.48%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     1.44%     0.00%  swapper          [kernel.kallsyms]  [k] sched_clock_cpu
     1.44%     1.44%  swapper          [kernel.kallsyms]  [k] native_sched_clock
     1.38%     0.24%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     1.36%     0.03%  postgres         [kernel.kallsyms]  [k] futex_wake
     1.31%     0.02%  postgres         [kernel.kallsyms]  [k] try_to_wake_up
     1.29%     0.02%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     1.28%     1.27%  postgres         [kernel.kallsyms]  [k] mutex_lock
     1.27%     0.01%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.27%     0.00%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     1.27%     0.00%  swapper          [kernel.kallsyms]  [k] ttwu_do_activate
     1.26%     1.21%  postgres         [kernel.kallsyms]  [k] __tlb_remove_page_size
     1.26%     0.00%  swapper          [kernel.kallsyms]  [k] sched_ttwu_pending
     1.26%     0.00%  swapper          [kernel.kallsyms]  [k] enqueue_task
     1.25%     0.07%  postgres         [kernel.kallsyms]  [k] update_load_avg
     1.25%     0.01%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     1.25%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     1.25%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_q
     1.24%     0.04%  postgres         [kernel.kallsyms]  [k] futex_wait
     1.23%     0.00%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     1.23%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_handle
     1.23%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     1.21%     0.00%  postgres         [kernel.kallsyms]  [k] update_process_times
     1.20%     0.00%  postgres         [kernel.kallsyms]  [k] task_work_run
     1.20%     0.00%  postgres         [kernel.kallsyms]  [k] scheduler_tick
     1.20%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit
     1.20%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     1.19%     0.00%  postgres         [kernel.kallsyms]  [k] task_tick_fair
     1.19%     0.00%  postgres         [kernel.kallsyms]  [k] task_numa_work
     1.18%     0.00%  postgres         [kernel.kallsyms]  [k] ttwu_do_activate
     1.18%     0.00%  postgres         [kernel.kallsyms]  [k] enqueue_task
     1.17%     1.17%  postgres         [kernel.kallsyms]  [k] change_protection
     1.17%     0.00%  postgres         [kernel.kallsyms]  [k] change_prot_numa
     1.16%     1.15%  postgres         [kernel.kallsyms]  [k] sugov_update_single_freq
     1.15%     1.00%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     1.13%     0.00%  postgres         [kernel.kallsyms]  [k] futex_wait_queue_me
     1.12%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] schedule
     1.12%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __schedule
     1.11%     0.02%  postgres         [kernel.kallsyms]  [k] psi_task_change
     1.10%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     1.08%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.05%     0.01%  swapper          [kernel.kallsyms]  [k] enqueue_task_fair
     1.04%     1.04%  tclsh8.6         [kernel.kallsyms]  [k] switch_mm_irqs_off
     1.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_sysvec_reschedule_ipi
     1.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] irqentry_exit
