# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 2197247760119
#
# Children      Self  Command          Shared Object       Symbol                                        
# ........  ........  ...............  ..................  ..............................................
#
    46.81%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    46.81%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    46.78%     0.01%  swapper          [kernel.kallsyms]   [k] do_idle
    46.17%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    46.04%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    46.04%     0.01%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    43.93%     0.01%  postgres         [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    43.92%     0.03%  postgres         [kernel.kallsyms]   [k] do_syscall_64
    43.31%    40.86%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    35.09%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_exit_group
    35.09%     0.00%  postgres         [kernel.kallsyms]   [k] do_exit
    35.09%     0.00%  postgres         [kernel.kallsyms]   [k] do_group_exit
    35.07%     0.00%  postgres         [kernel.kallsyms]   [k] exit_mmap
    35.07%     0.00%  postgres         [kernel.kallsyms]   [k] mmput
    33.92%     0.00%  postgres         [kernel.kallsyms]   [k] unmap_vmas
    33.91%     0.00%  postgres         [kernel.kallsyms]   [k] unmap_single_vma
    31.50%    24.69%  postgres         [kernel.kallsyms]   [k] unmap_page_range
     4.72%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_zone
     4.72%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kcompactd
     4.72%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kthread
     4.72%     0.00%  kcompactd1       [kernel.kallsyms]   [k] proactive_compact_node
     4.72%     0.00%  kcompactd1       [kernel.kallsyms]   [k] ret_from_fork
     4.68%     0.01%  kcompactd1       [kernel.kallsyms]   [k] migrate_pages
     4.07%     0.00%  kcompactd1       [kernel.kallsyms]   [k] rmap_walk
     3.95%     0.01%  kcompactd1       [kernel.kallsyms]   [k] rmap_walk_file
     3.39%     0.00%  kcompactd1       [kernel.kallsyms]   [k] try_to_migrate
     3.36%     3.32%  kcompactd1       [kernel.kallsyms]   [k] page_vma_mapped_walk
     3.30%     0.03%  kcompactd1       [kernel.kallsyms]   [k] try_to_migrate_one
     2.66%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_futex
     2.66%     0.01%  postgres         [kernel.kallsyms]   [k] do_futex
