# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 2138941614939
#
# Children      Self  Command          Shared Object       Symbol                                           
# ........  ........  ...............  ..................  .................................................
#
    48.96%     0.01%  postgres         [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
    48.95%     0.01%  postgres         [kernel.kallsyms]   [k] do_syscall_64
    45.03%     0.00%  swapper          [kernel.kallsyms]   [k] secondary_startup_64_no_verify
    45.03%     0.00%  swapper          [kernel.kallsyms]   [k] cpu_startup_entry
    45.01%     0.02%  swapper          [kernel.kallsyms]   [k] do_idle
    44.52%     0.00%  swapper          [kernel.kallsyms]   [k] cpuidle_enter
    44.51%     0.05%  swapper          [kernel.kallsyms]   [k] cpuidle_enter_state
    44.43%     0.00%  swapper          [kernel.kallsyms]   [k] start_secondary
    41.87%    38.15%  swapper          [kernel.kallsyms]   [k] mwait_idle_with_hints.constprop.0
    35.56%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_exit_group
    35.56%     0.00%  postgres         [kernel.kallsyms]   [k] do_exit
    35.56%     0.00%  postgres         [kernel.kallsyms]   [k] do_group_exit
    35.56%     0.00%  postgres         [kernel.kallsyms]   [k] exit_mmap
    35.56%     0.00%  postgres         [kernel.kallsyms]   [k] mmput
    34.19%     0.00%  postgres         [kernel.kallsyms]   [k] unmap_single_vma
    34.19%     0.00%  postgres         [kernel.kallsyms]   [k] unmap_vmas
    33.57%    25.17%  postgres         [kernel.kallsyms]   [k] unmap_page_range
     6.44%     0.00%  postgres         [kernel.kallsyms]   [k] vfs_read
     6.44%     0.01%  postgres         [kernel.kallsyms]   [k] new_sync_read
     6.42%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_file_read_iter
     6.42%     0.00%  postgres         [kernel.kallsyms]   [k] generic_file_read_iter
     6.42%     0.64%  postgres         [kernel.kallsyms]   [k] filemap_read
     4.79%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_pread64
     4.59%     0.02%  postgres         [kernel.kallsyms]   [k] filemap_get_pages
     4.18%     0.00%  postgres         [kernel.kallsyms]   [k] ondemand_readahead
     4.17%     0.00%  postgres         [kernel.kallsyms]   [k] page_cache_sync_ra
     4.17%     0.00%  postgres         [kernel.kallsyms]   [k] page_cache_ra_unbounded
     4.16%     0.04%  postgres         [kernel.kallsyms]   [k] add_to_page_cache_lru
     3.81%     0.00%  postgres         [kernel.kallsyms]   [k] cgroup_rstat_flush_irqsafe
     3.78%     0.01%  postgres         [kernel.kallsyms]   [k] workingset_refault
     3.78%     0.00%  postgres         [kernel.kallsyms]   [k] mem_cgroup_flush_stats
     3.76%     3.76%  swapper          [unknown]           [.] 0000000000000000
     3.74%     0.10%  postgres         [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     3.60%     3.57%  postgres         [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     2.86%     2.07%  postgres         [kernel.kallsyms]   [k] page_remove_rmap
     2.86%     0.02%  postgres         [kernel.kallsyms]   [k] tlb_flush_mmu
     2.30%     0.12%  postgres         [kernel.kallsyms]   [k] free_pages_and_swap_cache
     2.21%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_futex
     2.21%     0.01%  postgres         [kernel.kallsyms]   [k] do_futex
     2.04%     0.01%  postgres         [kernel.kallsyms]   [k] asm_exc_page_fault
     1.94%     0.00%  postgres         [kernel.kallsyms]   [k] exc_page_fault
     1.92%     0.02%  postgres         [kernel.kallsyms]   [k] do_user_addr_fault
     1.88%     1.88%  postgres         [unknown]           [.] 0000000000000000
     1.87%     0.02%  postgres         [kernel.kallsyms]   [k] handle_mm_fault
     1.83%     1.74%  postgres         [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.81%     0.05%  postgres         [kernel.kallsyms]   [k] __handle_mm_fault
     1.79%     1.04%  postgres         [kernel.kallsyms]   [k] release_pages
     1.67%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_read
     1.67%     0.00%  postgres         [kernel.kallsyms]   [k] ksys_read
     1.64%     0.00%  postgres         [kernel.kallsyms]   [k] __sys_sendto
     1.64%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_sendto
     1.62%     0.00%  postgres         [kernel.kallsyms]   [k] sock_sendmsg
     1.61%     0.06%  postgres         [kernel.kallsyms]   [k] futex_wake
     1.59%     0.01%  postgres         [kernel.kallsyms]   [k] unix_stream_sendmsg
     1.52%     0.02%  postgres         [kernel.kallsyms]   [k] try_to_wake_up
     1.42%     0.00%  postgres         [kernel.kallsyms]   [k] migrate_misplaced_page
     1.42%     0.00%  postgres         [kernel.kallsyms]   [k] migrate_pages
     1.36%     0.00%  postgres         [kernel.kallsyms]   [k] vfs_write
     1.35%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_file_write_iter
     1.35%     0.00%  postgres         [kernel.kallsyms]   [k] new_sync_write
     1.35%     0.00%  postgres         [kernel.kallsyms]   [k] free_pgtables
     1.35%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_buffered_write_iter
     1.34%     0.08%  postgres         [kernel.kallsyms]   [k] free_pgd_range
     1.33%     0.01%  postgres         [kernel.kallsyms]   [k] generic_perform_write
     1.27%     0.68%  postgres         [kernel.kallsyms]   [k] mark_page_accessed
     1.24%     0.37%  postgres         [kernel.kallsyms]   [k] ___pte_free_tlb
     1.23%     0.01%  postgres         [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     1.22%     0.00%  postgres         [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     1.14%     1.11%  swapper          [kernel.kallsyms]   [k] poll_idle
     1.13%     1.09%  postgres         [kernel.kallsyms]   [k] flush_tlb_mm_range
     1.12%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_common
     1.12%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_pwrite64
     1.10%     0.01%  postgres         [kernel.kallsyms]   [k] __wake_up_common_lock
     1.10%     0.00%  postgres         [kernel.kallsyms]   [k] sock_def_readable
     1.10%     0.00%  postgres         [kernel.kallsyms]   [k] __wake_up_sync_key
     1.10%     0.00%  postgres         [kernel.kallsyms]   [k] default_wake_function
     1.09%     0.00%  postgres         [kernel.kallsyms]   [k] pollwake
     1.08%     1.08%  swapper          [kernel.kallsyms]   [k] __switch_to
     1.08%     1.07%  postgres         [kernel.kallsyms]   [k] mark_wake_futex
     1.02%     0.00%  postgres         [kernel.kallsyms]   [k] hrtimer_interrupt
     1.02%     0.00%  postgres         [kernel.kallsyms]   [k] __sysvec_apic_timer_interrupt
     1.01%     0.00%  postgres         [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.98%     0.00%  postgres         [kernel.kallsyms]   [k] tick_sched_timer
     0.98%     0.01%  postgres         [kernel.kallsyms]   [k] update_process_times
     0.98%     0.00%  postgres         [kernel.kallsyms]   [k] tick_sched_handle
     0.91%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_zone
     0.91%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kcompactd
     0.91%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kthread
     0.91%     0.00%  kcompactd1       [kernel.kallsyms]   [k] proactive_compact_node
     0.91%     0.00%  kcompactd1       [kernel.kallsyms]   [k] ret_from_fork
     0.88%     0.00%  postgres         [kernel.kallsyms]   [k] enqueue_task
     0.88%     0.00%  postgres         [kernel.kallsyms]   [k] ttwu_do_activate
     0.88%     0.01%  swapper          [kernel.kallsyms]   [k] nvme_process_cq
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] __common_interrupt
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] __handle_irq_event_percpu
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] asm_common_interrupt
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] common_interrupt
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] handle_edge_irq
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] handle_irq_event
     0.88%     0.00%  swapper          [kernel.kallsyms]   [k] nvme_irq
     0.88%     0.00%  postgres         [kernel.kallsyms]   [k] page_get_anon_vma
     0.87%     0.00%  swapper          [kernel.kallsyms]   [k] nvme_pci_complete_rq
     0.87%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_pages
     0.87%     0.00%  swapper          [kernel.kallsyms]   [k] blk_mq_end_request
     0.87%     0.00%  swapper          [kernel.kallsyms]   [k] nvme_complete_rq
     0.86%     0.00%  swapper          [kernel.kallsyms]   [k] blk_update_request
     0.86%     0.00%  swapper          [kernel.kallsyms]   [k] bio_endio
     0.84%     0.01%  postgres         [kernel.kallsyms]   [k] ext4_da_write_begin
     0.83%     0.03%  postgres         [kernel.kallsyms]   [k] enqueue_task_fair
     0.83%     0.00%  swapper          [kernel.kallsyms]   [k] ext4_end_bio
     0.82%     0.00%  swapper          [kernel.kallsyms]   [k] ext4_finish_bio
     0.82%     0.01%  postgres         [kernel.kallsyms]   [k] schedule
     0.80%     0.80%  postgres         [kernel.kallsyms]   [k] acct_account_cputime
     0.80%     0.00%  postgres         [kernel.kallsyms]   [k] account_process_tick
     0.80%     0.00%  postgres         [kernel.kallsyms]   [k] account_user_time
     0.80%     0.03%  postgres         [kernel.kallsyms]   [k] enqueue_entity
     0.79%     0.76%  swapper          [kernel.kallsyms]   [k] test_clear_page_writeback
     0.79%     0.00%  swapper          [kernel.kallsyms]   [k] end_page_writeback
     0.79%     0.05%  postgres         [kernel.kallsyms]   [k] __schedule
     0.77%     0.00%  postgres         [kernel.kallsyms]   [k] tlb_remove_page
     0.70%     0.02%  postgres         [kernel.kallsyms]   [k] free_unref_page_list
     0.68%     0.00%  postgres         [kernel.kallsyms]   [k] free_unref_page_commit.constprop.0
     0.68%     0.12%  postgres         [kernel.kallsyms]   [k] free_pcppages_bulk
     0.68%     0.62%  postgres         [kernel.kallsyms]   [k] free_swap_cache
     0.64%     0.54%  postgres         [kernel.kallsyms]   [k] _raw_spin_lock
     0.61%     0.00%  postgres         [kernel.kallsyms]   [k] get_unused_fd_flags
     0.61%     0.02%  postgres         [kernel.kallsyms]   [k] pagecache_get_page
     0.60%     0.60%  postgres         [kernel.kallsyms]   [k] alloc_fd
     0.60%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_epoll_create1
     0.60%     0.00%  postgres         [kernel.kallsyms]   [k] do_epoll_create
     0.60%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     0.60%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     0.60%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     0.60%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
     0.60%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_reservations
     0.59%     0.01%  swapper          [kernel.kallsyms]   [k] asm_sysvec_apic_timer_interrupt
     0.59%     0.00%  postgres         [kernel.kallsyms]   [k] grab_cache_page_write_begin
     0.58%     0.04%  postgres         [kernel.kallsyms]   [k] futex_wait
     0.57%     0.01%  swapper          [kernel.kallsyms]   [k] sysvec_apic_timer_interrupt
     0.54%     0.03%  postgres         [kernel.kallsyms]   [k] workingset_activation
     0.54%     0.00%  kcompactd1       [kernel.kallsyms]   [k] rmap_walk
     0.53%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_sync_file
     0.53%     0.00%  postgres         [kernel.kallsyms]   [k] file_write_and_wait_range
     0.52%     0.00%  postgres         [kernel.kallsyms]   [k] do_writepages
     0.52%     0.00%  postgres         [kernel.kallsyms]   [k] ext4_writepages
     0.52%     0.00%  postgres         [kernel.kallsyms]   [k] filemap_fdatawrite_wbc
     0.52%     0.52%  postgres         [kernel.kallsyms]   [k] workingset_age_nonresident
     0.50%     0.43%  postgres         [kernel.kallsyms]   [k] lock_page_memcg
     0.50%     0.49%  postgres         [kernel.kallsyms]   [k] __free_one_page
     0.50%     0.00%  swapper          [kernel.kallsyms]   [k] irq_exit_rcu
     0.49%     0.00%  swapper          [kernel.kallsyms]   [k] __softirqentry_text_start
     0.48%     0.02%  kcompactd1       [kernel.kallsyms]   [k] rmap_walk_file
     0.47%     0.00%  swapper          [kernel.kallsyms]   [k] run_rebalance_domains
     0.46%     0.01%  postgres         [kernel.kallsyms]   [k] dequeue_task
     0.46%     0.02%  postgres         [kernel.kallsyms]   [k] dequeue_task_fair
     0.45%     0.00%  postgres         [kernel.kallsyms]   [k] migrate_page
     0.45%     0.00%  postgres         [kernel.kallsyms]   [k] move_to_new_page
     0.44%     0.01%  postgres         [kernel.kallsyms]   [k] mpage_prepare_extent_to_map
     0.44%     0.41%  swapper          [kernel.kallsyms]   [k] update_blocked_averages
     0.44%     0.00%  postgres         [kernel.kallsyms]   [k] __x64_sys_fsync
     0.44%     0.00%  postgres         [kernel.kallsyms]   [k] vfs_fsync_range
     0.44%     0.40%  postgres         [kernel.kallsyms]   [k] select_task_rq_fair
     0.44%     0.01%  postgres         [kernel.kallsyms]   [k] futex_wait_queue_me
     0.43%     0.00%  postgres         [kernel.kallsyms]   [k] skb_copy_datagram_from_iter
     0.43%     0.43%  postgres         [kernel.kallsyms]   [k] vm_normal_page
     0.43%     0.01%  postgres         [kernel.kallsyms]   [k] dequeue_entity
     0.43%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     0.42%     0.00%  tclsh8.6         [kernel.kallsyms]   [k] do_syscall_64
     0.42%     0.00%  postgres         [kernel.kallsyms]   [k] migrate_page_states
     0.42%     0.00%  postgres         [kernel.kallsyms]   [k] migrate_page_copy
     0.42%     0.00%  postgres         [kernel.kallsyms]   [k] mem_cgroup_migrate
     0.42%     0.42%  postgres         [kernel.kallsyms]   [k] page_counter_charge
     0.40%     0.01%  postgres         [kernel.kallsyms]   [k] wake_up_q
     0.39%     0.30%  postgres         [kernel.kallsyms]   [k] __tlb_remove_page_size
     0.39%     0.33%  postgres         [kernel.kallsyms]   [k] update_curr
