# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
    49.37%     0.02%  postgres         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    49.34%     0.02%  postgres         [kernel.kallsyms]     [k] do_syscall_64
    40.73%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    40.73%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    40.70%     0.03%  swapper          [kernel.kallsyms]     [k] do_idle
    40.26%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    39.10%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    39.09%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    37.73%    36.30%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    37.40%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_exit_group
    37.40%     0.00%  postgres         [kernel.kallsyms]     [k] do_exit
    37.40%     0.00%  postgres         [kernel.kallsyms]     [k] do_group_exit
    37.34%     0.00%  postgres         [kernel.kallsyms]     [k] exit_mmap
    37.34%     0.00%  postgres         [kernel.kallsyms]     [k] mmput
    35.95%     0.01%  postgres         [kernel.kallsyms]     [k] unmap_single_vma
    35.95%     0.00%  postgres         [kernel.kallsyms]     [k] unmap_vmas
    32.60%    24.72%  postgres         [kernel.kallsyms]     [k] unmap_page_range
     4.06%     0.00%  postgres         [kernel.kallsyms]     [k] vfs_read
     4.04%     0.02%  postgres         [kernel.kallsyms]     [k] new_sync_read
     4.02%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_file_read_iter
     4.02%     0.00%  postgres         [kernel.kallsyms]     [k] generic_file_read_iter
     4.02%     0.03%  postgres         [kernel.kallsyms]     [k] filemap_read
     4.00%     0.02%  postgres         [kernel.kallsyms]     [k] vfs_write
     3.97%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_file_write_iter
