# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles'
# Event count (approx.): 4209789632036
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    59.45%     0.03%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    59.42%     0.02%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    43.55%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    43.55%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    43.55%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    43.54%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    43.54%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    41.21%     0.01%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    41.21%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    40.63%    18.60%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    33.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    33.26%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    33.17%     0.05%  swapper          [kernel.kallsyms]  [k] do_idle
    32.68%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    31.08%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    31.07%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    29.44%    28.89%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    15.76%    15.76%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
    15.46%     0.01%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
    15.19%     0.16%  postgres         [kernel.kallsyms]  [k] pagevec_lru_move_fn
    14.97%     0.11%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
    14.75%     0.22%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
    14.43%     0.01%  postgres         [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
    11.90%     0.03%  postgres         [kernel.kallsyms]  [k] lru_add_drain_cpu
    11.90%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain
     5.99%     0.01%  postgres         [kernel.kallsyms]  [k] vfs_read
     5.93%     0.04%  postgres         [kernel.kallsyms]  [k] new_sync_read
     5.89%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     5.89%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     5.88%     0.05%  postgres         [kernel.kallsyms]  [k] filemap_read
     5.49%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     4.97%     0.12%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     4.93%     0.57%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     4.44%     0.02%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     4.41%     0.05%  postgres         [kernel.kallsyms]  [k] do_futex
     4.25%     0.01%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     4.24%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     4.23%     0.03%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.83%     0.07%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     3.00%     1.13%  postgres         [kernel.kallsyms]  [k] release_pages
     2.94%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.93%     0.01%  postgres         [kernel.kallsyms]  [k] workingset_refault
     2.89%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.76%     0.42%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     2.62%     1.83%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     2.38%     0.29%  postgres         [kernel.kallsyms]  [k] futex_wake
     2.30%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_write
     2.28%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
