# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 81K of event 'cycles'
# Event count (approx.): 6486313969415
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
    48.89%     0.05%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    48.81%     0.04%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    36.44%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    36.44%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    36.37%     0.06%  swapper          [kernel.kallsyms]  [k] do_idle
    35.75%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    34.84%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    34.82%     0.04%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    32.69%    31.40%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    26.66%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    26.66%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    26.66%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    26.65%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    26.65%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    25.28%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    25.28%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    24.83%    11.50%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     9.48%     9.46%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     9.06%     0.28%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     8.89%     0.08%  postgres         [kernel.kallsyms]  [k] pagevec_lru_move_fn
     8.41%     0.02%  postgres         [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     8.13%     0.02%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     7.89%     0.05%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     7.29%     0.01%  postgres         [kernel.kallsyms]  [k] vfs_write
     7.27%     0.02%  postgres         [kernel.kallsyms]  [k] new_sync_write
     7.25%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     7.23%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     7.12%     0.02%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     7.04%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     6.76%     0.03%  postgres         [kernel.kallsyms]  [k] vfs_read
     6.67%     0.03%  postgres         [kernel.kallsyms]  [k] new_sync_read
     6.64%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     6.63%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     6.63%     0.06%  postgres         [kernel.kallsyms]  [k] filemap_read
     6.09%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     6.06%     0.01%  postgres         [kernel.kallsyms]  [k] lru_add_drain_cpu
     6.06%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain
     5.24%     0.15%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     5.12%     0.02%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     4.94%     0.03%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     4.91%     0.23%  postgres         [kernel.kallsyms]  [k] do_futex
     4.82%     0.03%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
     4.37%     0.01%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     4.36%     0.02%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     4.07%     0.01%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     3.97%     0.50%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     3.77%     0.12%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     3.69%     0.01%  postgres         [kernel.kallsyms]  [k] grab_cache_page_write_begin
     3.55%     0.01%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     3.27%     0.02%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     3.21%     0.05%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     3.08%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     3.03%     0.04%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     2.82%     0.01%  postgres         [kernel.kallsyms]  [k] workingset_refault
     2.77%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.77%     0.23%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     2.68%     0.34%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     2.48%     1.83%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     2.48%     0.11%  postgres         [kernel.kallsyms]  [k] futex_wait
     2.43%     0.07%  postgres         [kernel.kallsyms]  [k] schedule
     2.33%     0.18%  postgres         [kernel.kallsyms]  [k] futex_wake
     2.33%     0.28%  postgres         [kernel.kallsyms]  [k] __schedule
     2.30%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     2.30%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     2.30%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     2.28%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     2.27%     0.13%  postgres         [kernel.kallsyms]  [k] try_to_wake_up
     2.27%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     2.23%     2.11%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     2.10%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk
     2.00%     1.10%  postgres         [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.99%     0.04%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk_file
     1.92%     0.04%  postgres         [kernel.kallsyms]  [k] alloc_pages
     1.91%     0.05%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     1.84%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.84%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.84%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.83%     0.01%  postgres         [kernel.kallsyms]  [k] wake_up_q
     1.83%     0.05%  postgres         [kernel.kallsyms]  [k] futex_wait_queue_me
     1.83%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.82%     0.23%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     1.82%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     1.81%     0.84%  postgres         [kernel.kallsyms]  [k] release_pages
     1.59%     1.13%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     1.47%     1.47%  swapper          [unknown]          [.] 0000000000000000
     1.44%     0.02%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     1.38%     0.73%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     1.36%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     1.35%     1.35%  postgres         [unknown]          [.] 0000000000000000
     1.34%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     1.34%     1.24%  kcompactd1       [kernel.kallsyms]  [k] page_vma_mapped_walk
     1.21%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     1.20%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate
     1.20%     0.08%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     1.11%     0.07%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.10%     0.22%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     1.09%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.08%     0.05%  postgres         [kernel.kallsyms]  [k] ext4_block_write_begin
     1.08%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     1.07%     0.13%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate_one
     1.02%     0.97%  postgres         [kernel.kallsyms]  [k] clear_page_erms
     0.98%     0.88%  swapper          [kernel.kallsyms]  [k] poll_idle
     0.91%     0.00%  postgres         [kernel.kallsyms]  [k] ttwu_do_activate
     0.89%     0.01%  postgres         [kernel.kallsyms]  [k] enqueue_task
     0.89%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.89%     0.04%  postgres         [kernel.kallsyms]  [k] free_unref_page_list
     0.89%     0.03%  postgres         [kernel.kallsyms]  [k] dequeue_task
     0.88%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.85%     0.02%  postgres         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.85%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] kthread
     0.85%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] process_one_work
     0.85%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] ret_from_fork
     0.85%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] wb_workfn
     0.85%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] wb_writeback
     0.85%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] worker_thread
     0.85%     0.07%  postgres         [kernel.kallsyms]  [k] dequeue_task_fair
     0.84%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.84%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] __writeback_single_inode
     0.84%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] do_writepages
     0.84%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] ext4_writepages
     0.84%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.84%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_remove_page
     0.84%     0.02%  kworker/u98:4+f  [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.83%     0.07%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     0.83%     0.05%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.82%     0.00%  postgres         [kernel.kallsyms]  [k] read_pages
     0.78%     0.04%  kcompactd1       [kernel.kallsyms]  [k] remove_migration_pte
     0.75%     0.04%  postgres         [kernel.kallsyms]  [k] dequeue_entity
     0.73%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_read
     0.73%     0.01%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.73%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_read
     0.72%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.72%     0.09%  postgres         [kernel.kallsyms]  [k] filemap_map_pages
     0.72%     0.04%  postgres         [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.72%     0.01%  swapper          [kernel.kallsyms]  [k] schedule_idle
     0.70%     0.00%  postgres         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.69%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.69%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.69%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.69%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.69%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.69%     0.41%  postgres         [kernel.kallsyms]  [k] update_load_avg
     0.69%     0.12%  swapper          [kernel.kallsyms]  [k] __schedule
     0.69%     0.03%  kworker/u98:4+f  [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.69%     0.01%  postgres         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.68%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.67%     0.50%  postgres         [kernel.kallsyms]  [k] update_blocked_averages
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.66%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_openat
     0.65%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.65%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     0.65%     0.01%  postgres         [kernel.kallsyms]  [k] irq_exit_rcu
     0.64%     0.01%  postgres         [kernel.kallsyms]  [k] do_sys_openat2
     0.64%     0.00%  kworker/u98:4+f  [kernel.kallsyms]  [k] mpage_submit_page
     0.62%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_readahead
     0.62%     0.04%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.60%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.60%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     0.60%     0.03%  postgres         [kernel.kallsyms]  [k] workingset_activation
     0.60%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.60%     0.00%  postgres         [kernel.kallsyms]  [k] asm_common_interrupt
     0.60%     0.00%  postgres         [kernel.kallsyms]  [k] common_interrupt
     0.60%     0.26%  swapper          [kernel.kallsyms]  [k] update_blocked_averages
     0.59%     0.01%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     0.59%     0.01%  postgres         [kernel.kallsyms]  [k] __common_interrupt
