# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
    51.75%     0.03%  postgres         [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    51.70%     0.04%  postgres         [kernel.kallsyms]      [k] do_syscall_64
    34.86%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_exit_group
    34.86%     0.00%  postgres         [kernel.kallsyms]      [k] do_exit
    34.86%     0.00%  postgres         [kernel.kallsyms]      [k] do_group_exit
    34.84%     0.00%  postgres         [kernel.kallsyms]      [k] exit_mmap
    34.84%     0.00%  postgres         [kernel.kallsyms]      [k] mmput
    33.10%     0.00%  postgres         [kernel.kallsyms]      [k] unmap_single_vma
    33.10%     0.00%  postgres         [kernel.kallsyms]      [k] unmap_vmas
    32.67%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    32.66%     0.01%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    32.65%    14.85%  postgres         [kernel.kallsyms]      [k] unmap_page_range
    32.59%     0.27%  swapper          [kernel.kallsyms]      [k] do_idle
    32.08%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    30.18%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    30.16%     0.03%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    27.66%    27.38%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    12.74%    12.73%  postgres         [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
    12.33%     0.15%  postgres         [kernel.kallsyms]      [k] pagevec_lru_move_fn
    12.08%     0.27%  postgres         [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
    11.72%     0.01%  postgres         [kernel.kallsyms]      [k] lock_page_lruvec_irqsave
    10.96%     0.01%  postgres         [kernel.kallsyms]      [k] tlb_flush_mmu
    10.77%     0.07%  postgres         [kernel.kallsyms]      [k] free_pages_and_swap_cache
     8.49%     0.01%  postgres         [kernel.kallsyms]      [k] lru_add_drain
     8.48%     0.01%  postgres         [kernel.kallsyms]      [k] lru_add_drain_cpu
     5.96%     0.02%  postgres         [kernel.kallsyms]      [k] vfs_read
     5.48%     0.03%  postgres         [kernel.kallsyms]      [k] new_sync_read
     5.45%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_file_read_iter
     5.44%     0.00%  postgres         [kernel.kallsyms]      [k] generic_file_read_iter
     5.44%     0.05%  postgres         [kernel.kallsyms]      [k] filemap_read
     5.43%     0.03%  postgres         [kernel.kallsyms]      [k] __x64_sys_futex
     5.39%     0.07%  postgres         [kernel.kallsyms]      [k] do_futex
     5.36%     0.55%  postgres         [kernel.kallsyms]      [k] mark_page_accessed
     5.15%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_pread64
     4.22%     0.00%  kcompactd0       [kernel.kallsyms]      [k] compact_zone
     4.22%     0.00%  kcompactd0       [kernel.kallsyms]      [k] kcompactd
     4.22%     0.00%  kcompactd0       [kernel.kallsyms]      [k] kthread
     4.22%     0.00%  kcompactd0       [kernel.kallsyms]      [k] ret_from_fork
     4.21%     0.00%  kcompactd0       [kernel.kallsyms]      [k] migrate_pages
     4.20%     0.01%  postgres         [kernel.kallsyms]      [k] filemap_get_pages
     4.02%     0.00%  kcompactd0       [kernel.kallsyms]      [k] rmap_walk
     3.85%     0.05%  kcompactd0       [kernel.kallsyms]      [k] rmap_walk_file
     3.83%     0.01%  postgres         [kernel.kallsyms]      [k] ondemand_readahead
     3.81%     0.02%  postgres         [kernel.kallsyms]      [k] page_cache_ra_unbounded
     3.65%     0.02%  postgres         [kernel.kallsyms]      [k] page_cache_sync_ra
     3.30%     0.00%  kcompactd0       [kernel.kallsyms]      [k] kcompactd_do_work
     3.25%     0.00%  postgres         [kernel.kallsyms]      [k] asm_exc_page_fault
     3.20%     0.03%  postgres         [kernel.kallsyms]      [k] add_to_page_cache_lru
     2.95%     0.23%  postgres         [kernel.kallsyms]      [k] futex_wake
     2.70%     0.01%  postgres         [kernel.kallsyms]      [k] exc_page_fault
     2.66%     0.02%  postgres         [kernel.kallsyms]      [k] do_user_addr_fault
     2.57%     2.36%  kcompactd0       [kernel.kallsyms]      [k] page_vma_mapped_walk
     2.52%     0.00%  postgres         [kernel.kallsyms]      [k] cgroup_rstat_flush_irqsafe
     2.46%     0.02%  postgres         [kernel.kallsyms]      [k] workingset_refault
     2.43%     0.00%  postgres         [kernel.kallsyms]      [k] mem_cgroup_flush_stats
     2.40%     0.17%  postgres         [kernel.kallsyms]      [k] try_to_wake_up
     2.38%     0.03%  postgres         [kernel.kallsyms]      [k] handle_mm_fault
     2.34%     0.32%  postgres         [kernel.kallsyms]      [k] cgroup_rstat_flush_locked
     2.34%     0.14%  postgres         [kernel.kallsyms]      [k] futex_wait
     2.26%     0.00%  kcompactd0       [kernel.kallsyms]      [k] try_to_migrate
     2.25%     0.93%  postgres         [kernel.kallsyms]      [k] release_pages
     2.21%     0.16%  postgres         [kernel.kallsyms]      [k] __handle_mm_fault
     2.14%     0.02%  postgres         [kernel.kallsyms]      [k] wake_up_q
     2.08%     0.17%  kcompactd0       [kernel.kallsyms]      [k] try_to_migrate_one
     1.95%     1.92%  postgres         [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
