# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 468  of event 'cycles'
# Event count (approx.): 901508276685
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
    53.88%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    53.88%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    53.11%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    53.11%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    53.11%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    53.11%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    53.11%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    52.79%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    52.79%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    52.74%    40.92%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    41.15%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    41.15%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    41.15%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    41.15%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    41.15%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    41.15%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    41.10%    38.76%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
     7.67%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     6.66%     4.74%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     5.72%     0.97%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     4.02%     4.02%  postgres         [kernel.kallsyms]  [k] __tlb_remove_page_size
     3.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     3.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     3.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     3.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     3.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     3.66%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     3.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     3.31%     3.31%  kcompactd0       [kernel.kallsyms]  [k] clear_page_erms
     3.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] post_alloc_hook
     3.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] split_map_pages
     2.34%     2.34%  swapper          [unknown]          [.] 0000000000000000
     1.92%     1.72%  postgres         [kernel.kallsyms]  [k] release_pages
     1.12%     1.12%  postgres         [kernel.kallsyms]  [k] next_uptodate_page
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_map_pages
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.56%     0.56%  postgres         [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
