# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 376  of event 'cycles'
# Event count (approx.): 697111396867
#
# Children      Self  Command          Shared Object      Symbol                                   
# ........  ........  ...............  .................  .........................................
#
    63.19%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    63.19%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    63.08%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    63.08%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    63.08%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    63.08%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    63.08%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    56.59%    51.54%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    56.59%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    56.59%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    33.76%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    33.76%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    33.76%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    33.76%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    33.76%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    33.74%    33.67%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    33.73%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     4.94%     2.45%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     4.80%     4.80%  postgres         [kernel.kallsyms]  [k] fput
     2.94%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     2.94%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     2.94%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     2.94%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     2.94%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     2.90%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     2.62%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compaction_alloc
     2.58%     2.58%  kcompactd0       [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     2.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     2.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_lock_irqsave
     2.58%     0.00%  kcompactd0       [kernel.kallsyms]  [k] isolate_freepages_block
     2.38%     2.38%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     1.72%     0.00%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     1.69%     0.04%  postgres         [kernel.kallsyms]  [k] release_pages
     1.65%     0.04%  postgres         [kernel.kallsyms]  [k] free_unref_page_list
     1.61%     1.61%  postgres         [kernel.kallsyms]  [k] __free_one_page
     1.61%     0.00%  postgres         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     1.58%     0.00%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     1.58%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_finish_mmu
     0.19%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     0.12%     0.08%  kcompactd0       [kernel.kallsyms]  [k] free_unref_page
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __put_page
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_remove_page
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.08%     0.08%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.08%     0.00%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.08%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.08%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.08%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.07%     0.04%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.07%     0.07%  swapper          [unknown]          [.] 0000000000000000
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] filename_lookup
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] path_lookupat
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] user_path_at_empty
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] walk_component
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] xas_load
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __buffer_migrate_page.part.0
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] buffer_migrate_page
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_move_mapping
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] free_pcppages_bulk
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] unlock_page
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] isolate_migratepages_block
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     0.04%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] clear_page_erms
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] post_alloc_hook
     0.04%     0.00%  kcompactd0       [kernel.kallsyms]  [k] split_map_pages
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     0.04%     0.04%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] page_mapping
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.04%     0.04%  postgres         [kernel.kallsyms]  [k] __activate_page
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] lru_add_drain_cpu
     0.04%     0.00%  postgres         [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.03%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
