# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 204  of event 'cycles'
# Event count (approx.): 79350080947
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
    39.56%    38.45%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
    39.56%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
    39.56%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
    39.56%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
    39.56%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
    39.56%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
    35.10%    35.10%  tclsh8.6         [kernel.kallsyms]  [k] __free_one_page
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_exit_group
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_exit
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_group_exit
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exit_mmap
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_pages_and_swap_cache
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_pcppages_bulk
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] free_unref_page_list
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] mmput
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] release_pages
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] tlb_flush_mmu
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_page_range
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_single_vma
    35.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unmap_vmas
    23.26%    23.26%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    23.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    23.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    23.26%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    23.26%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    23.26%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    23.26%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     1.60%     1.60%  ksoftirqd/12     [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] __free_slab
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] __slab_free
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] __softirqentry_text_start
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] discard_slab
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] file_free_rcu
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] kfree
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] kmem_cache_free
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] kthread
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] rcu_core
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] rcu_core_si
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] ret_from_fork
