# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 203  of event 'cycles'
# Event count (approx.): 14228959701
#
# Children      Self  Command          Shared Object      Symbol                                
# ........  ........  ...............  .................  ......................................
#
    85.36%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    85.36%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    85.36%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    85.36%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    85.36%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    85.36%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    84.33%    71.78%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    12.55%    12.55%  swapper          [unknown]          [.] 0000000000000000
     5.83%     5.83%  tclsh8.6         [kernel.kallsyms]  [k] __mod_lruvec_state
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __pagevec_lru_add
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] lru_cache_add
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     5.83%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] putback_lru_page
     5.76%     5.76%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ds_clear_operands
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ds_exec_end_op
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ev_asynch_execute_gpe_method
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ns_evaluate
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_os_execute_deferred
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_execute_method
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_parse_aml
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_parse_loop
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] kthread
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] process_one_work
