# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 402  of event 'cycles'
# Event count (approx.): 909640379647
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    72.87%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    72.59%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    72.59%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    70.59%    52.38%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    23.02%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    23.02%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    23.02%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    23.02%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    23.01%     0.02%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    23.00%    23.00%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    22.91%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    11.47%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     6.10%     1.71%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     5.37%     5.37%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     4.33%     4.08%  postgres         [kernel.kallsyms]  [k] release_pages
     4.00%     3.95%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     3.54%     3.54%  postgres         [kernel.kallsyms]  [k] vm_normal_page
     2.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     2.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     2.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     2.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     2.31%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     2.28%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     2.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     2.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     2.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     2.03%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     2.00%     2.00%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     1.92%     0.00%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     1.74%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     1.74%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     1.74%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
