# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 808077467991
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    58.98%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    58.98%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    54.73%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    54.73%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    54.73%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    54.73%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    54.73%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    52.86%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    52.86%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    51.44%    40.24%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    34.57%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    34.57%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    34.57%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    34.54%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    34.54%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    34.47%    34.26%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    33.94%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     5.20%     3.87%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     2.80%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     2.54%     0.00%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     2.45%     0.95%  postgres         [kernel.kallsyms]  [k] release_pages
     2.32%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     2.32%     0.00%  postgres         [kernel.kallsyms]  [k] do_futex
     2.27%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_wake_up
     2.25%     0.02%  postgres         [kernel.kallsyms]  [k] futex_wake
     2.24%     0.00%  postgres         [kernel.kallsyms]  [k] wake_up_q
     2.02%     1.87%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     1.73%     1.32%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     1.68%     0.05%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     1.68%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     1.59%     0.23%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     1.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     1.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     1.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     1.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     1.55%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     1.48%     0.00%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     1.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     1.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     1.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     1.48%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
