# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 19811833428013
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    41.73%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
    41.72%     0.01%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
    41.58%     0.11%  swapper          [kernel.kallsyms]     [k] do_idle
    40.94%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
    38.91%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
    38.88%     0.05%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
    35.97%    35.64%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
    31.17%     0.08%  postgres         [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    31.06%     0.07%  postgres         [kernel.kallsyms]     [k] do_syscall_64
     9.59%     0.03%  postgres         [kernel.kallsyms]     [k] vfs_read
     9.45%     0.08%  postgres         [kernel.kallsyms]     [k] new_sync_read
     9.37%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_file_read_iter
     9.37%     0.00%  postgres         [kernel.kallsyms]     [k] generic_file_read_iter
     9.35%     0.06%  postgres         [kernel.kallsyms]     [k] filemap_read
     9.22%     0.05%  postgres         [kernel.kallsyms]     [k] __x64_sys_futex
     9.16%     0.13%  postgres         [kernel.kallsyms]     [k] do_futex
     9.14%     0.01%  postgres         [kernel.kallsyms]     [k] __x64_sys_pread64
     8.24%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     8.24%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     8.24%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     8.24%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     8.24%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     8.12%     0.03%  postgres         [kernel.kallsyms]     [k] asm_exc_page_fault
     7.94%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     7.75%     0.00%  kswapd1          [kernel.kallsyms]     [k] rmap_walk
     7.74%     0.00%  kswapd1          [kernel.kallsyms]     [k] page_referenced
     7.55%     0.03%  postgres         [kernel.kallsyms]     [k] exc_page_fault
     7.39%     0.12%  kswapd1          [kernel.kallsyms]     [k] rmap_walk_file
     7.37%     0.09%  postgres         [kernel.kallsyms]     [k] do_user_addr_fault
     6.99%     0.12%  postgres         [kernel.kallsyms]     [k] handle_mm_fault
     6.95%     0.02%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     6.93%     0.55%  kswapd1          [kernel.kallsyms]     [k] page_referenced_one
     6.78%     0.03%  postgres         [kernel.kallsyms]     [k] filemap_get_pages
     6.45%     0.54%  postgres         [kernel.kallsyms]     [k] __handle_mm_fault
     6.41%     0.02%  postgres         [kernel.kallsyms]     [k] vfs_write
     6.38%     0.01%  postgres         [kernel.kallsyms]     [k] new_sync_write
     6.37%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_file_write_iter
     6.36%     0.00%  postgres         [kernel.kallsyms]     [k] ext4_buffered_write_iter
     6.29%     0.03%  postgres         [kernel.kallsyms]     [k] generic_perform_write
     6.20%     6.09%  kswapd1          [kernel.kallsyms]     [k] page_vma_mapped_walk
     5.92%     0.01%  postgres         [kernel.kallsyms]     [k] ondemand_readahead
     5.88%     0.05%  postgres         [kernel.kallsyms]     [k] page_cache_ra_unbounded
     5.86%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_pwrite64
     5.80%     0.02%  postgres         [kernel.kallsyms]     [k] page_cache_sync_ra
     5.68%     0.19%  postgres         [kernel.kallsyms]     [k] add_to_page_cache_lru
     4.72%     0.38%  postgres         [kernel.kallsyms]     [k] futex_wake
     4.30%     0.31%  postgres         [kernel.kallsyms]     [k] try_to_wake_up
     4.24%     0.23%  postgres         [kernel.kallsyms]     [k] futex_wait
     4.06%     0.02%  postgres         [kernel.kallsyms]     [k] ext4_da_write_begin
     3.94%     0.15%  postgres         [kernel.kallsyms]     [k] schedule
     3.74%     0.49%  postgres         [kernel.kallsyms]     [k] __schedule
     3.69%     0.00%  postgres         [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     3.66%     0.03%  postgres         [kernel.kallsyms]     [k] wake_up_q
     3.62%     1.92%  postgres         [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     3.61%     0.01%  postgres         [kernel.kallsyms]     [k] workingset_refault
     3.57%     0.00%  postgres         [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     3.41%     0.46%  postgres         [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     3.26%     0.11%  postgres         [kernel.kallsyms]     [k] futex_wait_queue_me
     3.26%     0.13%  postgres         [kernel.kallsyms]     [k] pagecache_get_page
     3.10%     0.01%  postgres         [kernel.kallsyms]     [k] grab_cache_page_write_begin
     2.86%     2.82%  postgres         [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     2.79%     0.37%  postgres         [kernel.kallsyms]     [k] filemap_map_pages
     2.71%     0.09%  postgres         [kernel.kallsyms]     [k] __alloc_pages
     2.50%     0.00%  postgres         [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     2.49%     0.00%  postgres         [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.39%     0.37%  postgres         [kernel.kallsyms]     [k] get_page_from_freelist
     2.37%     0.04%  postgres         [kernel.kallsyms]     [k] alloc_pages
