# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
    53.33%     0.02%  postgres         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    53.29%     0.01%  postgres         [kernel.kallsyms]    [k] do_syscall_64
    44.67%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_exit_group
    44.67%     0.00%  postgres         [kernel.kallsyms]    [k] do_exit
    44.67%     0.00%  postgres         [kernel.kallsyms]    [k] do_group_exit
    44.63%     0.00%  postgres         [kernel.kallsyms]    [k] exit_mmap
    44.63%     0.00%  postgres         [kernel.kallsyms]    [k] mmput
    42.09%     0.02%  postgres         [kernel.kallsyms]    [k] unmap_vmas
    42.08%     0.00%  postgres         [kernel.kallsyms]    [k] unmap_single_vma
    39.97%    32.05%  postgres         [kernel.kallsyms]    [k] unmap_page_range
    37.38%     0.00%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    37.38%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    37.35%     0.03%  swapper          [kernel.kallsyms]    [k] do_idle
    36.70%     0.00%  swapper          [kernel.kallsyms]    [k] start_secondary
    35.51%     0.00%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    35.51%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    31.70%    31.41%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints.constprop.0
     3.61%     2.43%  postgres         [kernel.kallsyms]    [k] page_remove_rmap
     3.53%     0.03%  postgres         [kernel.kallsyms]    [k] tlb_flush_mmu
     3.45%     0.14%  postgres         [kernel.kallsyms]    [k] free_pages_and_swap_cache
     3.40%     0.01%  postgres         [kernel.kallsyms]    [k] __x64_sys_futex
     3.38%     0.03%  postgres         [kernel.kallsyms]    [k] do_futex
     3.16%     1.31%  postgres         [kernel.kallsyms]    [k] release_pages
     3.12%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     3.11%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     3.03%     0.01%  postgres         [kernel.kallsyms]    [k] schedule
     3.03%     0.76%  postgres         [kernel.kallsyms]    [k] __schedule
     2.84%     0.70%  postgres         [kernel.kallsyms]    [k] futex_wait
     2.63%     2.62%  swapper          [kernel.kallsyms]    [k] poll_idle
     2.62%     0.00%  postgres         [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     2.62%     0.00%  postgres         [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     2.39%     0.00%  postgres         [kernel.kallsyms]    [k] hrtimer_interrupt
     2.39%     0.00%  postgres         [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     2.39%     0.01%  postgres         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.33%     2.07%  postgres         [kernel.kallsyms]    [k] _raw_spin_lock
     2.04%     0.03%  postgres         [kernel.kallsyms]    [k] futex_wait_queue_me
     1.99%     0.00%  postgres         [kernel.kallsyms]    [k] vfs_read
     1.98%     0.00%  postgres         [kernel.kallsyms]    [k] new_sync_read
     1.98%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_file_read_iter
     1.98%     0.01%  postgres         [kernel.kallsyms]    [k] filemap_read
     1.98%     0.00%  postgres         [kernel.kallsyms]    [k] generic_file_read_iter
     1.96%     0.00%  postgres         [kernel.kallsyms]    [k] free_pgtables
     1.94%     0.09%  postgres         [kernel.kallsyms]    [k] free_pgd_range
     1.87%     0.49%  postgres         [kernel.kallsyms]    [k] ___pte_free_tlb
     1.81%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.81%     0.96%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.79%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_pread64
     1.75%     0.17%  postgres         [kernel.kallsyms]    [k] free_unref_page_list
     1.60%     0.01%  postgres         [kernel.kallsyms]    [k] asm_exc_page_fault
     1.59%     0.00%  swapper          [kernel.kallsyms]    [k] schedule_idle
     1.59%     0.06%  postgres         [kernel.kallsyms]    [k] free_unref_page_commit.constprop.0
     1.59%     0.04%  swapper          [kernel.kallsyms]    [k] __schedule
     1.55%     0.00%  postgres         [kernel.kallsyms]    [k] filemap_get_pages
     1.51%     0.22%  postgres         [kernel.kallsyms]    [k] free_pcppages_bulk
     1.49%     0.00%  postgres         [kernel.kallsyms]    [k] exc_page_fault
     1.47%     0.00%  postgres         [kernel.kallsyms]    [k] do_user_addr_fault
     1.45%     0.00%  postgres         [kernel.kallsyms]    [k] handle_mm_fault
     1.45%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_openat
