# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 4927039491892
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    48.03%     0.05%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    47.95%     0.03%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    37.08%     0.01%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    37.08%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    36.85%     0.56%  swapper          [kernel.kallsyms]  [k] do_idle
    36.27%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    34.19%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    34.17%     0.04%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    30.89%    30.55%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    29.73%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    29.73%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    29.73%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    29.71%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    29.71%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    28.13%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    28.13%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    27.52%    21.99%  postgres         [kernel.kallsyms]  [k] unmap_page_range
     7.35%     0.05%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     7.30%     0.10%  postgres         [kernel.kallsyms]  [k] do_futex
     5.61%     0.02%  postgres         [kernel.kallsyms]  [k] vfs_read
     5.19%     0.03%  postgres         [kernel.kallsyms]  [k] new_sync_read
     5.16%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     5.16%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     5.15%     0.07%  postgres         [kernel.kallsyms]  [k] filemap_read
     4.36%     0.32%  postgres         [kernel.kallsyms]  [k] futex_wait
     4.21%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
     3.73%     0.02%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     3.37%     0.02%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
     3.35%     0.11%  postgres         [kernel.kallsyms]  [k] schedule
     3.19%     0.85%  postgres         [kernel.kallsyms]  [k] __schedule
     3.07%     0.07%  postgres         [kernel.kallsyms]  [k] futex_wait_queue_me
     2.89%     0.02%  postgres         [kernel.kallsyms]  [k] page_cache_ra_unbounded
     2.89%     0.01%  postgres         [kernel.kallsyms]  [k] ondemand_readahead
     2.82%     0.18%  postgres         [kernel.kallsyms]  [k] futex_wake
     2.76%     0.00%  postgres         [kernel.kallsyms]  [k] page_cache_sync_ra
     2.69%     2.27%  swapper          [kernel.kallsyms]  [k] poll_idle
     2.63%     0.01%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     2.58%     0.02%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     2.52%     0.22%  postgres         [kernel.kallsyms]  [k] try_to_wake_up
     2.51%     0.00%  kcompactd1       [kernel.kallsyms]  [k] compact_zone
     2.51%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kcompactd
     2.51%     0.00%  kcompactd1       [kernel.kallsyms]  [k] kthread
     2.51%     0.00%  kcompactd1       [kernel.kallsyms]  [k] proactive_compact_node
     2.51%     0.00%  kcompactd1       [kernel.kallsyms]  [k] ret_from_fork
     2.50%     0.01%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     2.49%     0.01%  kcompactd1       [kernel.kallsyms]  [k] migrate_pages
     2.42%     0.05%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     2.35%     0.00%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk
     2.34%     1.71%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
     2.28%     0.17%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     2.28%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     2.28%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     2.28%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     2.28%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     2.27%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     2.26%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     2.21%     0.02%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     2.20%     0.01%  kcompactd1       [kernel.kallsyms]  [k] rmap_walk_file
     2.19%     0.02%  postgres         [kernel.kallsyms]  [k] wake_up_q
     2.18%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.18%     0.02%  postgres         [kernel.kallsyms]  [k] alloc_pages
     2.17%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     2.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     2.03%     0.07%  postgres         [kernel.kallsyms]  [k] free_pages_and_swap_cache
     1.95%     0.02%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     1.92%     0.95%  postgres         [kernel.kallsyms]  [k] release_pages
     1.78%     0.01%  postgres         [kernel.kallsyms]  [k] vfs_write
     1.78%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     1.76%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_write
     1.76%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     1.76%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     1.71%     0.02%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     1.65%     1.35%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.62%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     1.60%     0.00%  postgres         [kernel.kallsyms]  [k] do_try_to_free_pages
     1.60%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_free_pages
     1.60%     0.00%  postgres         [kernel.kallsyms]  [k] shrink_node
     1.48%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate
     1.46%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     1.44%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_read
     1.44%     0.06%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     1.44%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_read
     1.43%     0.01%  postgres         [kernel.kallsyms]  [k] read_pages
     1.40%     1.27%  kcompactd1       [kernel.kallsyms]  [k] page_vma_mapped_walk
     1.39%     1.29%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     1.38%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     1.38%     0.39%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     1.37%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     1.34%     0.13%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate_one
     1.18%     0.01%  swapper          [kernel.kallsyms]  [k] schedule_idle
