# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11311597024933
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
    54.52%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    54.52%     0.01%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    54.35%     0.13%  swapper          [kernel.kallsyms]  [k] do_idle
    53.43%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    51.10%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    51.06%     0.08%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    46.69%    46.07%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    26.45%     0.09%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    26.33%     0.05%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    10.76%     0.04%  postgres         [kernel.kallsyms]  [k] asm_exc_page_fault
    10.40%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_pread64
    10.27%     0.03%  postgres         [kernel.kallsyms]  [k] vfs_read
    10.08%     0.07%  postgres         [kernel.kallsyms]  [k] new_sync_read
    10.01%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
    10.00%     0.01%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     9.98%     0.09%  postgres         [kernel.kallsyms]  [k] filemap_read
     9.75%     0.03%  postgres         [kernel.kallsyms]  [k] exc_page_fault
     9.57%     0.11%  postgres         [kernel.kallsyms]  [k] do_user_addr_fault
     9.18%     0.14%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     8.84%     0.52%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     7.55%     0.05%  postgres         [kernel.kallsyms]  [k] __x64_sys_futex
     7.49%     0.10%  postgres         [kernel.kallsyms]  [k] do_futex
     6.87%     2.18%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     4.95%     0.02%  postgres         [kernel.kallsyms]  [k] vfs_write
     4.92%     0.01%  postgres         [kernel.kallsyms]  [k] new_sync_write
     4.91%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_file_write_iter
     4.90%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_buffered_write_iter
     4.82%     0.03%  postgres         [kernel.kallsyms]  [k] generic_perform_write
     4.17%     0.04%  postgres         [kernel.kallsyms]  [k] filemap_get_pages
     3.99%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     3.99%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     3.99%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     3.99%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     3.98%     0.01%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     3.89%     0.32%  postgres         [kernel.kallsyms]  [k] futex_wake
     3.89%     0.01%  postgres         [kernel.kallsyms]  [k] __do_fault
     3.85%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_pwrite64
     3.81%     0.11%  postgres         [kernel.kallsyms]  [k] __alloc_pages
