# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 50761234243824
#
# Children      Self  Command          Shared Object          Symbol                                          
# ........  ........  ...............  .....................  ................................................
#
    38.79%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    38.79%     0.00%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    38.75%     0.04%  swapper          [kernel.kallsyms]      [k] do_idle
    38.11%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    37.81%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    37.80%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    37.53%    37.52%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    34.92%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    34.30%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    25.32%     0.23%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    18.71%     0.04%  redis-server     [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    18.63%     0.03%  redis-server     [kernel.kallsyms]      [k] do_syscall_64
    14.82%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_readv
    14.69%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
    14.43%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
    14.01%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
    13.45%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
    13.25%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
    13.05%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
    12.98%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_writev
    12.88%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    12.74%     0.39%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
    12.59%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    12.17%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    12.05%     0.02%  redis-server     [kernel.kallsyms]      [k] __x64_sys_write
    12.02%     0.02%  redis-server     [kernel.kallsyms]      [k] ksys_write
    11.92%     0.06%  redis-server     [kernel.kallsyms]      [k] vfs_write
    11.80%     0.03%  redis-server     [kernel.kallsyms]      [k] new_sync_write
    11.77%     0.03%  redis-server     [kernel.kallsyms]      [k] sock_write_iter
    11.73%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_sendmsg
    11.69%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    11.56%     0.16%  redis-server     [kernel.kallsyms]      [k] unix_stream_sendmsg
    11.53%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    11.07%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     8.89%     0.08%  redis-server     [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.71%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.62%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.41%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.29%     0.39%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     7.17%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     6.73%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_pages
     6.71%     0.07%  redis-server     [kernel.kallsyms]      [k] __alloc_pages
     6.06%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_read
     6.04%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_read
     6.01%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     5.98%     0.02%  redis-server     [kernel.kallsyms]      [k] vfs_read
     5.90%     0.02%  redis-server     [kernel.kallsyms]      [k] new_sync_read
     5.89%     0.02%  redis-server     [kernel.kallsyms]      [k] sock_read_iter
     5.86%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_recvmsg
     5.83%     0.04%  redis-server     [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.53%     0.39%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_generic
     5.27%     0.61%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     5.11%     0.06%  redis-server     [kernel.kallsyms]      [k] asm_exc_page_fault
     4.91%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     4.89%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     4.85%     0.25%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     4.72%     0.03%  redis-server     [kernel.kallsyms]      [k] exc_page_fault
     4.57%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] simple_copy_to_iter
     4.54%     0.06%  redis-server     [kernel.kallsyms]      [k] do_user_addr_fault
     4.43%     0.46%  redis-server     [kernel.kallsyms]      [k] get_page_from_freelist
     4.32%     0.08%  redis-server     [kernel.kallsyms]      [k] handle_mm_fault
     3.99%     0.08%  redis-server     [kernel.kallsyms]      [k] consume_skb
     3.92%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     3.82%     3.80%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     3.50%     0.66%  redis-server     [kernel.kallsyms]      [k] __handle_mm_fault
     3.35%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     3.12%     0.35%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     3.06%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __put_page
     3.02%     3.01%  redis-server     [kernel.kallsyms]      [k] clear_page_erms
     3.01%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     2.96%     2.14%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     2.94%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     2.92%     0.48%  memtier_benchma  [kernel.kallsyms]      [k] try_charge_memcg
     2.88%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] kfree
     2.83%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] skb_free_head
     2.82%     0.28%  memtier_benchma  [kernel.kallsyms]      [k] memcg_slab_free_hook
     2.64%     0.03%  redis-server     [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     2.41%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] refill_stock
     2.37%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge
     2.35%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     2.24%     0.00%  redis-server     [kernel.kallsyms]      [k] do_swap_page
     2.22%     0.77%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     2.19%     0.12%  redis-server     [kernel.kallsyms]      [k] __alloc_skb
     2.05%     2.03%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     1.98%     0.92%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.97%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] free_compound_page
     1.91%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
