# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 331K of event 'cycles'
# Event count (approx.): 21195403568036
#
# Children      Self  Command          Shared Object              Symbol                                          
# ........  ........  ...............  .........................  ................................................
#
    37.36%     0.00%  swapper          [kernel.kallsyms]          [k] secondary_startup_64_no_verify
    37.36%     0.00%  swapper          [kernel.kallsyms]          [k] cpu_startup_entry
    37.33%     0.05%  swapper          [kernel.kallsyms]          [k] do_idle
    36.60%     0.00%  swapper          [kernel.kallsyms]          [k] start_secondary
    36.51%     0.00%  swapper          [kernel.kallsyms]          [k] cpuidle_enter
    36.50%     0.02%  swapper          [kernel.kallsyms]          [k] cpuidle_enter_state
    36.24%    36.22%  swapper          [kernel.kallsyms]          [k] mwait_idle_with_hints.constprop.0
    32.26%     0.33%  memtier_benchma  [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
    31.68%     0.19%  memtier_benchma  [kernel.kallsyms]          [k] do_syscall_64
    23.26%     0.23%  memtier_benchma  [kernel.kallsyms]          [k] do_iter_readv_writev
    17.20%     0.04%  redis-server     [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
    17.13%     0.03%  redis-server     [kernel.kallsyms]          [k] do_syscall_64
    14.85%     0.05%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_readv
    14.75%     0.10%  memtier_benchma  [kernel.kallsyms]          [k] do_readv
    14.50%     0.03%  memtier_benchma  [kernel.kallsyms]          [k] vfs_readv
    14.11%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] do_iter_read
    13.55%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] sock_read_iter
    13.37%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] sock_recvmsg
    13.18%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] unix_stream_recvmsg
    12.91%     0.34%  memtier_benchma  [kernel.kallsyms]          [k] unix_stream_read_generic
    11.22%     0.01%  redis-server     [kernel.kallsyms]          [k] __x64_sys_write
    11.20%     0.01%  redis-server     [kernel.kallsyms]          [k] ksys_write
    11.11%     0.06%  redis-server     [kernel.kallsyms]          [k] vfs_write
    10.98%     0.03%  redis-server     [kernel.kallsyms]          [k] new_sync_write
    10.95%     0.04%  redis-server     [kernel.kallsyms]          [k] sock_write_iter
    10.91%     0.01%  redis-server     [kernel.kallsyms]          [k] sock_sendmsg
    10.81%     0.05%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_writev
    10.77%     0.13%  redis-server     [kernel.kallsyms]          [k] unix_stream_sendmsg
    10.69%     0.09%  memtier_benchma  [kernel.kallsyms]          [k] do_writev
    10.42%     0.06%  memtier_benchma  [kernel.kallsyms]          [k] vfs_writev
    10.00%     0.14%  memtier_benchma  [kernel.kallsyms]          [k] do_iter_write
     9.52%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] sock_write_iter
     9.36%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] sock_sendmsg
     9.05%     0.08%  redis-server     [kernel.kallsyms]          [k] asm_exc_page_fault
     8.96%     0.28%  memtier_benchma  [kernel.kallsyms]          [k] unix_stream_sendmsg
     8.61%     0.16%  memtier_benchma  [kernel.kallsyms]          [k] consume_skb
     8.51%     0.04%  redis-server     [kernel.kallsyms]          [k] exc_page_fault
     8.29%     0.09%  redis-server     [kernel.kallsyms]          [k] sock_alloc_send_pskb
     8.22%     0.10%  redis-server     [kernel.kallsyms]          [k] do_user_addr_fault
     8.10%     0.07%  redis-server     [kernel.kallsyms]          [k] alloc_skb_with_frags
     7.90%     0.11%  redis-server     [kernel.kallsyms]          [k] handle_mm_fault
     7.63%     0.11%  memtier_benchma  [kernel.kallsyms]          [k] skb_release_data
     6.86%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] sock_alloc_send_pskb
     6.84%     0.75%  redis-server     [kernel.kallsyms]          [k] __handle_mm_fault
     6.67%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] alloc_skb_with_frags
     6.58%     0.30%  memtier_benchma  [kernel.kallsyms]          [k] __alloc_skb
     6.44%     0.08%  redis-server     [kernel.kallsyms]          [k] __alloc_pages
     6.42%     0.07%  redis-server     [kernel.kallsyms]          [k] alloc_pages
     5.66%     0.02%  redis-server     [kernel.kallsyms]          [k] do_swap_page
     5.40%     0.01%  redis-server     [kernel.kallsyms]          [k] __x64_sys_read
     5.38%     0.01%  redis-server     [kernel.kallsyms]          [k] ksys_read
     5.32%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] __put_page
     5.32%     0.02%  redis-server     [kernel.kallsyms]          [k] vfs_read
     5.23%     0.02%  redis-server     [kernel.kallsyms]          [k] new_sync_read
     5.22%     0.02%  redis-server     [kernel.kallsyms]          [k] sock_read_iter
     5.19%     0.01%  redis-server     [kernel.kallsyms]          [k] sock_recvmsg
     5.16%     0.03%  redis-server     [kernel.kallsyms]          [k] unix_stream_recvmsg
     4.95%     0.33%  redis-server     [kernel.kallsyms]          [k] unix_stream_read_generic
     4.73%     0.43%  redis-server     [kernel.kallsyms]          [k] get_page_from_freelist
     4.18%     0.53%  memtier_benchma  [kernel.kallsyms]          [k] kmem_cache_alloc_node
     4.13%     0.06%  memtier_benchma  [kernel.kallsyms]          [k] free_unref_page
     3.96%     0.06%  memtier_benchma  [kernel.kallsyms]          [k] free_unref_page_commit.constprop.0
     3.89%     0.24%  memtier_benchma  [kernel.kallsyms]          [k] free_pcppages_bulk
     3.78%     0.37%  memtier_benchma  [kernel.kallsyms]          [k] _raw_spin_lock
     3.73%     0.02%  memtier_benchma  [kernel.kallsyms]          [k] unix_stream_read_actor
     3.71%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] skb_copy_datagram_iter
     3.66%     0.22%  memtier_benchma  [kernel.kallsyms]          [k] __skb_datagram_iter
     3.58%     0.07%  redis-server     [kernel.kallsyms]          [k] consume_skb
     3.57%     3.57%  memtier_benchma  [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     3.42%     0.03%  memtier_benchma  [kernel.kallsyms]          [k] simple_copy_to_iter
     3.32%     0.03%  redis-server     [kernel.kallsyms]          [k] workingset_refault
     3.24%     0.00%  redis-server     [kernel.kallsyms]          [k] mem_cgroup_flush_stats
     3.23%     0.00%  redis-server     [kernel.kallsyms]          [k] cgroup_rstat_flush_irqsafe
     3.15%     0.53%  redis-server     [kernel.kallsyms]          [k] cgroup_rstat_flush_locked
     3.06%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] free_compound_page
     2.91%     2.90%  redis-server     [kernel.kallsyms]          [k] clear_page_erms
     2.86%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] obj_cgroup_charge
     2.84%     2.82%  memtier_benchma  [kernel.kallsyms]          [k] copy_user_enhanced_fast_string
     2.72%     0.15%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_epoll_ctl
     2.41%     0.28%  memtier_benchma  [kernel.kallsyms]          [k] refill_obj_stock
     2.37%     0.03%  memtier_benchma  [kernel.kallsyms]          [k] page_counter_uncharge
     2.24%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] kfree
     2.24%     1.76%  memtier_benchma  [kernel.kallsyms]          [k] page_counter_cancel
     2.19%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] skb_free_head
     2.18%     0.20%  memtier_benchma  [kernel.kallsyms]          [k] memcg_slab_free_hook
     2.16%     0.09%  memtier_benchma  [kernel.kallsyms]          [k] obj_cgroup_charge_pages
     2.06%     0.38%  memtier_benchma  [kernel.kallsyms]          [k] try_charge_memcg
     2.03%     0.66%  memtier_benchma  [kernel.kallsyms]          [k] do_epoll_ctl
     1.98%     1.98%  redis-server     [kernel.kallsyms]          [k] mem_cgroup_css_rstat_flush
     1.93%     0.10%  redis-server     [kernel.kallsyms]          [k] __alloc_skb
     1.81%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] obj_cgroup_uncharge
     1.79%     0.98%  redis-server     [kernel.kallsyms]          [k] _raw_spin_lock
     1.69%     0.06%  memtier_benchma  [kernel.kallsyms]          [k] refill_stock
     1.68%     0.05%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_epoll_wait
     1.64%     0.00%  kswapd1          [kernel.kallsyms]          [k] balance_pgdat
     1.64%     0.00%  kswapd1          [kernel.kallsyms]          [k] kswapd
     1.64%     0.00%  kswapd1          [kernel.kallsyms]          [k] kthread
     1.64%     0.00%  kswapd1          [kernel.kallsyms]          [k] ret_from_fork
     1.64%     0.00%  kswapd1          [kernel.kallsyms]          [k] shrink_node
     1.63%     0.03%  memtier_benchma  [kernel.kallsyms]          [k] drain_stock
     1.59%     0.69%  memtier_benchma  [kernel.kallsyms]          [k] __kmalloc_node_track_caller
     1.59%     0.00%  kswapd1          [kernel.kallsyms]          [k] shrink_lruvec
     1.56%     0.23%  redis-server     [kernel.kallsyms]          [k] skb_release_data
     1.51%     0.80%  redis-server     [kernel.kallsyms]          [k] memcg_slab_free_hook
