# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 343K of event 'cycles'
# Event count (approx.): 24922430201920
#
# Children      Self  Command          Shared Object      Symbol                                         
# ........  ........  ...............  .................  ...............................................
#
    36.72%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    36.71%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    36.68%     0.05%  swapper          [kernel.kallsyms]  [k] do_idle
    35.95%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    35.74%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    35.73%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    35.63%     0.39%  memtier_benchma  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    35.46%    35.46%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    34.93%     0.22%  memtier_benchma  [kernel.kallsyms]  [k] do_syscall_64
    25.38%     0.25%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_readv_writev
    20.36%     0.05%  redis-server     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    20.28%     0.03%  redis-server     [kernel.kallsyms]  [k] do_syscall_64
    14.72%     0.08%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_readv
    14.59%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] do_readv
    14.29%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] vfs_readv
    14.03%     0.01%  redis-server     [kernel.kallsyms]  [k] __x64_sys_write
    14.00%     0.01%  redis-server     [kernel.kallsyms]  [k] ksys_write
    13.91%     0.07%  redis-server     [kernel.kallsyms]  [k] vfs_write
    13.85%     0.16%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_read
    13.78%     0.03%  redis-server     [kernel.kallsyms]  [k] new_sync_write
    13.74%     0.04%  redis-server     [kernel.kallsyms]  [k] sock_write_iter
    13.70%     0.01%  redis-server     [kernel.kallsyms]  [k] sock_sendmsg
    13.54%     0.15%  redis-server     [kernel.kallsyms]  [k] unix_stream_sendmsg
    13.36%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_writev
    13.23%     0.15%  memtier_benchma  [kernel.kallsyms]  [k] sock_read_iter
    13.23%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] do_writev
    13.02%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] sock_recvmsg
    12.92%     0.08%  memtier_benchma  [kernel.kallsyms]  [k] vfs_writev
    12.81%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_recvmsg
    12.49%     0.40%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_read_generic
    12.46%     0.15%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_write
    11.95%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] sock_write_iter
    11.77%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] sock_sendmsg
    11.33%     0.35%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_sendmsg
    10.83%     0.10%  redis-server     [kernel.kallsyms]  [k] sock_alloc_send_pskb
    10.63%     0.07%  redis-server     [kernel.kallsyms]  [k] alloc_skb_with_frags
     8.83%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] sock_alloc_send_pskb
     8.62%     0.08%  redis-server     [kernel.kallsyms]  [k] alloc_pages
     8.61%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] alloc_skb_with_frags
     8.53%     0.08%  redis-server     [kernel.kallsyms]  [k] __alloc_pages
     8.49%     0.41%  memtier_benchma  [kernel.kallsyms]  [k] __alloc_skb
     6.96%     0.19%  memtier_benchma  [kernel.kallsyms]  [k] consume_skb
     6.18%     0.58%  redis-server     [kernel.kallsyms]  [k] get_page_from_freelist
     5.81%     0.02%  redis-server     [kernel.kallsyms]  [k] __x64_sys_read
     5.80%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] skb_release_data
     5.78%     0.01%  redis-server     [kernel.kallsyms]  [k] ksys_read
     5.73%     0.02%  redis-server     [kernel.kallsyms]  [k] vfs_read
     5.64%     0.01%  redis-server     [kernel.kallsyms]  [k] new_sync_read
     5.63%     0.02%  redis-server     [kernel.kallsyms]  [k] sock_read_iter
     5.60%     0.01%  redis-server     [kernel.kallsyms]  [k] sock_recvmsg
     5.57%     0.03%  redis-server     [kernel.kallsyms]  [k] unix_stream_recvmsg
     5.32%     0.69%  memtier_benchma  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     5.32%     0.32%  redis-server     [kernel.kallsyms]  [k] unix_stream_read_generic
     5.02%     0.05%  redis-server     [kernel.kallsyms]  [k] asm_exc_page_fault
     4.87%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_read_actor
     4.83%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     4.79%     0.28%  memtier_benchma  [kernel.kallsyms]  [k] __skb_datagram_iter
     4.64%     0.02%  redis-server     [kernel.kallsyms]  [k] exc_page_fault
     4.52%     0.06%  redis-server     [kernel.kallsyms]  [k] do_user_addr_fault
     4.48%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] simple_copy_to_iter
     4.33%     0.08%  redis-server     [kernel.kallsyms]  [k] handle_mm_fault
     4.31%     4.29%  redis-server     [kernel.kallsyms]  [k] clear_page_erms
     3.92%     0.10%  redis-server     [kernel.kallsyms]  [k] consume_skb
     3.92%     0.48%  redis-server     [kernel.kallsyms]  [k] __handle_mm_fault
     3.74%     3.72%  memtier_benchma  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     3.73%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] obj_cgroup_charge
     3.17%     0.00%  redis-server     [kernel.kallsyms]  [k] do_swap_page
     3.08%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] page_counter_uncharge
     3.05%     0.35%  memtier_benchma  [kernel.kallsyms]  [k] refill_obj_stock
     3.05%     0.18%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_epoll_ctl
     2.91%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] __put_page
     2.90%     2.31%  memtier_benchma  [kernel.kallsyms]  [k] page_counter_cancel
     2.88%     0.00%  redis-server     [kernel.kallsyms]  [k] workingset_refault
     2.87%     0.00%  redis-server     [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     2.87%     0.00%  redis-server     [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     2.82%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] obj_cgroup_charge_pages
     2.79%     0.16%  memtier_benchma  [kernel.kallsyms]  [k] kfree
     2.75%     0.60%  redis-server     [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     2.75%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] skb_free_head
     2.74%     0.26%  memtier_benchma  [kernel.kallsyms]  [k] memcg_slab_free_hook
     2.69%     0.50%  memtier_benchma  [kernel.kallsyms]  [k] try_charge_memcg
     2.47%     0.12%  redis-server     [kernel.kallsyms]  [k] __alloc_skb
     2.29%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] obj_cgroup_uncharge
     2.26%     0.77%  memtier_benchma  [kernel.kallsyms]  [k] do_epoll_ctl
     2.20%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] refill_stock
     2.14%     0.91%  memtier_benchma  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     2.13%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] drain_stock
     2.09%     0.70%  redis-server     [kernel.kallsyms]  [k] __memcg_kmem_charge_page
     1.99%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     1.95%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] free_compound_page
     1.73%     0.90%  redis-server     [kernel.kallsyms]  [k] memcg_slab_free_hook
     1.71%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] obj_cgroup_uncharge_pages
     1.71%     1.70%  redis-server     [kernel.kallsyms]  [k] mem_cgroup_css_rstat_flush
     1.67%     0.27%  memtier_benchma  [kernel.kallsyms]  [k] do_epoll_wait
     1.65%     0.18%  redis-server     [kernel.kallsyms]  [k] skb_release_data
     1.54%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     1.51%     1.06%  memtier_benchma  [kernel.kallsyms]  [k] page_counter_try_charge
     1.50%     0.80%  redis-server     [kernel.kallsyms]  [k] obj_cgroup_charge_pages
     1.49%     0.01%  redis-server     [kernel.kallsyms]  [k] __wake_up_sync_key
     1.48%     0.01%  redis-server     [kernel.kallsyms]  [k] skb_free_head
     1.47%     0.07%  redis-server     [kernel.kallsyms]  [k] kfree
     1.47%     0.03%  redis-server     [kernel.kallsyms]  [k] __wake_up_common_lock
     1.42%     0.29%  redis-server     [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     1.40%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] free_unref_page
     1.37%     0.04%  redis-server     [kernel.kallsyms]  [k] skb_copy_datagram_from_iter
     1.34%     1.33%  memtier_benchma  [kernel.kallsyms]  [k] propagate_protected_usage
     1.30%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] uncharge_batch
