# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 25143269676548
#
# Children      Self  Command          Shared Object          Symbol                                          
# ........  ........  ...............  .....................  ................................................
#
    36.40%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    36.40%     0.00%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    36.37%     0.04%  swapper          [kernel.kallsyms]      [k] do_idle
    35.68%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    35.52%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    35.51%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    35.26%    35.25%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    33.08%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    32.50%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    24.15%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    17.79%     0.04%  redis-server     [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    17.72%     0.03%  redis-server     [kernel.kallsyms]      [k] do_syscall_64
    13.83%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_readv
    13.72%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
    13.49%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
    13.09%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
    12.64%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_writev
    12.54%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
    12.53%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    12.35%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
    12.28%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    12.17%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
    11.90%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    11.89%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
    11.65%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_write
    11.62%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_write
    11.53%     0.05%  redis-server     [kernel.kallsyms]      [k] vfs_write
    11.44%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    11.42%     0.03%  redis-server     [kernel.kallsyms]      [k] new_sync_write
    11.39%     0.03%  redis-server     [kernel.kallsyms]      [k] sock_write_iter
    11.35%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_sendmsg
    11.28%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    11.21%     0.15%  redis-server     [kernel.kallsyms]      [k] unix_stream_sendmsg
    10.88%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     9.66%     0.07%  redis-server     [kernel.kallsyms]      [k] asm_exc_page_fault
