# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 25690489329285
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
    37.13%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    37.12%     0.00%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    37.08%     0.04%  swapper          [kernel.kallsyms]      [k] do_idle
    36.34%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    36.15%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    36.14%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    35.90%    35.90%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    34.24%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    33.65%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    25.12%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    19.45%     0.03%  redis-server     [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    19.39%     0.02%  redis-server     [kernel.kallsyms]      [k] do_syscall_64
    15.00%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_readv
    14.88%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
    14.64%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
    14.27%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
    13.74%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
    13.56%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
    13.38%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
    13.09%     0.37%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
    13.06%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_write
    13.04%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_write
    12.94%     0.06%  redis-server     [kernel.kallsyms]      [k] vfs_write
    12.83%     0.03%  redis-server     [kernel.kallsyms]      [k] new_sync_write
    12.79%     0.03%  redis-server     [kernel.kallsyms]      [k] sock_write_iter
    12.76%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_sendmsg
    12.59%     0.16%  redis-server     [kernel.kallsyms]      [k] unix_stream_sendmsg
    12.42%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_writev
    12.31%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    12.06%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    11.68%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    11.23%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    11.07%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    10.66%     0.29%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
    10.00%     0.10%  redis-server     [kernel.kallsyms]      [k] sock_alloc_send_pskb
     9.79%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.39%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.18%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.05%     0.07%  redis-server     [kernel.kallsyms]      [k] __alloc_pages
     8.05%     0.38%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     7.75%     0.07%  redis-server     [kernel.kallsyms]      [k] alloc_pages
     7.19%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     6.55%     0.02%  redis-server     [kernel.kallsyms]      [k] asm_exc_page_fault
     6.41%     0.01%  redis-server     [kernel.kallsyms]      [k] exc_page_fault
     6.33%     0.02%  redis-server     [kernel.kallsyms]      [k] do_user_addr_fault
     6.23%     0.04%  redis-server     [kernel.kallsyms]      [k] handle_mm_fault
     6.06%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     5.90%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_read
     5.88%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_read
     5.83%     0.02%  redis-server     [kernel.kallsyms]      [k] vfs_read
     5.80%     0.27%  redis-server     [kernel.kallsyms]      [k] __handle_mm_fault
     5.75%     0.01%  redis-server     [kernel.kallsyms]      [k] new_sync_read
     5.73%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_read_iter
     5.71%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_recvmsg
     5.69%     0.03%  redis-server     [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.40%     0.38%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_generic
     5.26%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     5.24%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     5.22%     0.48%  redis-server     [kernel.kallsyms]      [k] get_page_from_freelist
