# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 343K of event 'cycles'
# Event count (approx.): 24543409034908
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    36.76%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    36.75%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    36.72%     0.05%  swapper          [kernel.kallsyms]  [k] do_idle
    36.05%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    35.80%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    35.79%     0.02%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    35.54%    35.54%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    35.40%     0.38%  memtier_benchma  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    34.72%     0.21%  memtier_benchma  [kernel.kallsyms]  [k] do_syscall_64
    25.29%     0.26%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_readv_writev
    19.09%     0.04%  redis-server     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    19.03%     0.02%  redis-server     [kernel.kallsyms]  [k] do_syscall_64
    14.98%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_readv
    14.85%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] do_readv
    14.58%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] vfs_readv
    14.11%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_read
    13.49%     0.15%  memtier_benchma  [kernel.kallsyms]  [k] sock_read_iter
    13.28%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] sock_recvmsg
    13.08%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_recvmsg
    12.96%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_writev
    12.83%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] do_writev
    12.75%     0.38%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_read_generic
    12.55%     0.08%  memtier_benchma  [kernel.kallsyms]  [k] vfs_writev
    12.53%     0.01%  redis-server     [kernel.kallsyms]  [k] __x64_sys_write
    12.50%     0.02%  redis-server     [kernel.kallsyms]  [k] ksys_write
    12.39%     0.07%  redis-server     [kernel.kallsyms]  [k] vfs_write
    12.25%     0.03%  redis-server     [kernel.kallsyms]  [k] new_sync_write
    12.22%     0.03%  redis-server     [kernel.kallsyms]  [k] sock_write_iter
    12.17%     0.01%  redis-server     [kernel.kallsyms]  [k] sock_sendmsg
    12.11%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_write
    12.01%     0.15%  redis-server     [kernel.kallsyms]  [k] unix_stream_sendmsg
    11.59%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] sock_write_iter
    11.42%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] sock_sendmsg
    10.95%     0.32%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_sendmsg
     9.22%     0.09%  redis-server     [kernel.kallsyms]  [k] sock_alloc_send_pskb
     9.04%     0.06%  redis-server     [kernel.kallsyms]  [k] alloc_skb_with_frags
     8.48%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] sock_alloc_send_pskb
     8.26%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] alloc_skb_with_frags
     8.13%     0.38%  memtier_benchma  [kernel.kallsyms]  [k] __alloc_skb
     7.14%     0.20%  memtier_benchma  [kernel.kallsyms]  [k] consume_skb
     7.02%     0.07%  redis-server     [kernel.kallsyms]  [k] alloc_pages
     7.01%     0.08%  redis-server     [kernel.kallsyms]  [k] __alloc_pages
     6.05%     0.01%  redis-server     [kernel.kallsyms]  [k] __x64_sys_read
     6.04%     0.00%  redis-server     [kernel.kallsyms]  [k] ksys_read
     6.01%     0.14%  memtier_benchma  [kernel.kallsyms]  [k] skb_release_data
     5.97%     0.02%  redis-server     [kernel.kallsyms]  [k] vfs_read
     5.89%     0.02%  redis-server     [kernel.kallsyms]  [k] new_sync_read
     5.88%     0.02%  redis-server     [kernel.kallsyms]  [k] sock_read_iter
     5.85%     0.01%  redis-server     [kernel.kallsyms]  [k] sock_recvmsg
     5.82%     0.03%  redis-server     [kernel.kallsyms]  [k] unix_stream_recvmsg
     5.77%     0.03%  redis-server     [kernel.kallsyms]  [k] asm_exc_page_fault
     5.61%     0.01%  redis-server     [kernel.kallsyms]  [k] exc_page_fault
     5.55%     0.37%  redis-server     [kernel.kallsyms]  [k] unix_stream_read_generic
     5.54%     0.03%  redis-server     [kernel.kallsyms]  [k] do_user_addr_fault
     5.44%     0.03%  redis-server     [kernel.kallsyms]  [k] handle_mm_fault
     5.14%     0.65%  memtier_benchma  [kernel.kallsyms]  [k] kmem_cache_alloc_node
