# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 343K of event 'cycles'
# Event count (approx.): 23139618858275
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    38.04%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    38.03%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    38.00%     0.06%  swapper          [kernel.kallsyms]  [k] do_idle
    37.31%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    37.07%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    37.06%     0.03%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    36.77%    36.77%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    36.60%     0.41%  memtier_benchma  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    35.87%     0.22%  memtier_benchma  [kernel.kallsyms]  [k] do_syscall_64
    25.53%     0.27%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_readv_writev
    18.56%     0.05%  redis-server     [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    18.48%     0.04%  redis-server     [kernel.kallsyms]  [k] do_syscall_64
    14.95%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_readv
    14.83%     0.14%  memtier_benchma  [kernel.kallsyms]  [k] do_readv
    14.46%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] vfs_readv
    13.98%     0.17%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_read
    13.56%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_writev
    13.42%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] do_writev
    13.31%     0.19%  memtier_benchma  [kernel.kallsyms]  [k] sock_read_iter
    13.07%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] vfs_writev
    13.06%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] sock_recvmsg
    12.80%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_recvmsg
    12.60%     0.14%  memtier_benchma  [kernel.kallsyms]  [k] do_iter_write
    12.48%     0.40%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_read_generic
    12.02%     0.16%  memtier_benchma  [kernel.kallsyms]  [k] sock_write_iter
    11.79%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] sock_sendmsg
    11.69%     0.02%  redis-server     [kernel.kallsyms]  [k] __x64_sys_write
    11.66%     0.02%  redis-server     [kernel.kallsyms]  [k] ksys_write
    11.55%     0.07%  redis-server     [kernel.kallsyms]  [k] vfs_write
    11.40%     0.04%  redis-server     [kernel.kallsyms]  [k] new_sync_write
    11.36%     0.05%  redis-server     [kernel.kallsyms]  [k] sock_write_iter
    11.31%     0.01%  redis-server     [kernel.kallsyms]  [k] sock_sendmsg
    11.26%     0.38%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_sendmsg
    11.12%     0.16%  redis-server     [kernel.kallsyms]  [k] unix_stream_sendmsg
     8.58%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] sock_alloc_send_pskb
     8.34%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] alloc_skb_with_frags
     8.25%     0.08%  redis-server     [kernel.kallsyms]  [k] sock_alloc_send_pskb
     8.23%     0.39%  memtier_benchma  [kernel.kallsyms]  [k] __alloc_skb
     8.07%     0.06%  redis-server     [kernel.kallsyms]  [k] alloc_skb_with_frags
     7.12%     0.20%  memtier_benchma  [kernel.kallsyms]  [k] consume_skb
     6.27%     0.01%  redis-server     [kernel.kallsyms]  [k] __x64_sys_read
     6.25%     0.01%  redis-server     [kernel.kallsyms]  [k] ksys_read
     6.22%     0.08%  redis-server     [kernel.kallsyms]  [k] alloc_pages
     6.20%     0.08%  redis-server     [kernel.kallsyms]  [k] __alloc_pages
     6.18%     0.02%  redis-server     [kernel.kallsyms]  [k] vfs_read
     6.08%     0.01%  redis-server     [kernel.kallsyms]  [k] new_sync_read
     6.07%     0.02%  redis-server     [kernel.kallsyms]  [k] sock_read_iter
     6.04%     0.01%  redis-server     [kernel.kallsyms]  [k] sock_recvmsg
     6.03%     0.18%  memtier_benchma  [kernel.kallsyms]  [k] skb_release_data
     6.01%     0.04%  redis-server     [kernel.kallsyms]  [k] unix_stream_recvmsg
     5.76%     0.38%  redis-server     [kernel.kallsyms]  [k] unix_stream_read_generic
     5.29%     0.73%  memtier_benchma  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     4.67%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] unix_stream_read_actor
     4.65%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     4.59%     0.30%  memtier_benchma  [kernel.kallsyms]  [k] __skb_datagram_iter
     4.45%     0.44%  redis-server     [kernel.kallsyms]  [k] get_page_from_freelist
     4.27%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] simple_copy_to_iter
     4.15%     0.09%  redis-server     [kernel.kallsyms]  [k] consume_skb
     3.65%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] obj_cgroup_charge
     3.59%     0.07%  redis-server     [kernel.kallsyms]  [k] asm_exc_page_fault
     3.51%     3.48%  memtier_benchma  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     3.37%     0.21%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_epoll_ctl
     3.21%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] __put_page
     3.20%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] page_counter_uncharge
     3.16%     0.02%  redis-server     [kernel.kallsyms]  [k] exc_page_fault
     3.14%     3.13%  redis-server     [kernel.kallsyms]  [k] clear_page_erms
     3.05%     2.39%  memtier_benchma  [kernel.kallsyms]  [k] page_counter_cancel
     2.98%     0.08%  redis-server     [kernel.kallsyms]  [k] do_user_addr_fault
