# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 49246729955078
#
# Children      Self  Command          Shared Object          Symbol                                                   
# ........  ........  ...............  .....................  .........................................................
#
    39.02%     0.42%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    38.28%     0.23%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    36.54%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    36.54%     0.00%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    36.50%     0.05%  swapper          [kernel.kallsyms]      [k] do_idle
    35.87%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    35.59%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    35.58%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    35.30%    35.30%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    27.80%     0.26%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    18.68%     0.05%  redis-server     [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    18.60%     0.03%  redis-server     [kernel.kallsyms]      [k] do_syscall_64
    15.84%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_readv
    15.72%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
    15.38%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
    15.00%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_writev
    14.89%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
    14.86%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    14.50%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    14.21%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
    14.02%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    13.97%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
    13.74%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
    13.41%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    13.37%     0.40%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
    13.18%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    12.66%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
    11.81%     0.02%  redis-server     [kernel.kallsyms]      [k] __x64_sys_write
    11.77%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_write
    11.65%     0.07%  redis-server     [kernel.kallsyms]      [k] vfs_write
    11.51%     0.04%  redis-server     [kernel.kallsyms]      [k] new_sync_write
    11.47%     0.04%  redis-server     [kernel.kallsyms]      [k] sock_write_iter
    11.41%     0.02%  redis-server     [kernel.kallsyms]      [k] sock_sendmsg
    11.23%     0.15%  redis-server     [kernel.kallsyms]      [k] unix_stream_sendmsg
    10.00%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     9.77%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     9.64%     0.40%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     8.34%     0.08%  redis-server     [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.16%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.07%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     6.93%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     6.55%     0.76%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     6.29%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_read
     6.26%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_read
     6.25%     0.07%  redis-server     [kernel.kallsyms]      [k] alloc_pages
     6.19%     0.08%  redis-server     [kernel.kallsyms]      [k] __alloc_pages
     6.19%     0.02%  redis-server     [kernel.kallsyms]      [k] vfs_read
     6.10%     0.02%  redis-server     [kernel.kallsyms]      [k] new_sync_read
     6.08%     0.02%  redis-server     [kernel.kallsyms]      [k] sock_read_iter
     6.05%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_recvmsg
     6.02%     0.03%  redis-server     [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.74%     0.39%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_generic
     4.97%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     4.61%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     4.58%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
