# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 23811225081354
#
# Children      Self  Command          Shared Object          Symbol                                             
# ........  ........  ...............  .....................  ...................................................
#
    37.22%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    37.22%     0.00%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    37.18%     0.04%  swapper          [kernel.kallsyms]      [k] do_idle
    36.52%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    36.30%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    36.29%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    36.03%    35.96%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    34.24%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    33.63%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    25.06%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    18.32%     0.04%  redis-server     [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    18.25%     0.03%  redis-server     [kernel.kallsyms]      [k] do_syscall_64
    15.53%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_readv
    15.42%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
    15.15%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
    14.76%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
    14.23%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
    14.03%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
    13.82%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
    13.53%     0.38%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
    11.93%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_writev
    11.93%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_write
    11.90%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_write
    11.82%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    11.80%     0.06%  redis-server     [kernel.kallsyms]      [k] vfs_write
    11.68%     0.04%  redis-server     [kernel.kallsyms]      [k] new_sync_write
    11.64%     0.03%  redis-server     [kernel.kallsyms]      [k] sock_write_iter
    11.60%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_sendmsg
    11.54%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    11.44%     0.16%  redis-server     [kernel.kallsyms]      [k] unix_stream_sendmsg
    11.16%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    10.68%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    10.50%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    10.05%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     8.80%     0.08%  redis-server     [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.63%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.41%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     7.76%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     7.57%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     7.45%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     7.41%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     6.95%     0.07%  redis-server     [kernel.kallsyms]      [k] __alloc_pages
     6.82%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_pages
     6.21%     0.08%  redis-server     [kernel.kallsyms]      [k] asm_exc_page_fault
     5.76%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_read
     5.75%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_read
     5.70%     0.04%  redis-server     [kernel.kallsyms]      [k] exc_page_fault
     5.68%     0.02%  redis-server     [kernel.kallsyms]      [k] vfs_read
     5.60%     0.02%  redis-server     [kernel.kallsyms]      [k] new_sync_read
     5.59%     0.02%  redis-server     [kernel.kallsyms]      [k] sock_read_iter
     5.56%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_recvmsg
     5.53%     0.04%  redis-server     [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.45%     0.08%  redis-server     [kernel.kallsyms]      [k] do_user_addr_fault
     5.26%     0.38%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_generic
     5.16%     0.13%  redis-server     [kernel.kallsyms]      [k] handle_mm_fault
     5.11%     0.46%  redis-server     [kernel.kallsyms]      [k] get_page_from_freelist
     4.76%     0.56%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     4.69%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __put_page
     4.49%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     4.47%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     4.42%     0.26%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     4.27%     0.77%  redis-server     [kernel.kallsyms]      [k] __handle_mm_fault
     4.14%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] simple_copy_to_iter
