# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 26161556673991
#
# Children      Self  Command          Shared Object        Symbol                                          
# ........  ........  ...............  ...................  ................................................
#
    41.19%     0.42%  memtier_benchma  [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    40.47%     0.24%  memtier_benchma  [kernel.kallsyms]    [k] do_syscall_64
    32.99%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    32.99%     0.00%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    32.96%     0.05%  swapper          [kernel.kallsyms]    [k] do_idle
    32.34%     0.00%  swapper          [kernel.kallsyms]    [k] start_secondary
    32.06%     0.00%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    32.05%     0.02%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    31.79%    31.79%  swapper          [kernel.kallsyms]    [k] mwait_idle_with_hints.constprop.0
    29.82%     0.27%  memtier_benchma  [kernel.kallsyms]    [k] do_iter_readv_writev
    19.39%     0.05%  redis-server     [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    19.31%     0.03%  redis-server     [kernel.kallsyms]    [k] do_syscall_64
    16.84%     0.07%  memtier_benchma  [kernel.kallsyms]    [k] __x64_sys_readv
    16.72%     0.13%  memtier_benchma  [kernel.kallsyms]    [k] do_readv
    16.40%     0.04%  memtier_benchma  [kernel.kallsyms]    [k] vfs_readv
    15.99%     0.07%  memtier_benchma  [kernel.kallsyms]    [k] __x64_sys_writev
    15.91%     0.17%  memtier_benchma  [kernel.kallsyms]    [k] do_iter_read
    15.84%     0.12%  memtier_benchma  [kernel.kallsyms]    [k] do_writev
    15.50%     0.08%  memtier_benchma  [kernel.kallsyms]    [k] vfs_writev
    15.23%     0.19%  memtier_benchma  [kernel.kallsyms]    [k] sock_read_iter
    15.02%     0.16%  memtier_benchma  [kernel.kallsyms]    [k] do_iter_write
    14.98%     0.06%  memtier_benchma  [kernel.kallsyms]    [k] sock_recvmsg
    14.78%     0.10%  memtier_benchma  [kernel.kallsyms]    [k] unix_stream_recvmsg
    14.39%     0.16%  memtier_benchma  [kernel.kallsyms]    [k] sock_write_iter
    14.39%     0.41%  memtier_benchma  [kernel.kallsyms]    [k] unix_stream_read_generic
    14.17%     0.06%  memtier_benchma  [kernel.kallsyms]    [k] sock_sendmsg
    13.65%     0.37%  memtier_benchma  [kernel.kallsyms]    [k] unix_stream_sendmsg
    12.33%     0.02%  redis-server     [kernel.kallsyms]    [k] __x64_sys_write
    12.29%     0.02%  redis-server     [kernel.kallsyms]    [k] ksys_write
    12.18%     0.08%  redis-server     [kernel.kallsyms]    [k] vfs_write
    12.02%     0.05%  redis-server     [kernel.kallsyms]    [k] new_sync_write
    11.97%     0.04%  redis-server     [kernel.kallsyms]    [k] sock_write_iter
    11.92%     0.01%  redis-server     [kernel.kallsyms]    [k] sock_sendmsg
    11.74%     0.15%  redis-server     [kernel.kallsyms]    [k] unix_stream_sendmsg
    10.93%     0.07%  memtier_benchma  [kernel.kallsyms]    [k] sock_alloc_send_pskb
    10.68%     0.05%  memtier_benchma  [kernel.kallsyms]    [k] alloc_skb_with_frags
    10.56%     0.42%  memtier_benchma  [kernel.kallsyms]    [k] __alloc_skb
     8.75%     0.08%  redis-server     [kernel.kallsyms]    [k] sock_alloc_send_pskb
     8.72%     0.22%  memtier_benchma  [kernel.kallsyms]    [k] consume_skb
     8.57%     0.07%  redis-server     [kernel.kallsyms]    [k] alloc_skb_with_frags
     7.56%     0.18%  memtier_benchma  [kernel.kallsyms]    [k] skb_release_data
     7.29%     0.81%  memtier_benchma  [kernel.kallsyms]    [k] kmem_cache_alloc_node
     6.61%     0.09%  redis-server     [kernel.kallsyms]    [k] __alloc_pages
     6.56%     0.07%  redis-server     [kernel.kallsyms]    [k] alloc_pages
     6.55%     0.01%  redis-server     [kernel.kallsyms]    [k] __x64_sys_read
     6.52%     0.01%  redis-server     [kernel.kallsyms]    [k] ksys_read
     6.45%     0.02%  redis-server     [kernel.kallsyms]    [k] vfs_read
     6.35%     0.02%  redis-server     [kernel.kallsyms]    [k] new_sync_read
     6.34%     0.02%  redis-server     [kernel.kallsyms]    [k] sock_read_iter
     6.31%     0.01%  redis-server     [kernel.kallsyms]    [k] sock_recvmsg
     6.27%     0.03%  redis-server     [kernel.kallsyms]    [k] unix_stream_recvmsg
     5.99%     0.41%  redis-server     [kernel.kallsyms]    [k] unix_stream_read_generic
     5.71%     0.10%  memtier_benchma  [kernel.kallsyms]    [k] obj_cgroup_charge
     5.13%     0.04%  memtier_benchma  [kernel.kallsyms]    [k] page_counter_uncharge
     4.96%     0.03%  memtier_benchma  [kernel.kallsyms]    [k] unix_stream_read_actor
     4.93%     0.05%  memtier_benchma  [kernel.kallsyms]    [k] skb_copy_datagram_iter
     4.88%     0.33%  memtier_benchma  [kernel.kallsyms]    [k] __skb_datagram_iter
     4.77%     0.40%  redis-server     [kernel.kallsyms]    [k] get_page_from_freelist
     4.59%     0.07%  memtier_benchma  [kernel.kallsyms]    [k] obj_cgroup_charge_pages
     4.53%     0.04%  memtier_benchma  [kernel.kallsyms]    [k] simple_copy_to_iter
     4.52%     0.78%  memtier_benchma  [kernel.kallsyms]    [k] try_charge_memcg
     4.37%     2.98%  memtier_benchma  [kernel.kallsyms]    [k] page_counter_cancel
     4.35%     0.10%  redis-server     [kernel.kallsyms]    [k] consume_skb
     4.23%     0.44%  memtier_benchma  [kernel.kallsyms]    [k] refill_obj_stock
     3.74%     3.71%  memtier_benchma  [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
     3.72%     0.17%  memtier_benchma  [kernel.kallsyms]    [k] kfree
     3.70%     0.02%  memtier_benchma  [kernel.kallsyms]    [k] __put_page
     3.67%     0.01%  memtier_benchma  [kernel.kallsyms]    [k] skb_free_head
     3.66%     0.04%  memtier_benchma  [kernel.kallsyms]    [k] refill_stock
     3.63%     0.26%  memtier_benchma  [kernel.kallsyms]    [k] memcg_slab_free_hook
     3.61%     3.60%  memtier_benchma  [kernel.kallsyms]    [k] propagate_protected_usage
     3.60%     0.02%  memtier_benchma  [kernel.kallsyms]    [k] drain_stock
     3.58%     0.19%  memtier_benchma  [kernel.kallsyms]    [k] __x64_sys_epoll_ctl
     3.47%     3.46%  redis-server     [kernel.kallsyms]    [k] clear_page_erms
     3.24%     0.00%  memtier_benchma  [kernel.kallsyms]    [k] obj_cgroup_uncharge
     3.23%     0.02%  redis-server     [kernel.kallsyms]    [k] asm_exc_page_fault
     3.15%     0.01%  redis-server     [kernel.kallsyms]    [k] exc_page_fault
     3.11%     0.01%  redis-server     [kernel.kallsyms]    [k] do_user_addr_fault
     3.05%     0.03%  redis-server     [kernel.kallsyms]    [k] handle_mm_fault
