# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 26468857536557
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
    43.09%     0.42%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    42.35%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] do_syscall_64
    31.36%     0.27%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_readv_writev
    30.90%     0.00%  swapper          [kernel.kallsyms]      [k] secondary_startup_64_no_verify
    30.90%     0.00%  swapper          [kernel.kallsyms]      [k] cpu_startup_entry
    30.86%     0.05%  swapper          [kernel.kallsyms]      [k] do_idle
    30.32%     0.00%  swapper          [kernel.kallsyms]      [k] start_secondary
    29.99%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
    29.98%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
    29.72%    29.72%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints.constprop.0
    19.56%     0.05%  redis-server     [kernel.kallsyms]      [k] entry_SYSCALL_64_after_hwframe
    19.48%     0.03%  redis-server     [kernel.kallsyms]      [k] do_syscall_64
    17.44%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_readv
    17.30%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
    17.08%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_writev
    16.96%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
    16.93%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] do_writev
    16.57%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] vfs_writev
    16.44%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
    16.06%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
    15.75%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
    15.51%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_recvmsg
    15.41%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
    15.23%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
    15.18%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
    14.86%     0.44%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
    14.63%     0.39%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
    12.23%     0.02%  redis-server     [kernel.kallsyms]      [k] __x64_sys_write
    12.20%     0.02%  redis-server     [kernel.kallsyms]      [k] ksys_write
    12.07%     0.08%  redis-server     [kernel.kallsyms]      [k] vfs_write
    11.91%     0.04%  redis-server     [kernel.kallsyms]      [k] new_sync_write
    11.87%     0.05%  redis-server     [kernel.kallsyms]      [k] sock_write_iter
    11.82%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
    11.81%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_sendmsg
    11.62%     0.16%  redis-server     [kernel.kallsyms]      [k] unix_stream_sendmsg
    11.56%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
    11.45%     0.40%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     9.19%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     8.52%     0.08%  redis-server     [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.34%     0.07%  redis-server     [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.16%     0.90%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     7.99%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     6.82%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_read
     6.80%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_read
     6.72%     0.02%  redis-server     [kernel.kallsyms]      [k] vfs_read
     6.62%     0.02%  redis-server     [kernel.kallsyms]      [k] new_sync_read
     6.60%     0.02%  redis-server     [kernel.kallsyms]      [k] sock_read_iter
     6.58%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_recvmsg
     6.54%     0.03%  redis-server     [kernel.kallsyms]      [k] unix_stream_recvmsg
     6.38%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     6.36%     0.08%  redis-server     [kernel.kallsyms]      [k] __alloc_pages
     6.32%     0.07%  redis-server     [kernel.kallsyms]      [k] alloc_pages
     6.26%     0.42%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_generic
     5.69%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     5.15%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     5.07%     0.89%  memtier_benchma  [kernel.kallsyms]      [k] try_charge_memcg
     4.92%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     4.90%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     4.85%     3.29%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     4.84%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     4.72%     0.51%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     4.57%     0.10%  redis-server     [kernel.kallsyms]      [k] consume_skb
     4.56%     0.39%  redis-server     [kernel.kallsyms]      [k] get_page_from_freelist
     4.48%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] simple_copy_to_iter
     4.08%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] refill_stock
     4.07%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] kfree
     4.03%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_free_head
     4.02%     4.01%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     4.02%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     4.00%     0.25%  memtier_benchma  [kernel.kallsyms]      [k] memcg_slab_free_hook
     3.76%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __put_page
     3.67%     3.64%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     3.66%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     3.61%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge
     3.34%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     3.33%     3.32%  redis-server     [kernel.kallsyms]      [k] clear_page_erms
     3.18%     0.01%  redis-server     [kernel.kallsyms]      [k] asm_exc_page_fault
     3.13%     0.01%  redis-server     [kernel.kallsyms]      [k] exc_page_fault
     3.10%     0.01%  redis-server     [kernel.kallsyms]      [k] do_user_addr_fault
     3.06%     0.02%  redis-server     [kernel.kallsyms]      [k] handle_mm_fault
     3.05%     1.71%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_try_charge
     2.94%     0.11%  redis-server     [kernel.kallsyms]      [k] __handle_mm_fault
     2.75%     0.91%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     2.57%     0.01%  redis-server     [kernel.kallsyms]      [k] do_swap_page
     2.29%     1.03%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     2.22%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] free_compound_page
     2.12%     0.12%  redis-server     [kernel.kallsyms]      [k] __alloc_skb
     2.10%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     2.04%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __mem_cgroup_uncharge
     1.99%     1.28%  redis-server     [kernel.kallsyms]      [k] memcg_slab_free_hook
     1.95%     0.27%  redis-server     [kernel.kallsyms]      [k] skb_release_data
     1.83%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] uncharge_batch
     1.74%     0.27%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_wait
     1.72%     0.01%  redis-server     [kernel.kallsyms]      [k] __wake_up_sync_key
     1.71%     0.05%  redis-server     [kernel.kallsyms]      [k] __wake_up_common_lock
     1.70%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page
     1.69%     0.01%  redis-server     [kernel.kallsyms]      [k] skb_free_head
     1.68%     0.07%  redis-server     [kernel.kallsyms]      [k] kfree
     1.60%     0.06%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     1.56%     0.47%  redis-server     [kernel.kallsyms]      [k] __memcg_kmem_charge_page
     1.49%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     1.44%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] __fget_light
     1.43%     1.41%  memtier_benchma  [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     1.42%     0.08%  redis-server     [kernel.kallsyms]      [k] __wake_up_common
     1.41%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] free_pcppages_bulk
     1.41%     1.39%  redis-server     [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     1.34%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_sync_key
     1.33%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common_lock
     1.32%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] sock_def_readable
     1.31%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_readpage
     1.30%     0.64%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     1.30%     0.14%  redis-server     [kernel.kallsyms]      [k] kmem_cache_free
     1.30%     0.01%  redis-server     [kernel.kallsyms]      [k] kfree_skbmem
     1.25%     0.60%  memtier_benchma  [kernel.kallsyms]      [k] __check_object_size
     1.24%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_ioctl
     1.23%     0.54%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock
     1.22%     0.22%  redis-server     [kernel.kallsyms]      [k] ep_poll_callback
     1.22%     1.19%  memtier_benchma  [kernel.kallsyms]      [k] __fget_files
     1.22%     0.00%  redis-server     [kernel.kallsyms]      [k] bdev_read_page
     1.21%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_release_head_state
     1.21%     0.01%  redis-server     [kernel.kallsyms]      [k] zram_rw_page
     1.19%     0.04%  redis-server     [kernel.kallsyms]      [k] unix_destruct_scm
     1.18%     0.01%  redis-server     [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     1.18%     0.07%  redis-server     [kernel.kallsyms]      [k] sock_def_readable
     1.17%     0.04%  redis-server     [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     1.15%     0.40%  redis-server     [kernel.kallsyms]      [k] sock_wfree
     1.09%     0.48%  memtier_benchma  [kernel.kallsyms]      [k] __entry_text_start
