# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 857K of event 'cycles'
# Event count (approx.): 1636739519276
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                     
# ........  ........  ...............  ...................................  ...........................................................................................................................................................
#
    38.31%     0.11%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    37.64%     0.08%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    33.25%     0.46%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    32.49%     0.83%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    28.58%     0.59%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    27.99%     0.06%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    26.89%     0.08%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    25.48%     0.11%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    25.33%     1.11%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.34%     0.81%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    17.01%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    16.97%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    11.27%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    11.13%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.96%     0.06%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    10.86%     0.17%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.11%     1.08%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.52%     0.70%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.83%     3.10%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.55%     0.04%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
