# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3262250526457
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                             
# ........  ........  ...............  ..................................  ...................................................................................................................................................................................................................
#
    48.73%     0.06%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    48.68%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    36.72%     0.04%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    36.46%     0.07%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    36.12%     0.13%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    35.91%     0.50%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    26.57%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    26.21%     0.07%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    25.54%    24.73%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    23.87%     0.35%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    23.42%     0.57%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.93%     0.08%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    22.85%     0.13%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    20.66%     0.45%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    20.21%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    19.26%     0.08%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    18.12%     0.09%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.90%     0.75%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    13.17%     0.59%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    12.11%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    10.75%     0.20%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.95%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.88%     0.08%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.78%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.74%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     9.09%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     5.84%     0.05%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     5.83%     0.82%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.32%     0.58%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     5.01%     0.39%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     4.74%     2.39%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.34%     0.52%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     3.98%     0.22%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     3.88%     0.03%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     3.77%     0.09%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_begin
     3.74%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     3.66%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     3.45%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     3.41%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     3.36%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     3.01%     0.05%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     2.98%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.98%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.98%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.97%     0.10%  Executor task l  [kernel.kallsyms]                   [k] copy_page_from_iter_atomic
     2.97%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.97%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.96%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     2.79%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     2.72%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     2.50%     0.04%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     2.24%     0.13%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     2.18%     0.97%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.04%     0.24%  Executor task l  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.99%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     1.98%     0.31%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     1.85%     0.07%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_end
     1.84%     1.84%  Executor task l  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath.part.0
     1.66%     0.01%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     1.65%     1.60%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     1.63%     0.80%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.62%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __mark_inode_dirty
     1.61%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __block_write_begin_int
     1.60%     0.00%  Executor task l  [kernel.kallsyms]                   [k] grab_cache_page_write_begin
     1.60%     0.20%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     1.59%     0.03%  Executor task l  [kernel.kallsyms]                   [k] pagecache_get_page
     1.58%     0.96%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.50%     0.04%  Executor task l  [kernel.kallsyms]                   [k] generic_write_end
     1.47%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ext4_dirty_inode
     1.46%     1.25%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.42%     0.00%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
