# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3321962884426
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                           
# ........  ........  ...............  ...................................  .................................................................................................................................................................
#
    47.61%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    47.57%     0.05%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    36.14%     0.04%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    35.90%     0.07%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    35.56%     0.12%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    35.35%     0.54%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    26.57%     0.16%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    26.20%     0.07%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    24.89%    24.06%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    24.03%     0.31%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    23.62%     0.62%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    22.54%     0.07%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    22.47%     0.12%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    20.90%     0.47%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    20.44%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    19.52%     0.08%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    18.41%     0.08%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    18.19%     0.71%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    13.50%     0.60%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    11.89%     0.13%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
    10.54%     0.07%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     9.34%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     9.29%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     9.20%     0.02%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     9.17%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     8.56%     0.07%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     6.22%     0.81%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     5.85%     0.04%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     5.55%     0.44%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     5.30%     0.61%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     4.69%     2.36%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     4.47%     0.65%  Executor task l  [kernel.kallsyms]                    [k] __add_to_page_cache_locked
     4.43%     0.03%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
     4.27%     0.01%  Executor task l  [kernel.kallsyms]                    [k] exc_page_fault
     4.18%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_user_addr_fault
     3.94%     0.02%  Executor task l  [kernel.kallsyms]                    [k] handle_mm_fault
     3.88%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __handle_mm_fault
     3.84%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_anonymous_page
     3.78%     0.16%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     3.60%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_begin
     3.05%     0.03%  Executor task l  [kernel.kallsyms]                    [k] alloc_pages_vma
     2.90%     0.04%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     2.89%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kswapd
     2.89%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kthread
     2.89%     0.00%  kswapd0          [kernel.kallsyms]                    [k] ret_from_fork
     2.88%     0.00%  kswapd0          [kernel.kallsyms]                    [k] balance_pgdat
     2.88%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node
     2.87%     0.01%  kswapd0          [kernel.kallsyms]                    [k] shrink_node_memcgs
     2.70%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_lruvec
     2.69%     0.10%  Executor task l  [kernel.kallsyms]                    [k] copy_page_from_iter_atomic
     2.62%     0.01%  kswapd0          [kernel.kallsyms]                    [k] shrink_inactive_list
     2.53%     2.53%  Executor task l  [kernel.kallsyms]                    [k] native_queued_spin_lock_slowpath.part.0
     2.47%     1.11%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     2.15%     0.10%  kswapd0          [kernel.kallsyms]                    [k] shrink_page_list
     1.99%     0.33%  Executor task l  [kernel.kallsyms]                    [k] rmqueue
     1.98%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     1.96%     0.22%  Executor task l  [kernel.kallsyms]                    [k] ext4_mpage_readpages
     1.79%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_end
     1.71%     1.05%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.63%     0.30%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irqsave
     1.57%     0.76%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     1.56%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __mark_inode_dirty
     1.56%     0.00%  Executor task l  [kernel.kallsyms]                    [k] grab_cache_page_write_begin
     1.54%     0.03%  Executor task l  [kernel.kallsyms]                    [k] pagecache_get_page
     1.52%     0.17%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     1.52%     0.01%  Executor task l  [kernel.kallsyms]                    [k] kernel_init_free_pages.part.0
     1.52%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.51%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __block_write_begin_int
     1.51%     1.46%  Executor task l  [kernel.kallsyms]                    [k] clear_page_rep
     1.46%     0.03%  Executor task l  [kernel.kallsyms]                    [k] generic_write_end
     1.45%     1.25%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.42%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ext4_dirty_inode
     1.38%     0.28%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irq
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] asm_common_interrupt
     1.36%     0.02%  Executor task l  [kernel.kallsyms]                    [k] common_interrupt
     1.30%     0.90%  Executor task l  [kernel.kallsyms]                    [k] rmqueue_bulk
     1.28%     0.13%  Executor task l  [kernel.kallsyms]                    [k] lru_cache_add
     1.26%     1.21%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.25%     0.00%  Executor task l  [kernel.kallsyms]                    [k] try_to_free_pages
     1.25%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_zones
     1.25%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_try_to_free_pages
     1.25%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node
     1.25%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node_memcgs
     1.24%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_lruvec
     1.24%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_inactive_list
     1.23%     0.14%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.22%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __ext4_mark_inode_dirty
     1.21%     0.01%  Executor task l  [kernel.kallsyms]                    [k] shrink_page_list
     1.20%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __common_interrupt
     1.18%     0.75%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     1.18%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __remove_mapping
     1.17%     0.04%  Executor task l  [kernel.kallsyms]                    [k] handle_edge_irq
     1.16%     0.03%  Executor task l  [kernel.kallsyms]                    [k] mem_cgroup_charge
     1.15%     0.12%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add
     1.08%     0.02%  Executor task l  [kernel.kallsyms]                    [k] handle_irq_event
     1.06%     0.18%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     1.05%     0.58%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.02%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.02%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.02%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.01%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __handle_irq_event_percpu
     0.98%     0.00%  Executor task l  [kernel.kallsyms]                    [k] nvme_irq
     0.98%     0.11%  Executor task l  [kernel.kallsyms]                    [k] nvme_process_cq
     0.97%     0.45%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     0.92%     0.06%  kswapd0          [kernel.kallsyms]                    [k] __remove_mapping
     0.89%     0.39%  Executor task l  [kernel.kallsyms]                    [k] kmem_cache_alloc
     0.87%     0.00%  Executor task l  [kernel.kallsyms]                    [k] blk_finish_plug
     0.87%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     0.85%     0.02%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_flush_plug_list
     0.84%     0.75%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     0.83%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_sched_insert_requests
     0.82%     0.04%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_try_issue_list_directly
     0.78%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_mark_iloc_dirty
     0.77%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __blk_mq_try_issue_directly
     0.76%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     0.75%     0.00%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     0.73%     0.11%  Executor task l  [kernel.kallsyms]                    [k] nvme_queue_rq
     0.72%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     0.72%     0.02%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     0.71%     0.26%  Executor task l  [kernel.kallsyms]                    [k] ext4_do_update_inode.isra.0
     0.70%     0.35%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     0.69%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __submit_bio_noacct_mq
     0.69%     0.60%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     0.68%     0.05%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_submit_bio
     0.67%     0.67%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     0.64%     0.20%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add_fn
     0.63%     0.28%  Executor task l  [kernel.kallsyms]                    [k] __mod_lruvec_page_state
     0.62%     0.52%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     0.62%     0.62%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_active
     0.62%     0.23%  Executor task l  [kernel.kallsyms]                    [k] xas_store
     0.59%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __mem_cgroup_charge
     0.59%     0.59%  Executor task l  [kernel.kallsyms]                    [k] __list_del_entry_valid
     0.58%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __ext4_journal_start_sb
     0.57%     0.55%  Executor task l  [kernel.kallsyms]                    [k] memset
     0.56%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] worker_thread
     0.56%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] kthread
     0.56%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] ret_from_fork
     0.56%     0.00%  kworker/u64:38-  [kernel.kallsyms]                    [k] process_one_work
     0.55%     0.31%  Executor task l  [kernel.kallsyms]                    [k] irqtime_account_irq
     0.55%     0.55%  Executor task l  [kernel.kallsyms]                    [k] update_cfs_group
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] worker_thread
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] kthread
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] ret_from_fork
     0.54%     0.00%  kworker/u64:36-  [kernel.kallsyms]                    [k] process_one_work
     0.54%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     0.54%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     0.54%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     0.53%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     0.53%     0.51%  Executor task l  [kernel.kallsyms]                    [k] get_mem_cgroup_from_mm
     0.52%     0.01%  Executor task l  [kernel.kallsyms]                    [k] file_update_time
     0.52%     0.06%  Executor task l  [kernel.kallsyms]                    [k] jbd2__journal_start
     0.51%     0.00%  kworker/u64:39-  [kernel.kallsyms]                    [k] worker_thread
     0.51%     0.00%  kworker/u64:39-  [kernel.kallsyms]                    [k] kthread
     0.51%     0.00%  kworker/u64:39-  [kernel.kallsyms]                    [k] ret_from_fork
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     0.51%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     0.51%     0.00%  kworker/u64:39-  [kernel.kallsyms]                    [k] process_one_work
     0.51%     0.01%  Executor task l  [kernel.kallsyms]                    [k] blk_mq_end_request
     0.51%     0.14%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     0.51%     0.39%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock
     0.51%     0.13%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                    [k] zero_user_segments
     0.50%     0.02%  Executor task l  [kernel.kallsyms]                    [k] create_page_buffers
     0.49%     0.00%  Executor task l  [kernel.kallsyms]                    [k] generic_update_time
     0.49%     0.06%  kswapd0          [kernel.kallsyms]                    [k] free_unref_page_list
     0.48%     0.06%  kswapd0          [kernel.kallsyms]                    [k] page_cache_delete
     0.48%     0.03%  Executor task l  [kernel.kallsyms]                    [k] create_empty_buffers
     0.47%     0.05%  Executor task l  [kernel.kallsyms]                    [k] nvme_map_data
     0.46%     0.02%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.46%     0.45%  Executor task l  [kernel.kallsyms]                    [k] xas_start
     0.45%     0.45%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.45%     0.03%  Executor task l  [kernel.kallsyms]                    [k] alloc_page_buffers
     0.44%     0.11%  Executor task l  [kernel.kallsyms]                    [k] clockevents_program_event
