# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1671706037415
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                      
# ........  ........  ...............  ................................................  ............................................................................................................................................................
#
    37.76%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
    37.11%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
    32.84%     0.42%  Executor task l  [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
    32.15%     0.76%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_interrupt
    28.32%     0.62%  Executor task l  [kernel.kallsyms]                                 [k] __hrtimer_run_queues
    27.71%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __run_hrtimer
    26.67%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_timer
    25.28%     0.15%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_handle
    25.08%     1.06%  Executor task l  [kernel.kallsyms]                                 [k] update_process_times
    18.47%     0.83%  Executor task l  [kernel.kallsyms]                                 [k] scheduler_tick
    16.88%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    16.84%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] do_syscall_64
    11.16%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ksys_read
    11.01%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] vfs_read
    10.85%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_read
    10.74%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] filemap_read
     8.45%     1.01%  Executor task l  [kernel.kallsyms]                                 [k] task_tick_fair
     7.25%     0.69%  Executor task l  [kernel.kallsyms]                                 [k] perf_event_task_tick
     6.57%     2.96%  Executor task l  [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     5.53%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter
     5.50%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter_iovec
     5.45%     5.32%  Executor task l  [kernel.kallsyms]                                 [k] copy_user_generic_string
     4.36%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_pages
     3.70%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __x64_sys_openat
     3.70%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_sys_openat2
     3.46%     1.63%  Executor task l  [kernel.kallsyms]                                 [k] update_load_avg
     3.35%     0.25%  Executor task l  [kernel.kallsyms]                                 [k] __irq_exit_rcu
     3.33%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] do_filp_open
     3.30%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] path_openat
     3.18%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     2.87%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] page_cache_ra_unbounded
     2.80%     0.58%  Executor task l  [kernel.kallsyms]                                 [k] __softirqentry_text_start
     2.59%     1.26%  Executor task l  [kernel.kallsyms]                                 [k] account_user_time
