# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977K of event 'cycles'
# Event count (approx.): 2295495674106
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
    32.01%     0.11%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    31.09%     0.11%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    27.48%     0.39%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    26.82%     0.68%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    23.73%     0.51%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    23.22%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    22.33%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    21.17%     0.11%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    21.00%     0.82%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    15.42%     0.66%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    13.17%     0.03%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    13.14%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     8.35%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     8.24%     0.04%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     8.11%     0.05%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     8.03%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     7.04%     0.86%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     6.16%     0.67%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.01%     0.05%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.80%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     5.70%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     5.49%     2.40%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
