# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 981K of event 'cycles'
# Event count (approx.): 2322094570824
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    31.76%     0.11%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    30.87%     0.06%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    27.25%     0.33%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    26.64%     0.66%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    23.55%     0.50%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    23.05%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    22.17%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    21.05%     0.09%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    20.90%     0.88%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    15.29%     0.68%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    13.28%     0.03%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    13.25%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     8.38%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     8.27%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     8.14%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     8.05%     0.13%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     6.93%     0.81%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     6.56%     0.04%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     6.34%     0.02%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     6.24%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     6.09%     0.54%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     5.69%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     5.58%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     5.54%     2.45%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.49%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     4.35%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     4.26%     0.10%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     4.18%     0.02%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     4.16%     0.05%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     4.11%     4.01%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.00%     0.11%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     3.27%     0.07%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     3.25%     0.02%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.20%     3.12%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     2.98%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     2.98%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     2.90%     0.24%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     2.86%     1.30%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.73%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.69%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     2.67%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     2.49%     1.28%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.40%     0.43%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.22%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     2.22%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     2.22%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     2.21%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     2.21%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     2.16%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.16%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     2.15%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     1.92%     1.66%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.83%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     1.73%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.73%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.73%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.67%     0.98%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.58%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.58%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.58%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.58%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.58%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.58%     1.52%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.57%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     1.53%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.50%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.43%     0.13%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.42%     0.14%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.33%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     1.29%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.29%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     1.20%     0.10%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.06%     0.04%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.04%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.04%     0.35%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.99%     0.49%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     0.99%     0.95%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.95%     0.06%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     0.91%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] move_to_new_page
     0.90%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page
     0.90%     0.80%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.89%     0.08%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     0.88%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_open
     0.88%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] rmap_walk_anon
